Citance Number: 1 | Reference Article:  P03-1023.txt | Citing Article:  C04-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(2) Givenananaphor and two antecedents, decide which antecedent is more likely to be the correct one (Yang et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Without candidate filtering, the recall may rise as the correct antecedents would not be eliminated wrongly.</S><S sid = NA ssid = NA>In the MUC-6 data set, for example, the immediate antecedents of 95% pronominal anaphors can be found within the above distance.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P03-1023.txt | Citing Article:  D09-1102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These features may be helpful to improve the performance of pronoun resolution.</S><S sid = NA ssid = NA>Apparently, the classifier trained on the instance set { inst(ci , ana) }, T1, is equivalent to that trained on { inst(ci , c0, ana) }, T2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P03-1023.txt | Citing Article:  P04-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The model in (Yang et al., 2003) expands the conditioning scope by including a competing candidate.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A similar twin-candidate model was adopted in the anaphoric resolution system by Connolly et al. (1997).</S><S sid = NA ssid = NA>Although Connolly et al.’s approach also adopts the twin-candidate model, it achieves a poor performance for both pronoun resolution and nonpronoun resolution.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P03-1023.txt | Citing Article:  C10-2125.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A first approach towards group-wise classifiers is the twin-candidate model (Yang et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Although Connolly et al.’s approach also adopts the twin-candidate model, it achieves a poor performance for both pronoun resolution and nonpronoun resolution.</S><S sid = NA ssid = NA>By contrast, our approach adopts a twin-candidate learning model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P03-1023.txt | Citing Article:  P05-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These features may be helpful to improve the performance of pronoun resolution.</S><S sid = NA ssid = NA>Apparently, the classifier trained on the instance set { inst(ci , ana) }, T1, is equivalent to that trained on { inst(ci , c0, ana) }, T2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P03-1023.txt | Citing Article:  P05-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These features may be helpful to improve the performance of pronoun resolution.</S><S sid = NA ssid = NA>Apparently, the classifier trained on the instance set { inst(ci , ana) }, T1, is equivalent to that trained on { inst(ci , c0, ana) }, T2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P03-1023.txt | Citing Article:  P10-1142.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These features may be helpful to improve the performance of pronoun resolution.</S><S sid = NA ssid = NA>Apparently, the classifier trained on the instance set { inst(ci , ana) }, T1, is equivalent to that trained on { inst(ci , c0, ana) }, T2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P03-1023.txt | Citing Article:  P05-1021.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, as the purpose of the predicate-argument statistics is to evaluate the preference of the candidates in semantics, it is possible that the statistics-based semantic feature could be more effectively applied in the twin candidate (Yang et al, 2003) that focusses on the preference relationships among candidates.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Nevertheless the preference relationship between the antecedent candidates cannot be determined accurately in this model.</S><S sid = NA ssid = NA>One problem of the single-candidate model, however, is that it only takes into account the relationships between an anaphor and one individual candidate at a time, and overlooks the preference relationship between candidates.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P03-1023.txt | Citing Article:  P05-1021.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Yang et al (2003) proposed an alternative twin candidate model for anaphora resolution task.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Although Connolly et al.’s approach also adopts the twin-candidate model, it achieves a poor performance for both pronoun resolution and nonpronoun resolution.</S><S sid = NA ssid = NA>A similar twin-candidate model was adopted in the anaphoric resolution system by Connolly et al. (1997).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P03-1023.txt | Citing Article:  P05-1021.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These features may be helpful to improve the performance of pronoun resolution.</S><S sid = NA ssid = NA>Apparently, the classifier trained on the instance set { inst(ci , ana) }, T1, is equivalent to that trained on { inst(ci , c0, ana) }, T2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P03-1023.txt | Citing Article:  P05-1021.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>These results not only affirm the claim by Yang et al (2003) that the TC model is superior to the SC model for pronoun resolution, but also indicate that TC is more reliable than SC in applying the statistics-based semantic feature, for N-Pron resolution.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Although Connolly et al.’s approach also adopts the twin-candidate model, it achieves a poor performance for both pronoun resolution and nonpronoun resolution.</S><S sid = NA ssid = NA>Compared with the gains in pronoun resolution, the improvement in non-pronoun resolution is slight.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P03-1023.txt | Citing Article:  P04-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These features may be helpful to improve the performance of pronoun resolution.</S><S sid = NA ssid = NA>Apparently, the classifier trained on the instance set { inst(ci , ana) }, T1, is equivalent to that trained on { inst(ci , c0, ana) }, T2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P03-1023.txt | Citing Article:  P09-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These features may be helpful to improve the performance of pronoun resolution.</S><S sid = NA ssid = NA>Apparently, the classifier trained on the instance set { inst(ci , ana) }, T1, is equivalent to that trained on { inst(ci , c0, ana) }, T2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P03-1023.txt | Citing Article:  P09-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>On the MUC6 data set, for example, the best published MUC score using extracted CEs is approximately 71 (Yang et al, 2003), while multiple systems have produced MUC scores of approximately 85 when using annotated CEs (e.g. Luo et al (2004), McCallum and Wellner (2004)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Compared with the baseline approach using the single-candidate model, the F-measure increases by 1.9 and 1.5 for MUC-6 and MUC-7 data set, respectively.</S><S sid = NA ssid = NA>For this purpose, we obtain the recall, the precision and the F-measure using the standard MUC scoring program (Vilain et al. 1995) for the coreference resolution task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P03-1023.txt | Citing Article:  I08-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In some sense, this is a natural extension of the twin-candidate learning approach proposed in Yang et al (2003), which explicitly models the competition between two antecedent candidates.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper we have proposed a competition learning approach to coreference resolution.</S><S sid = NA ssid = NA>Our competition learning approach adopts the twin-candidate model introduced in the Section 3.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P03-1023.txt | Citing Article:  C10-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Yang et al (2005) made use of non-anaphors to create a special class of training instances in the twin-candidate model (Yang et al 2003) and improved the performance by 2.9 and 1.6 to 67.3 and 67.2 in F1-measure on the MUC-6 and MUC-7corpora, respectively.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Compared with the baseline approach using the single-candidate model, the F-measure increases by 1.9 and 1.5 for MUC-6 and MUC-7 data set, respectively.</S><S sid = NA ssid = NA>In particular, our approach obtains significant improvement (21.1 for MUC-6, and 13.1 for MUC-7) over Connolly et al.’s twin-candidate based approach.</S> | Discourse Facet:  NA | Annotator: Automatic


