Citance Number: 1 | Reference Article:  J98-1001.txt | Citing Article:  P14-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Two of the fundamental components of a natural language communication are word sense discovery (Jones, 1986) and word sense disambiguation (Ide and Veronis, 1998).</S> | Reference Offset:  ['15','274'] | Reference Text:  <S sid = 15 ssid = >In general terms, word sense disambiguation involves the association of a given word in a text or discourse with a definition or meaning (sense) which is distinguishable from other meanings potentially attributable to that word.</S><S sid = 274 ssid = >Therefore, all work on sense disambiguation relies on the context of the target word to provide information to be used for its disambiguation.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  J98-1001.txt | Citing Article:  C02-1143.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Several efforts have been made to develop automatic WSD systems that can provide accurate sense tagging (Ide and Veronis, 1998), with a current emphasis on creating manually sense-tagged data for supervised training of statistical WSD systems, as evidenced by SENSEVAL-1 (Kilgarriff and Palmer, 2000) and SENSEVAL-2 (Edmonds and Cotton, 2001).</S> | Reference Offset:  ['424','425'] | Reference Text:  <S sid = 424 ssid = >SENSEVAL will likely take us a step closer to this understanding; at the least, it will force consideration of what can be meaningfully regarded as an isolatable sense distinction and provide some measure of the distance between the performance of current systems and a predefined standard.</S><S sid = 425 ssid = >The in vitro evaluation envisaged for SENSEVAL demands the creation of a manually sense-tagged reference corpus containing an agreed-upon set of sense distinctions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  J98-1001.txt | Citing Article:  W04-2808.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following Ide and Veronis (1998) we distinguish between data and knowledge-driven word sense disambiguation.</S> | Reference Offset:  ['21','275'] | Reference Text:  <S sid = 21 ssid = >Step (2), the assignment of words to senses, is accomplished by reliance on two major sources of information: All disambiguation work involves matching the context of the instance of the word to be disambiguated with either information from an external knowledge source (knowledge-driven WSD), or information about the contexts of previously disambiguated instances of the word derived from corpora (data-driven or corpus-based WSD).</S><S sid = 275 ssid = >For data-driven methods, context also provides the prior knowledge with which current context is compared to achieve disambiguation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J98-1001.txt | Citing Article:  W04-2808.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Historically, after work on WSD had overcome so called early doubts (Ide and Veronis, 1998) in the 1960s, it was applied to various NLP tasks, such as machine translation, information retrieval, content and grammatical analysis and text processing.</S> | Reference Offset:  ['10','462'] | Reference Text:  <S sid = 10 ssid = >Work on word sense disambiguation continued throughout the next two decades in the framework of AI-based natural language understanding research, as well as in the fields of content analysis, stylistic . and literary analysis, and information retrieval.</S><S sid = 462 ssid = >There is renewed interest in WSD as it contributes to various applications, such as machine translation and document retrieval.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J98-1001.txt | Citing Article:  W04-2808.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In general, following Ide and Veronis (1998) the various WSD approaches of the past can be divided into two types, i.e., data and knowledge-based approaches.</S> | Reference Offset:  ['23','62'] | Reference Text:  <S sid = 23 ssid = >The following sections survey the approaches applied to date.</S><S sid = 62 ssid = >Quillian's work informed later dictionary-based approaches to WSD (see Section 2.3.1).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J98-1001.txt | Citing Article:  N03-1015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A great deal of research on WSD has been done over the past decade (Ide and Veronis, 1998).</S> | Reference Offset:  ['125','441'] | Reference Text:  <S sid = 125 ssid = >(Veronis and Ide 1990).7 Experiments on 23 ambiguous words, each in six contexts (138 pairs of words), produced correct disambiguation, using the relatively fine sense distinctions in the CED, in 71.7% of the cases (three times better than chance: 23.6%) (Ide and Veronis 1990b); in later experiments, improving the parameters and only distinguishing homographs enabled a rate of 85% (vs. chance: 39%) (Veronis and Ide 1995).</S><S sid = 441 ssid = >Methods for WSD have evolved largely independently of particular applications, especially in the recent past.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J98-1001.txt | Citing Article:  P02-1021.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Regardless of the technique that is used for WSD, the most important part of the process is the context in which the word appears (Ide and Veronis 1998).</S> | Reference Offset:  ['277','281'] | Reference Text:  <S sid = 277 ssid = >Very few studies have used Ide and Veronis Introduction information of all three types, and the focus in much recent work is on microcontext alone.</S><S sid = 281 ssid = >Local or &quot;micro&quot; context is generally considered to be some small window of words surrounding a word occurrence in a text or discourse, from a few words of context to the entire sentence in which the target word appears.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J98-1001.txt | Citing Article:  P04-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >WSD is fundamental to natural language understanding and is a useful intermediate step for many other language processing tasks (Ide and Veronis, 1998).</S> | Reference Offset:  ['2','448'] | Reference Text:  <S sid = 2 ssid = >Sense disambiguation is an &quot;intermediate task&quot; (Wilks and Stevenson 1996), which is not an end in itself, but rather is necessary at one level or another to accomplish most natural language processing tasks.</S><S sid = 448 ssid = >Work on automatic WSD has a history as long as automated language processing generally.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J98-1001.txt | Citing Article:  W04-2312.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following Ide and Veronis (1998) we can distinguish between data and knowledge-driven word sense disambiguation (WSD).</S> | Reference Offset:  ['21','275'] | Reference Text:  <S sid = 21 ssid = >Step (2), the assignment of words to senses, is accomplished by reliance on two major sources of information: All disambiguation work involves matching the context of the instance of the word to be disambiguated with either information from an external knowledge source (knowledge-driven WSD), or information about the contexts of previously disambiguated instances of the word derived from corpora (data-driven or corpus-based WSD).</S><S sid = 275 ssid = >For data-driven methods, context also provides the prior knowledge with which current context is compared to achieve disambiguation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J98-1001.txt | Citing Article:  W04-2312.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >After work on WSD had overcome so-called early doubts (Ide and Veronis, 1998) in the 1960s, it was applied to various NLP tasks, such as machine translation ,information retrieval, content and grammatical analysis and text processing.</S> | Reference Offset:  ['10','462'] | Reference Text:  <S sid = 10 ssid = >Work on word sense disambiguation continued throughout the next two decades in the framework of AI-based natural language understanding research, as well as in the fields of content analysis, stylistic . and literary analysis, and information retrieval.</S><S sid = 462 ssid = >There is renewed interest in WSD as it contributes to various applications, such as machine translation and document retrieval.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J98-1001.txt | Citing Article:  W04-2312.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In general, following Ide and Veronis (1998) the various WSD approaches of the past can be divided into two types, i.e., data and knowledge-based approaches.</S> | Reference Offset:  ['23','62'] | Reference Text:  <S sid = 23 ssid = >The following sections survey the approaches applied to date.</S><S sid = 62 ssid = >Quillian's work informed later dictionary-based approaches to WSD (see Section 2.3.1).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J98-1001.txt | Citing Article:  W02-1304.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Ide and Veronis (1998) argue that word sense ambiguity is a central problem for many established HLT applications (for example Machine Translation, Information Extraction and Information Retrieval).</S> | Reference Offset:  ['415','462'] | Reference Text:  <S sid = 415 ssid = >As noted above, WSD is not an end in itself but rather an &quot;intermediate task&quot; that contributes to an overall task such as information retrieval or machine translation.</S><S sid = 462 ssid = >There is renewed interest in WSD as it contributes to various applications, such as machine translation and document retrieval.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J98-1001.txt | Citing Article:  W03-1311.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A review of methods for word sense disambiguation is presented by Ide and colleagues (Ideand Veronis, 1998).</S> | Reference Offset:  ['125','274'] | Reference Text:  <S sid = 125 ssid = >(Veronis and Ide 1990).7 Experiments on 23 ambiguous words, each in six contexts (138 pairs of words), produced correct disambiguation, using the relatively fine sense distinctions in the CED, in 71.7% of the cases (three times better than chance: 23.6%) (Ide and Veronis 1990b); in later experiments, improving the parameters and only distinguishing homographs enabled a rate of 85% (vs. chance: 39%) (Veronis and Ide 1995).</S><S sid = 274 ssid = >Therefore, all work on sense disambiguation relies on the context of the target word to provide information to be used for its disambiguation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J98-1001.txt | Citing Article:  W10-3205.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Unsupervised methods using dictionaries and corpora were proposed for monolingual WSD (Ide and Veronis, 1998).</S> | Reference Offset:  ['125','241'] | Reference Text:  <S sid = 125 ssid = >(Veronis and Ide 1990).7 Experiments on 23 ambiguous words, each in six contexts (138 pairs of words), produced correct disambiguation, using the relatively fine sense distinctions in the CED, in 71.7% of the cases (three times better than chance: 23.6%) (Ide and Veronis 1990b); in later experiments, improving the parameters and only distinguishing homographs enabled a rate of 85% (vs. chance: 39%) (Veronis and Ide 1995).</S><S sid = 241 ssid = >This solves, in part, the problems of availability and specificity of domain that plague the parallel corpus approach, since monolingual corpora, including corpora from diverse domains and genres, are much easier to obtain than parallel corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


