Citance Number: 1 | Reference Article:  I08-1059.txt | Citing Article:  W09-2107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Projects involving learner corpora in analyzing and categorizing learner errors include NICT Japanese Learners of English (JLE), the Chinese Learners of English Corpus (Gamon et al, 2008) and English Taiwan Learner Corpus (or TLC) (Wible et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the NICT Japanese Learners of English (JLE) corpus (Izumi et al 2004), 26.6% of all errors are determiner related, and about 10% are preposition related, making these two error types the dominant ones in the corpus.</S><S sid = NA ssid = NA>The Chinese Learners of English Corpus (CLEC, Gui and Yang 2003) has a coarser and somewhat inconsistent error tagging scheme that makes it harder to isolate the two errors, but of the non-orthographic errors, more than 10% are determiner and number related.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  I08-1059.txt | Citing Article:  W11-1410.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We build from Dickinson et al. (2010) in two main ways: first, we implement a presence-selection pipeline that has proven effective for English preposition error detection (cf. Gamon et al., 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>453 Chodorow et al (2007) present numbers on an independently developed system for detection of preposition error in non-native English.</S><S sid = NA ssid = NA>More recently, Han et al (2004, 2006) use a maximum entropy classifier to propose article corrections in TESOL essays, while Izumi et al (2003) and Chodorow et al (2007) present techniques of automatic preposition choice modeling.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  I08-1059.txt | Citing Article:  W11-1410.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We may also include heuristic-based filters, such as the ones implemented in Criterion (see Leacock et al, 2010), as well as a language model approach (Gamon et al, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>1 Liu et al 2000 take a similar approach, retrieving.</S><S sid = NA ssid = NA>More recently, Han et al (2004, 2006) use a maximum entropy classifier to propose article corrections in TESOL essays, while Izumi et al (2003) and Chodorow et al (2007) present techniques of automatic preposition choice modeling.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  I08-1059.txt | Citing Article:  C10-2031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Gamon et al (2008) introduce a system for the detection of a variety of learner errors in non native English text, including preposition errors.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We present a modular system for detection and correction of errors made by non native (English as a Second Language = ESL) writers.</S><S sid = NA ssid = NA>453 Chodorow et al (2007) present numbers on an independently developed system for detection of preposition error in non-native English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  I08-1059.txt | Citing Article:  N10-1019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Knight and Chander (1994) and Gamon et al (2008) used decision tree classifiers but, in general, maximum entropy classifiers have become the classification algorithm of choice.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>More recently, Han et al (2004, 2006) use a maximum entropy classifier to propose article corrections in TESOL essays, while Izumi et al (2003) and Chodorow et al (2007) present techniques of automatic preposition choice modeling.</S><S sid = NA ssid = NA>Currently we train decision tree classifiers with the WinMine toolkit (Chickering 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  I08-1059.txt | Citing Article:  N10-1019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Training data are normally drawn from sizeable corpora of native English text (British National Corpus for DeFelice and Pulman (2007, 2008), Wall Street Journal in Knight and Chander (1994), a mix of Reuters and Encarta in Gamon et al (2008, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>PTB Reuters/Encarta mix no determiner 70.0% 69.9% the 20.6% 22.2% a/an 9.4% 7.8% Table 2: distribution of determiners in the Penn Tree Bank and in our Reuters/Encarta data.</S><S sid = NA ssid = NA>As a substitute, we are using native English text for training, currently we train on the full text of the English Encarta encyclopedia (560k sentences) and a random set of 1M sentences from a Reuters news data set.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  I08-1059.txt | Citing Article:  N10-1019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We thank Claudia Leacock (Butler Hill Group) for her meticulous analysis of errors and human evaluation of the system output, as well as for much invaluable feedback and discussion.</S><S sid = NA ssid = NA>The Example Provider queries the web for exemplary sentences that contain the suggested correction.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  I08-1059.txt | Citing Article:  W11-0610.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Gamon et al (2008) used word-based language models to detect and correct common ESL errors, while Leacock and Chodorow (2003) used part-of-speech bigram language models to identify potentially ungrammatical two-word sequences in ESL essays.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We present a modular system for detection and correction of errors made by non native (English as a Second Language = ESL) writers.</S><S sid = NA ssid = NA>More recently, Han et al (2004, 2006) use a maximum entropy classifier to propose article corrections in TESOL essays, while Izumi et al (2003) and Chodorow et al (2007) present techniques of automatic preposition choice modeling.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  I08-1059.txt | Citing Article:  P11-2089.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, Tetreault and Chodorow (2008), Gamon et al (2008) and Felice and Pulman (2008) developed preposition error detection systems, but evaluated on three different corpora using different evaluation measures.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>453 Chodorow et al (2007) present numbers on an independently developed system for detection of preposition error in non-native English.</S><S sid = NA ssid = NA>Since both systems are evaluated on different data sets3, however, the numbers are not directly comparable.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  I08-1059.txt | Citing Article:  P10-2065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>T&C08, De Felice and Pulman (2008) and Gamon et al (2008) describe very similar preposition error detection systems in which a model of correct prepositional usage is trained from well formed text and a writer's preposition is compared with the predictions of this model.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The language model is a 5-gram model trained on the English Gigaword corpus (LDC2005T12).</S><S sid = NA ssid = NA>4.2 The Language Model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  I08-1059.txt | Citing Article:  D10-1094.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Gamon et al (2008) train a decision tree model and a language model to correct errors in article and preposition usage.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>4.2 The Language Model.</S><S sid = NA ssid = NA>Finally, Yi et al (2008) designed a system that uses web counts to determine correct article usage for a given sentence, targeting ESL users.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  I08-1059.txt | Citing Article:  W10-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>While there has been considerable emphasis placed on the system development aspect of the field, with researchers tackling some of the toughest ESL errors such as those involving articles (Han et al, 2006) and prepositions (Gamon et al, 2008), (Felice and Pullman, 2009), there has been a woeful lack of attention paid to developing best practices for annotation and evaluation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>More recently, Han et al (2004, 2006) use a maximum entropy classifier to propose article corrections in TESOL essays, while Izumi et al (2003) and Chodorow et al (2007) present techniques of automatic preposition choice modeling.</S><S sid = NA ssid = NA>For a first human evaluation of our system prototype, we decided to 3 Chodorow et al (2007) evaluate their system on.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  I08-1059.txt | Citing Article:  W11-1422.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Gamon et al (2008) and Gamon (2010) used a language model in addition to a classifier and combined the classifier output and language model scores in a meta classifier.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>4.2 The Language Model.</S><S sid = NA ssid = NA>Initially, we used the language model as a simple filter: any correction that received a lower language model score than the original was filtered out.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  I08-1059.txt | Citing Article:  W11-1422.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Note that this use of a host of language model features is substantially different from using a single language model score on hypothesized error and potential correction to filter out unlikely correction candidates as in Gamon et al (2008) and Gamon (2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>4.2 The Language Model.</S><S sid = NA ssid = NA>Initially, we used the language model as a simple filter: any correction that received a lower language model score than the original was filtered out.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  I08-1059.txt | Citing Article:  W09-2110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Gamon et al (2008) worked on a similar approach using only tagged trigram left and right contexts: a model of prepositions uses serves to identify preposition errors and the Web provides examples of correct form.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>1 Liu et al 2000 take a similar approach, retrieving.</S><S sid = NA ssid = NA>Finally, Yi et al (2008) designed a system that uses web counts to determine correct article usage for a given sentence, targeting ESL users.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  I08-1059.txt | Citing Article:  W10-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We thank Claudia Leacock (Butler Hill Group) for her meticulous analysis of errors and human evaluation of the system output, as well as for much invaluable feedback and discussion.</S><S sid = NA ssid = NA>The Example Provider queries the web for exemplary sentences that contain the suggested correction.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  I08-1059.txt | Citing Article:  W10-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Gamon et al (2008) and Gamon (2010) use a combination of classification and language modeling.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>More recently, Han et al (2004, 2006) use a maximum entropy classifier to propose article corrections in TESOL essays, while Izumi et al (2003) and Chodorow et al (2007) present techniques of automatic preposition choice modeling.</S><S sid = NA ssid = NA>Using Contextual Speller Techniques and Language Modeling for ESL Error Correction</S> | Discourse Facet:  NA | Annotator: Automatic


