Citance Number: 1 | Reference Article:  P06-1123.txt | Citing Article:  P10-1146.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Wellington et al (2006), in a more systematic study, find that, of sentences where the tree-to-tree constraint blocks rule extraction, the majority are due to parser errors.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>On the other hand, if a constraining tree is applied to the other sentence as shown in Figure 2b, then the word alignment and tree constraint conflict.</S><S sid = NA ssid = NA>† SW made most of her contribution while at NYU. is relevant to finite-state phrase-based models that use no parse trees (Koehn et al., 2003), tree-tostring models that rely on one parse tree (Yamada and Knight, 2001), and tree-to-tree models that rely on two parse trees (Groves et al., 2004, e.g.).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P06-1123.txt | Citing Article:  W07-0404.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Grammar rules extracted from large parallel corpora by systems such as Galley et al (2004) can be quite large, and Wellington et al (2006) argue that complex rules are necessary by analyzing the coverage of gold-standard word alignments from different language pairs by various grammars.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would expect the opposite effect with hand-aligned data (Galley et al., 2004).</S><S sid = NA ssid = NA>Analogous techniques for tree-structured translation models involve either allowing each nonterminal to generate both terminals and other nonterminals (Groves et al., 2004; Chiang, 2005), or, given a constraining parse tree, to “flatten” it (Fox, 2002; Zens and Ney, 2003; Galley et al., 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P06-1123.txt | Citing Article:  W07-0404.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The methodology in Wellington et al (2006) measures the complexity of word alignment using the number of gaps that are necessary for their synchronous parser which allows discontinuous spans to succeed in parsing.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>To measure the number of gaps needed to generate a given word alignment, we used a bottom-up hierarchical alignment algorithm to infer a binary synchronous parse tree that was consistent with the alignment, using as few gaps as possible.</S><S sid = NA ssid = NA>Our study measured the complexity of a word alignment as the minimum number of gaps needed to generate it under the following constraints: Our measure of alignment complexity is analogous to what Melamed et al. (2004) call “fanout.”3 The least complex alignments on this measure — those that can be generated with zero gaps — are precisely those that can be generated by an mum/median/maximum sentence lengths in each bitext.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P06-1123.txt | Citing Article:  W07-0404.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Wellington et al (2006) indicate the necessity of introducing discontinuous spans for synchronous parsing to match up with human-annotated word alignment data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our study suggests that there might be some benefits to an alternative approach using discontinuous constituents, as proposed, e.g., by Melamed et al. (2004) and Simard et al.</S><S sid = NA ssid = NA>So unlike some other studies (Zens and Ney, 2003; Zhang et al., 2006), we used manually annotated alignments instead of automatically generated ones.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P06-1123.txt | Citing Article:  W07-0404.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Wellington et al (2006) treat many-to-one word links disjunctively in their synchronous parser.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The synchronous parser in the GenPar toolkit4 can be configured for all of these cases (Burbank et al., 2005).</S><S sid = NA ssid = NA>One of the important design choices in this kind of study is how to treat multiple links attached to the same word token.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P06-1123.txt | Citing Article:  W07-0404.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use the same alignment data for the five language pairs Chinese/English, Romanian/English, Hindi/English, Spanish/English, and French/English (Wellington et al, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For Chinese/English and Spanish/English, we used the data from Ayan et al. (2005).</S><S sid = NA ssid = NA>The Romanian/English and Hindi/English data came from Martin et al. (2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P06-1123.txt | Citing Article:  W07-0404.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Wellington et al (2006) did a similar analysis on the English-English bitext.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We parsed the English side of each bilingual bitext and both sides of each English/English bitext using an off-the-shelf syntactic parser (Bikel, 2004), which was trained on sections 02-21 of the Penn English Treebank (Marcus et al., 1993).</S><S sid = NA ssid = NA>For Chinese/English and Spanish/English, we used the data from Ayan et al. (2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P06-1123.txt | Citing Article:  C08-1138.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Translational equivalence is a mathematical relation that holds between linguistic expressions with the same meaning (Wellington et al, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Translational equivalence is a mathematical relation that holds between linguistic expressions with the same meaning.</S><S sid = NA ssid = NA>A study of such word alignments might say more about the annotation process than about the translational equivalence relation in the data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P06-1123.txt | Citing Article:  C08-1138.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Wellington et al (2006) describes their study of the patterns of translational equivalence exhibited by a variety of bilingual/monolingual bitexts.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This paper describes a study of the patterns of translational equivalence exhibited by a variety of bitexts.</S><S sid = NA ssid = NA>This paper describes a study of the distribution of alignment complexity in a variety of bitexts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P06-1123.txt | Citing Article:  C08-1138.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Fox (2002), Galley et al (2004) and Wellington et al (2006) examine TEM only.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Unlike Fox (2002) and Galley et al. (2004), we measured failure rates per corpus rather than per sentence pair or per node in a constraining tree.</S><S sid = NA ssid = NA>Analogous techniques for tree-structured translation models involve either allowing each nonterminal to generate both terminals and other nonterminals (Groves et al., 2004; Chiang, 2005), or, given a constraining parse tree, to “flatten” it (Fox, 2002; Zens and Ney, 2003; Galley et al., 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P06-1123.txt | Citing Article:  C08-1138.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Thus, it may not suffer from the issues of non-isomorphic structure alignment and non-syntactic phrase usage heavily (Wellington et al, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Allowing two gaps on the non-English side led to almost complete coverage of these word alignments.</S><S sid = NA ssid = NA>The number of automatically induced non-NULL links was lower than what would be drawn by hand.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P06-1123.txt | Citing Article:  N07-1063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Wellington et al, 2006) argue that these restrictions reduce our ability to model translation equivalence effectively.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Decomposing the translational equivalence relations in the training data into smaller units of knowledge can improve a model’s ability to generalize (Zhang et al., 2006).</S><S sid = NA ssid = NA>Any translation model can memorize a training sentence pair as a unit.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P06-1123.txt | Citing Article:  W07-0414.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In Wellington et al (2006), hand-aligned data are used to compare the standard ITG constraints to ITGs that allow gaps.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>ITG.</S><S sid = NA ssid = NA>We would expect the opposite effect with hand-aligned data (Galley et al., 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P06-1123.txt | Citing Article:  N09-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In particular, Wellington et al (2006) find that the coverage of a translation model can increase dramatically when one allows a bilingual phrase to stretch out over three rather than two continuous substrings.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Allowing a single gap in bilingual phrases or other types of constituent can improve coverage dramatically.</S><S sid = NA ssid = NA>To increase the chances that a translation model can explain complex word alignments, some authors have proposed various ways of extending a model’s domain of locality.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P06-1123.txt | Citing Article:  C08-1136.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Wellington et al (2006) argue for the necessity of discontinuous spans (i.e., for a formalism beyond Synchronous CFG) in order for synchronous parsing to cover human-annotated word alignment data under the constraint that rules have a rank of no more than two.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The absence of such cases in the data implies that the failure rates under the constraints of one parse tree would be identical even if we allowed production rules of rank higher than two.</S><S sid = NA ssid = NA>The synchronous parser in the GenPar toolkit4 can be configured for all of these cases (Burbank et al., 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P06-1123.txt | Citing Article:  C08-1136.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use the same alignment data for the five language pairs Chinese-English, Romanian-English, Hindi-English, Spanish-English, and French-English as Wellington et al (2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For Chinese/English and Spanish/English, we used the data from Ayan et al. (2005).</S><S sid = NA ssid = NA>The Romanian/English and Hindi/English data came from Martin et al. (2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P06-1123.txt | Citing Article:  W09-2303.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The empirical adequacy of synchronous context-free grammars of rank two (2-SCFGs) (Satta and Peserico, 2005), used in syntax based machine translation systems such as Wu (1997), Zhang et al (2006) and Chiang (2007), in terms of what alignments they induce, has been discussed in Wu (1997) and Wellington et al (2006), but with a one-sided focus on so-called inside-out alignments.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A hierarchical alignment algorithm is a type of synchronous parser where, instead of constraining inferences by the production rules of a grammar, the constraints come from word alignments and possibly other sources (Wu, 1997; Melamed and Wang, 2005).</S><S sid = NA ssid = NA>So unlike some other studies (Zens and Ney, 2003; Zhang et al., 2006), we used manually annotated alignments instead of automatically generated ones.</S> | Discourse Facet:  NA | Annotator: Automatic


