Citance Number: 1 | Reference Article:  W04-3212.txt | Citing Article:  H05-1081.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Syntactic frame as described by Xue and Palmer (2004) Table 3.</S> | Reference Offset:  ['9','58'] | Reference Text:  <S sid = 9 ssid = >Most of these systems generally take as input a syntactic parse tree and use the syntactic information as features to tag the syntactic constituents with semantic role labels.</S><S sid = 58 ssid = >The results are presented in Table 2.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W04-3212.txt | Citing Article:  P09-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Hence we now prune our set, by keeping only the siblings of all of the verb's ancestors, as is common in supervised SRL (Xue and Palmer, 2004).</S> | Reference Offset:  ['21','37'] | Reference Text:  <S sid = 21 ssid = >This means a fixed set of roles are specified for each verb and a different label is assigned to each role.</S><S sid = 37 ssid = >Each sense of this verb is likely to be realized in a set of distinct subcategorization frames and is therefore called a frameset.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W04-3212.txt | Citing Article:  P05-1072.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The baseline feature set is a combination of features introduced by Gildea and Jurafsky (2002) and ones proposed in Pradhan et al, (2004), Surdeanu et al., (2003) and the syntactic-frame feature proposed in (Xue and Palmer, 2004).</S> | Reference Offset:  ['7','39'] | Reference Text:  <S sid = 7 ssid = >The availability of semantically annotated corpora such as the Proposition Banks (Kingsbury and Palmer, 2002; Xue and Palmer, 2003) and FrameNet (Baker et al., 1998) have enabled the development of a rapidly growing list of statistical semantic analyzers (Giidea and Jurafsky, 2002; Giidea and Palmer, 2002; Chen and Rambow, 2003; Pradhan et al., 2003; Pradhan et al., 2004; Sun and Jurafsky, 2004; Palmer et al., submitted).</S><S sid = 39 ssid = >For comparison purposes we ignore the frameset information for now, following the practice of Gildea and Palmer (Gildea and Jurafsky, 2002; Pradhan et al., 2003) and others.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W04-3212.txt | Citing Article:  C10-2083.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, Xue and Palmer (2004) reported that SRL performance dropped more than 10% when they used syntactic features from an automatic parser instead of the gold standard parsing trees.</S> | Reference Offset:  ['61','67'] | Reference Text:  <S sid = 61 ssid = >Standard accuracy, CS (f) = Cold Standard fscore, CP = Collins Parser Feature performance Table 3 shows the performance of the new features.</S><S sid = 67 ssid = >The last three features are from (Pradhan et al., 2004), and they also result in an improvement in performance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W04-3212.txt | Citing Article:  W09-1216.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In order to reduce the number of candidate arguments in the identification step, I apply the filtering technique of Xue and Palmer (2004), trivially adopted to the dependency syntax formalism.</S> | Reference Offset:  ['26','43'] | Reference Text:  <S sid = 26 ssid = >That is, an argument marked with the same number, e.g.</S><S sid = 43 ssid = >There are also constituents that are not semantic arguments (by semantic arguments we mean both numbered arguments and ARCMs) to a given verb and we will label such constituents NULL.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W04-3212.txt | Citing Article:  P06-2010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To save time, we use a pruning stage (Xue and Palmer, 2004) to filter out the constituents that are clearly not semantic arguments to the predicate.</S> | Reference Offset:  ['49','50'] | Reference Text:  <S sid = 49 ssid = >Based on these considerations, we will adopt a three-stage architecture: Stage 1: To save training time, we use a simple algorithm to filter out constituents that are clearly not semantic arguments to the predicate in question.</S><S sid = 50 ssid = >Stage 2: We then classify the candidates derived from the first stage as either semantic arguments or non-arguments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W04-3212.txt | Citing Article:  D08-1034.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Xue and Palmer (2004) did very encouraging work on the feature calibration of semantic role labeling.</S> | Reference Offset:  ['0','8'] | Reference Text:  <S sid = 0 ssid = >Calibrating Features For Semantic Role Labeling</S><S sid = 8 ssid = >The shared task of the CoNLL-2004 is devoted to semantic role labeling (Carreras and Marquez, 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W04-3212.txt | Citing Article:  C08-1105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Though several pruning algorithms have been raised (Xue and Palmer, 2004), the policies are all in global style. In this paper, a statistical analysis of Penn Prop Bank indicates that arguments are limited in a local syntax sub-tree rather than a whole one.</S> | Reference Offset:  ['12','46'] | Reference Text:  <S sid = 12 ssid = >This paper is organized as follows.</S><S sid = 46 ssid = >One is that for a given verb, the majority of the constituents in a syntactic tree are not its semantic arguments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W04-3212.txt | Citing Article:  W06-2611.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Also, we considered some of the features designed by (Pradhan et al, 2004): First and Last Word/POS in Constituent, Subcategorization, Head Word of Prepositional Phrases and the Syntactic Frame feature from (Xue and Palmer, 2004).</S> | Reference Offset:  ['64','67'] | Reference Text:  <S sid = 64 ssid = >It is clear that the syntactic frame feature results in the most improvement (more than 1.7%) over the baseline, with the head of the PP parent feature being a close second.</S><S sid = 67 ssid = >The last three features are from (Pradhan et al., 2004), and they also result in an improvement in performance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W04-3212.txt | Citing Article:  W11-0906.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This is from a general belief that each step requires a different set of features (Xue and Palmer, 2004), and training these steps in a pipeline takes less time than training them as a joint-inference task.</S> | Reference Offset:  ['49','79'] | Reference Text:  <S sid = 49 ssid = >Based on these considerations, we will adopt a three-stage architecture: Stage 1: To save training time, we use a simple algorithm to filter out constituents that are clearly not semantic arguments to the predicate in question.</S><S sid = 79 ssid = >We further show that different features are needed for different subtasks.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W04-3212.txt | Citing Article:  W11-0906.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To reduce the complexity, Zhao et al (2009) reformulated a pruning algorithm introduced by Xue and Palmer (2004) for dependency structure by considering only direct dependents of a predicate and its ancestors as argument candidates.</S> | Reference Offset:  ['7','67'] | Reference Text:  <S sid = 7 ssid = >The availability of semantically annotated corpora such as the Proposition Banks (Kingsbury and Palmer, 2002; Xue and Palmer, 2003) and FrameNet (Baker et al., 1998) have enabled the development of a rapidly growing list of statistical semantic analyzers (Giidea and Jurafsky, 2002; Giidea and Palmer, 2002; Chen and Rambow, 2003; Pradhan et al., 2003; Pradhan et al., 2004; Sun and Jurafsky, 2004; Palmer et al., submitted).</S><S sid = 67 ssid = >The last three features are from (Pradhan et al., 2004), and they also result in an improvement in performance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W04-3212.txt | Citing Article:  D09-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Xue and Palmer, 2004) found out that different features suited for different sub-tasks of SRL ,i.e. argument identification and classification.</S> | Reference Offset:  ['3','79'] | Reference Text:  <S sid = 3 ssid = >We further show that different features are needed for different subtasks.</S><S sid = 79 ssid = >We further show that different features are needed for different subtasks.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W04-3212.txt | Citing Article:  D09-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As for the former (hereafter it is referred to synPth), we continue to use a dependency version of the pruning algorithm of (Xue and Palmer, 2004).</S> | Reference Offset:  ['49','74'] | Reference Text:  <S sid = 49 ssid = >Based on these considerations, we will adopt a three-stage architecture: Stage 1: To save training time, we use a simple algorithm to filter out constituents that are clearly not semantic arguments to the predicate in question.</S><S sid = 74 ssid = >They did not report results that use automatic parses with this version of the data, but using a previous version of the data, they reported an fscore of 79.4% using automatic parses (Charniak, 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W04-3212.txt | Citing Article:  D09-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Note that this pruning algorithm is slightly different from that of (Xue and Palmer, 2004), the predicate itself is also included in the argument candidate list as the nominal predicate sometimes takes itself as its argument.</S> | Reference Offset:  ['26','52'] | Reference Text:  <S sid = 26 ssid = >That is, an argument marked with the same number, e.g.</S><S sid = 52 ssid = >Step 1: Designate the predicate as the current node and collect its sisters (constituents attached at the same level as the predicate) unless its sisters are coordinated with the predicate.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W04-3212.txt | Citing Article:  D09-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The effectiveness of the proposed additional pruning techniques may be seen as a significant improvement over the original algorithm of (Xue and Palmer, 2004).</S> | Reference Offset:  ['62','82'] | Reference Text:  <S sid = 62 ssid = >The baseline system uses the original features proposed in (Giidea and Palmer, 2002) and each row shows the improvement over the baseline when that feature is added to the baseline features.</S><S sid = 82 ssid = >We also believe that the features we proposed here are to a large extent complementary to those proposed in a recent work by Pradhan et al (2004) and we intend to incorporate them in our system.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W04-3212.txt | Citing Article:  D09-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For our baseline SRL model, we adopt the features used in other state-of-the-art SRL systems, which include the seven baseline features from the original work of Gildea and Jurafsky (2002) ,additional features taken from Pradhan et al (2005), and feature combinations which are inspired by the system in Xue and Palmer (2004).</S> | Reference Offset:  ['39','62'] | Reference Text:  <S sid = 39 ssid = >For comparison purposes we ignore the frameset information for now, following the practice of Gildea and Palmer (Gildea and Jurafsky, 2002; Pradhan et al., 2003) and others.</S><S sid = 62 ssid = >The baseline system uses the original features proposed in (Giidea and Palmer, 2002) and each row shows the improvement over the baseline when that feature is added to the baseline features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W04-3212.txt | Citing Article:  W05-0620.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For instance, many systems used the pruning strategy described in (Xue and Palmer, 2004) and other systems used the soft pruning rules described in (Pradhan et al, 2005a).</S> | Reference Offset:  ['7','67'] | Reference Text:  <S sid = 7 ssid = >The availability of semantically annotated corpora such as the Proposition Banks (Kingsbury and Palmer, 2002; Xue and Palmer, 2003) and FrameNet (Baker et al., 1998) have enabled the development of a rapidly growing list of statistical semantic analyzers (Giidea and Jurafsky, 2002; Giidea and Palmer, 2002; Chen and Rambow, 2003; Pradhan et al., 2003; Pradhan et al., 2004; Sun and Jurafsky, 2004; Palmer et al., submitted).</S><S sid = 67 ssid = >The last three features are from (Pradhan et al., 2004), and they also result in an improvement in performance.</S> | Discourse Facet:  NA | Annotator: Automatic


