Citance Number: 1 | Reference Article:  J03-4004.txt | Citing Article:  P07-1028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >They have been used for example for syntactic disambiguation (Hindle and Rooth, 1993), word sense disambiguation (WSD) (McCarthy and Carroll, 2003) and semantic role labeling (SRL) (Gildea and Jurafsky, 2002).</S> | Reference Offset:  ['1','7'] | Reference Text:  <S sid = 1 ssid = >Selectional preferences have been used by word sense disambiguation (WSD) systems as one source of disambiguating information.</S><S sid = 7 ssid = >Selectional preferences have been used by word sense disambiguation (WSD) systems as one source of disambiguating information.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  J03-4004.txt | Citing Article:  D07-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In computational linguistics, a multitude of tasks is sensitive to selectional preferences, such as the resolution of ambiguous attachments (Hindle and Rooth, 1993), word sense disambiguation (McCarthy and Carroll, 2003), semantic role labelling (Gildea and Jurafsky, 2002), or testing the applicability of inference rules (Pantel et al, 2007).</S> | Reference Offset:  ['1','7'] | Reference Text:  <S sid = 1 ssid = >Selectional preferences have been used by word sense disambiguation (WSD) systems as one source of disambiguating information.</S><S sid = 7 ssid = >Selectional preferences have been used by word sense disambiguation (WSD) systems as one source of disambiguating information.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  J03-4004.txt | Citing Article:  P08-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Note that these are the two extremes of semantic granularity in WordNet, and we plan to experiment with intermediate representation levels in future research (c.f. Li and Abe (1998), McCarthy and Carroll (2003), Xiong et al (2005), Fujita et al (2007)).</S> | Reference Offset:  ['30','132'] | Reference Text:  <S sid = 30 ssid = >The first application is text simplification, as outlined by Carroll, Minnen, Pearce et al. (1999).</S><S sid = 132 ssid = >We evaluated our system using the SENSEVAL-2 test corpus on the English allwords task (Cotton et al., 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J03-4004.txt | Citing Article:  C10-2142.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Agirre and Martinez (2001) and Zheng et al (2007) adopted the Class-only Model in research, while in McCarthy and Carroll (2003) and Merlo and Stevenson (2001) the Word-Class Model is employed.</S> | Reference Offset:  ['24','132'] | Reference Text:  <S sid = 24 ssid = >Previously, we evaluated noun and verb disambiguation on the English all-words task in the SENSEVAL-2 exercise (Cotton et al. 2001).</S><S sid = 132 ssid = >We evaluated our system using the SENSEVAL-2 test corpus on the English allwords task (Cotton et al., 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J03-4004.txt | Citing Article:  C10-2142.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >McCarthy and Carroll (2003) reports that the Word-Class Model performs well in unsupervised WSD.</S> | Reference Offset:  ['48','161'] | Reference Text:  <S sid = 48 ssid = >The parser uses a wide-coverage unification-based shallow grammar of English POS tags and punctuation (Briscoe and Carroll 1995) and performs disambiguation using a context-sensitive probabilistic model (Briscoe and Carroll 1993), recovering from extra-grammaticality by returning partial parses.</S><S sid = 161 ssid = >We would expect that WSD results using selectional preferences would be better for the latter class of verbs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J03-4004.txt | Citing Article:  C10-2142.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One known unsupervised learning approach for WSD in SP is McCarthy and Carroll (2003) which addresses the issue via conditional probability.</S> | Reference Offset:  ['5','187'] | Reference Text:  <S sid = 5 ssid = >Although the preferences perform well in comparison with other unsupervised WSD systems on the same corpus, the results show that for many applications, further knowledge sources would be required to achieve an adequate level of accuracy and coverage.</S><S sid = 187 ssid = >We intend to investigate this issue further with the SENSEVAL-2 lexical sample data, which contains more instances of a smaller number of words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J03-4004.txt | Citing Article:  C10-2142.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This experiment is used as baseline as the approach is also used in McCarthy and Carroll (2003) for verb and adjective disambiguation.</S> | Reference Offset:  ['1','102'] | Reference Text:  <S sid = 1 ssid = >Selectional preferences have been used by word sense disambiguation (WSD) systems as one source of disambiguating information.</S><S sid = 102 ssid = >Li and Abe used TCMs for the task of structural disambiguation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J03-4004.txt | Citing Article:  C10-2142.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >McCarthy and Carroll (2003) also uses this type of redundancy for disambiguation in SP.</S> | Reference Offset:  ['48','172'] | Reference Text:  <S sid = 48 ssid = >The parser uses a wide-coverage unification-based shallow grammar of English POS tags and punctuation (Briscoe and Carroll 1995) and performs disambiguation using a context-sensitive probabilistic model (Briscoe and Carroll 1993), recovering from extra-grammaticality by returning partial parses.</S><S sid = 172 ssid = >Moreover, for some words the predominant sense varies depending on the domain and text type.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J03-4004.txt | Citing Article:  C10-2142.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The approach is also used in (McCarthy and Carroll 2003) to disambiguate verbs and adjectives in collocations.</S> | Reference Offset:  ['3','9'] | Reference Text:  <S sid = 3 ssid = >The selectional preferences are specific to verb or adjective classes, rather than individual word forms, so they can be used to disambiguate the co-occurring adjectives and verbs, rather than just the nominal argument heads.</S><S sid = 9 ssid = >The selectional preferences are specific to verb or adjective classes, rather than individual word forms, so they can be used to disambiguate the co-occurring adjectives and verbs, rather than just the nominal argument heads.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J03-4004.txt | Citing Article:  C10-2142.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To be particular, the method used by McCarthy and Carroll (2003) is formula (6).</S> | Reference Offset:  ['73','177'] | Reference Text:  <S sid = 73 ssid = >We set the threshold by examining a plot of BNC frequency and the percentage of verbs at particular frequencies that are not listed in WordNet (Figure 2).</S><S sid = 177 ssid = >No particular patterns were evident in this respect, perhaps because of the small size of the test data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J03-4004.txt | Citing Article:  S12-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example: McCarthy and Carroll (2003) use Li and Abe's method in a word sense disambiguation setting; Schulteim Walde et al (2008) use their MDL approach as part of a system for syntactic and semantic subcategorisation frame learning; Shutova (2010) deploys Resnik's method for metaphor interpretation.</S> | Reference Offset:  ['102','170'] | Reference Text:  <S sid = 102 ssid = >Li and Abe used TCMs for the task of structural disambiguation.</S><S sid = 170 ssid = >We do not use any first-sense information.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J03-4004.txt | Citing Article:  P10-1097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Examples include information retrieval (Manning et al, 2008), word sense discrimination (Schtze, 1998) and disambiguation (McCarthy and Carroll, 2003), to name but a few.</S> | Reference Offset:  ['1','170'] | Reference Text:  <S sid = 1 ssid = >Selectional preferences have been used by word sense disambiguation (WSD) systems as one source of disambiguating information.</S><S sid = 170 ssid = >We do not use any first-sense information.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J03-4004.txt | Citing Article:  D07-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >McCarthy and Carroll (2003) have shown the effectiveness of the selectional preference information for WSD.</S> | Reference Offset:  ['1','7'] | Reference Text:  <S sid = 1 ssid = >Selectional preferences have been used by word sense disambiguation (WSD) systems as one source of disambiguating information.</S><S sid = 7 ssid = >Selectional preferences have been used by word sense disambiguation (WSD) systems as one source of disambiguating information.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J03-4004.txt | Citing Article:  I08-2105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >McCarthy and Carroll (2003) also use an unsupervised approach and grammatical relations to learn selectional preferences for word classes.</S> | Reference Offset:  ['125','205'] | Reference Text:  <S sid = 125 ssid = >There is a significant limitation to the word tokens that can be disambiguated using selectional preferences, in that they are restricted to those that occur in the specified grammatical relations and in argument head position.</S><S sid = 205 ssid = >Selectional preferences work well for some word combinations and grammatical relationships, but not well for others.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J03-4004.txt | Citing Article:  I08-2105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The most similar approach to the one we describe, that has been tested on Senseval-2, is the one described in (McCarthy and Carroll, 2003).</S> | Reference Offset:  ['77','99'] | Reference Text:  <S sid = 77 ssid = >Thus AC = {ac E WordNet adjective synsets linked by similar-to}.</S><S sid = 99 ssid = >The method disambiguates nouns and verbs to the WordNet synset level and adjectives to a coarse-grained level of WordNet synsets linked by the similar-to relation, as described previously.</S> | Discourse Facet:  NA | Annotator: Automatic


