Citance Number: 1 | Reference Article:  J94-4002.txt | Citing Article:  E95-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>our model incorporates the text-level of anaphora resolution, a shortcoming of the original SG approach that has recently been removed (Lappin and Leass, 1994), but still is a source of lots of problems.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Shalom Lappin and Herbert J. Leass An Algorithm for Pronominal Anaphora Resolution sentence, attempt to identify their antecedents.</S><S sid = NA ssid = NA>An Algorithm For Pronominal Anaphora Resolution</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  J94-4002.txt | Citing Article:  C04-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the heuristic salience-based algorithm for pronoun resolution, Lappin and Leass (1994) introduce a procedure for identifying anaphorically linked NP as a cluster for which a global salience value is computed as the sum of the salience values of its elements.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The elements of L appear in descending order of salience value.</S><S sid = NA ssid = NA>Deactivating the equivalence class mechanism also led to a significant deterioration in RAP's performance; in this variant (VII), only the salience factors applying to a particular NP contribute to its salience weight, without any contribution from other anaphorically linked NPs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J94-4002.txt | Citing Article:  C08-1121.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Lappin and Leass (1994), for example, use several heuristics to filter out expletive pronouns, including a check for patterns including modal adjectives.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A class of modal adjectives is specified.</S><S sid = NA ssid = NA>From this corpus we extracted sentences with 560 occurrences of third person pronouns (including reflexives and reciprocals) and their antecedents.'</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J94-4002.txt | Citing Article:  W10-4232.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We implemented a coreference resolution tool using a shallow rule-based approach inspired by Lappin and Leass (1994) and Bontcheva et al (2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>There is a second difficulty with the Brennan et al. centering algorithm.</S><S sid = NA ssid = NA>2.1.1 The Syntactic Filter on Pronoun—NP Coreference.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J94-4002.txt | Citing Article:  W07-1404.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The new tool combines Hobbs algorithm (Hobbs, 1978) and the Resolution of Anaphora Procedure (RAP) algorithm (Lappin and Leass, 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We refer to this algorithm as RAP (Resolution of Anaphora Procedure).</S><S sid = NA ssid = NA>An Algorithm For Pronominal Anaphora Resolution</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J94-4002.txt | Citing Article:  W04-2310.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Lappin and Leass, 1994) describe several syntactic heuristics for reflexive, reciprocal and pleonastic anaphora, among others.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It is important to note that the test set does not include pleonastic pronouns or lexical anaphors (reflexive or reciprocal pronouns), neither of which are dealt with by Hobbs' algorithm.</S><S sid = NA ssid = NA>In the case of lexical anaphors (reflexive or reciprocal pronouns), the possible antecedent binders were identified by the anaphor binding algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J94-4002.txt | Citing Article:  W04-2310.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Definiteness (Lappin and Leass, 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Shalom Lappin and Herbert J. Leass An Algorithm for Pronominal Anaphora Resolution sentence, attempt to identify their antecedents.</S><S sid = NA ssid = NA>Lappin (1985) employs it as a salience hierarchy to state a non-coreference constraint for pronouns.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J94-4002.txt | Citing Article:  W04-2310.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Non-prepositional NP (Lappin and Leass, 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Non-coreferential pronoun--NP pairs. function.</S><S sid = NA ssid = NA>The filter consists of six conditions for NP—pronoun non-coreference within a sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J94-4002.txt | Citing Article:  W04-2310.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Pleonastic (Lappin and Leass, 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>2.1.2 Test for Pleonastic Pronouns.</S><S sid = NA ssid = NA>Shalom Lappin and Herbert J. Leass An Algorithm for Pronominal Anaphora Resolution sentence, attempt to identify their antecedents.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J94-4002.txt | Citing Article:  W04-2310.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Syntactic Parallelism (Lappin and Leass, 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(1.7), which also benefits from the parallelism reward.</S><S sid = NA ssid = NA>Shalom Lappin and Herbert J. Leass An Algorithm for Pronominal Anaphora Resolution sentence, attempt to identify their antecedents.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J94-4002.txt | Citing Article:  W04-2310.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We are also grateful to several anonymous reviewers of Computational Linguistics for helpful comments on earlier drafts of the paper.</S><S sid = NA ssid = NA>The salience weight of a candidate can be modified in several ways: a.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J94-4002.txt | Citing Article:  P00-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Other works, however, distinguish between restrictions and preferences (e.g. Lappin and Leass (1994)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Selectional restrictions or statistically measured lexical preferences (see Section 5) could clearly help in at least some of these cases.</S><S sid = NA ssid = NA>(1.17), the parallelism reward works in favor of ESC.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J94-4002.txt | Citing Article:  P00-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Lappin and Leass (1994) describe an algorithm for pronominal anaphora resolution that achieves a high rate of correct analyses (85%).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>An Algorithm For Pronominal Anaphora Resolution</S><S sid = NA ssid = NA>The authors' algorithm achieves a higher rate of success (4%) than Hobbs' algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J94-4002.txt | Citing Article:  P00-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>More recently, Kennedy and Boguraev (1996) propose an algorithm for anaphora resolution that is actually a modified and extended version of the one developed by Lappin and Leass (1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>An Algorithm For Pronominal Anaphora Resolution</S><S sid = NA ssid = NA>Shalom Lappin and Herbert J. Leass An Algorithm for Pronominal Anaphora Resolution sentence, attempt to identify their antecedents.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J94-4002.txt | Citing Article:  P00-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Lappin and Leass (1994) has also been implemented in our system and an accuracy of 64% was attained.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We have implemented a version of Hobbs' algorithm for Slot Grammar.</S><S sid = NA ssid = NA>Like the parser, the algorithm is implemented in Prolog.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J94-4002.txt | Citing Article:  W05-0612.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Implementation of constraints and preference scan be based on empirical insight (Lappin and Leass, 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It permits statistically measured lexical preference to overturn salience-based decisions only in cases in which the difference between the salience values of two candidates is small and the statistical preference for the less salient candidate is comparatively large.'</S><S sid = NA ssid = NA>Shalom Lappin and Herbert J. Leass An Algorithm for Pronominal Anaphora Resolution sentence, attempt to identify their antecedents.</S> | Discourse Facet:  NA | Annotator: Automatic


