Citance Number: 1 | Reference Article:  P08-1028.txt | Citing Article:  D08-1094.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Mitchell and Lapata (2008) propose a framework to represent the meaning of the combination p+ a as a function f operating on four components: c= f (p, a, R, K) (3) R is the relation holding between p and a, and K additional knowledge.</S> | Reference Offset:  ['62','96'] | Reference Text:  <S sid = 62 ssid = >Another simplification concerns K which can be ignored so as to explore what can be achieved in the absence of additional knowledge.</S><S sid = 96 ssid = >Any adequate model of composition must be able to represent argument-verb meaning.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P08-1028.txt | Citing Article:  S12-1081.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Note that Spearman's ? is often a little lower than Pear son? s (Mitchell and Lapata, 2008).</S> | Reference Offset:  ['134','164'] | Reference Text:  <S sid = 134 ssid = >We used Spearman’s ρ, a non parametric correlation coefficient, to avoid making any assumptions about the distribution of the similarity ratings.</S><S sid = 164 ssid = >A more scrupulous evaluation requires directly correlating all the individual participants’ similarity judgments with those of the models.6 We used Spearman’s p for our correlation analyses.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P08-1028.txt | Citing Article:  P10-1097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Mitchell and Lapata (2008), henceforth M& amp; L, propose a general framework in which meaning representations for complex expressions are computed compositionally by combining the vector representations of the individual words of the complex expression.</S> | Reference Offset:  ['21','28'] | Reference Text:  <S sid = 21 ssid = >Central in these models is the notion of compositionality — the meaning of complex expressions is determined by the meanings of their constituent expressions and the rules used to combine them.</S><S sid = 28 ssid = >The problem of vector composition has received some attention in the connectionist literature, particularly in response to criticisms of the ability of connectionist representations to handle complex structures (Fodor and Pylyshyn, 1988).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P08-1028.txt | Citing Article:  P10-1097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Interestingly, Mitchell and Lapata (2008) came to the same result in a different setting.</S> | Reference Offset:  ['72','104'] | Reference Text:  <S sid = 72 ssid = >As a result of the assumption of symmetry, both these models are ‘bag of words’ models and word order insensitive.</S><S sid = 104 ssid = >Verbs and nouns that were attested less than fifty times in the BNC were removed as they would result in unreliable vectors.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P08-1028.txt | Citing Article:  D11-1094.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >And Mitchell and Lapata (2008) propose a model for vector composition, focusing on the different functions that might be used to combine the constituent vectors.</S> | Reference Offset:  ['2','21'] | Reference Text:  <S sid = 2 ssid = >Central to our approach is vector composition which we operationalize in terms of additive and multiplicative functions.</S><S sid = 21 ssid = >Central in these models is the notion of compositionality — the meaning of complex expressions is determined by the meanings of their constituent expressions and the rules used to combine them.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P08-1028.txt | Citing Article:  W11-0131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Mitchell and Lapata (2008) provide a general framework for semantic vector composition: p= f (u, v, R, K) (1) 295 where u and v are the vectors to be composed, R is syntactic context, K is a semantic knowledge base, and p is a resulting composed vector (or tensor).</S> | Reference Offset:  ['0','189'] | Reference Text:  <S sid = 0 ssid = >Vector-based Models of Semantic Composition</S><S sid = 189 ssid = >In this paper we presented a general framework for vector-based semantic composition.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P08-1028.txt | Citing Article:  W11-0131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As Mitchell and Lapata (2008) did, let us temporarily suspend discussion on what semantics populate our vectors for now.</S> | Reference Offset:  ['20','57'] | Reference Text:  <S sid = 20 ssid = >Computational models of semantics which use symbolic logic representations (Montague, 1974) can account naturally for the meaning of phrases or sentences.</S><S sid = 57 ssid = >Let p denote the composition of two vectors u and v, representing a pair of constituents which stand in some syntactic relation R. Let K stand for any additional knowledge or information which is needed to construct the semantics of their composition.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P08-1028.txt | Citing Article:  P13-2083.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Mitchell and Lapata (2008) propose a framework to define the composition c= f (a, b, r, K) where r is the relation between a and b, and K is the additional knowledge used to define composition.</S> | Reference Offset:  ['57','58'] | Reference Text:  <S sid = 57 ssid = >Let p denote the composition of two vectors u and v, representing a pair of constituents which stand in some syntactic relation R. Let K stand for any additional knowledge or information which is needed to construct the semantics of their composition.</S><S sid = 58 ssid = >We define a general class of models for this process of composition as: The expression above allows us to derive models for which p is constructed in a distinct space from u and v, as is the case for tensor products.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P08-1028.txt | Citing Article:  P13-2083.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As our final set of baselines, we extend two simple techniques proposed by (Mitchell and Lapata, 2008) that use element-wise addition and multiplication operators to perform composition.</S> | Reference Offset:  ['36','190'] | Reference Text:  <S sid = 36 ssid = >To overcome this problem, other techniques have been proposed in which the binding of two vectors results in a vector which has the same dimensionality as its components.</S><S sid = 190 ssid = >We formulated composition as a function of two vectors and introduced several models based on addition and multiplication.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P08-1028.txt | Citing Article:  P10-1021.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this work we model semantic constraint using the representational framework put forward in Mitchell and Lapata (2008).</S> | Reference Offset:  ['52','189'] | Reference Text:  <S sid = 52 ssid = >Under this framework, we introduce novel composition models which we compare empirically against previous work using a rigorous evaluation methodology.</S><S sid = 189 ssid = >In this paper we presented a general framework for vector-based semantic composition.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P08-1028.txt | Citing Article:  P10-1021.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Mitchell and Lapata (2008) show that several additive and multiplicative models can be formulated under this framework, including the well known tensor products (Smolensky 1990) and circular convolution (Plate 1995).</S> | Reference Offset:  ['34','38'] | Reference Text:  <S sid = 34 ssid = >Smolensky (1990) proposed the use of tensor products as a means of binding one vector to another.</S><S sid = 38 ssid = >The projection is defined in terms of circular convolution a mathematical function that compresses the tensor product of two vectors.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P08-1028.txt | Citing Article:  W11-0115.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Mitchell and Lapata (2008) introduce a whole family of models of compositionality based on vector addition and point wise-multiplication (and a weighted combination of both), evaluated on a sentence similarity task inspired by Kintsch (2001).</S> | Reference Offset:  ['3','88'] | Reference Text:  <S sid = 3 ssid = >Under this framework, we introduce a wide range of composition models which we evaluate empirically on a sentence similarity task.</S><S sid = 88 ssid = >We evaluated the models presented in Section 3 on a sentence similarity task initially proposed by Kintsch (2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P08-1028.txt | Citing Article:  W11-0115.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The approach proposed by Guevara (2010) is really only an extension of the full additive model of Mitchell and Lapata (2008), the only difference being that adopting a supervised learning methodology ensures that the weight parameters in the function are estimated optimally by linear regression.</S> | Reference Offset:  ['157','161'] | Reference Text:  <S sid = 157 ssid = >Finally, Kintsch’s (2001) additive model has two extra parameters.</S><S sid = 161 ssid = >Evaluation Methodology We evaluated the proposed composition models in two ways.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P08-1028.txt | Citing Article:  W11-0115.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, Mitchell and Lapata (2008) use their models to approximate the human ratings in their sentence similarity dataset.</S> | Reference Offset:  ['99','180'] | Reference Text:  <S sid = 99 ssid = >In order to establish an independent measure of sentence similarity, we assembled a set of experimental materials and elicited similarity ratings from human subjects.</S><S sid = 180 ssid = >As can be seen, all models are significantly correlated with the human ratings.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P08-1028.txt | Citing Article:  W11-1310.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use other WSM settings following Mitchell and Lapata (2008).</S> | Reference Offset:  ['7','100'] | Reference Text:  <S sid = 7 ssid = >A variety of NLP tasks have made good use of vector-based models.</S><S sid = 100 ssid = >In the following we describe our data collection procedure and give details on how our composition models were constructed and evaluated.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P08-1028.txt | Citing Article:  W11-1310.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Mitchell and Lapata (2008) observed that a simple multiplication function modelled compositionality better than addition.</S> | Reference Offset:  ['165','190'] | Reference Text:  <S sid = 165 ssid = >Again, better models should correlate better with the experimental data.</S><S sid = 190 ssid = >We formulated composition as a function of two vectors and introduced several models based on addition and multiplication.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P08-1028.txt | Citing Article:  W11-1310.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use the compositionality functions, simple addition and simple multiplication to build compositional vectors Vwr1+wr2 and Vwr1 ?wr2. These are as described in (Mitchell and Lapata, 2008).</S> | Reference Offset:  ['182','190'] | Reference Text:  <S sid = 182 ssid = >The lowest correlation (p = 0.04) is observed for the simple additive model which is not significantly different from the non-compositional baseline model.</S><S sid = 190 ssid = >We formulated composition as a function of two vectors and introduced several models based on addition and multiplication.</S> | Discourse Facet:  NA | Annotator: Automatic


