Citance Number: 1 | Reference Article:  W98-1411.txt | Citing Article:  N01-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Mellish et al (1998) investigate the problem of determining a discourse tree for a set of elementary speech acts which are partially constrained by rhetorical relations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Marcu has characterised an important and difficult problem in text planning: given a set of facts to convey and a set of rhetorical relations that can be used to link them together, how can one arrange this material so as to yield the best possible text?</S><S sid = NA ssid = NA>Building a good RS tree is a search problem.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  W98-1411.txt | Citing Article:  P03-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Mellish et al (1998) advocate stochastic search as an alternative to exhaustively examining the search space.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Experiments Using Stochastic Search For Text Planning</S><S sid = NA ssid = NA>Stochastic search methods are a form of heuristic search that use the following generic algorithm: Use these to generate one or more new random variations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W98-1411.txt | Citing Article:  P03-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As in the case of Mellish et al (1998) we construct an acceptable ordering rather than the best possible one.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This is not always the case.</S><S sid = NA ssid = NA>Marcu first of all attempts to find the best ordering of the facts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W98-1411.txt | Citing Article:  W08-1116.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Mellish et al (1998) made the point that even this restricted approach would soon become intractable with more than a small set of facts when one allows weak RST relations such as Joint and Elaboration into the model.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>With each example problem we have specified the number of facts, the number of elaboration relations and the number of non-elaboration relations.</S><S sid = NA ssid = NA>In this task, one is given a set of facts all of which should be included in a text and a set of relations between facts, some of which can be included in the text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W98-1411.txt | Citing Article:  W08-1116.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the late 1990s, Chris Mellish implemented the first stochastic text planner (Mellish et al 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Experiments Using Stochastic Search For Text Planning</S><S sid = NA ssid = NA>The work was motivated by the needs of the ILEX system for generating descriptions of museum artefacts (in particular, 20th Century jewellery) [Mellish et al 98].</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W98-1411.txt | Citing Article:  W08-1116.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The evaluation function of Mellish et al (1998) also was calculated over a sum of local features of the tree, although a wider set of features were involved.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We assign a candidate tree a score which is the sum of scores for particular features the tree may have.</S><S sid = NA ssid = NA>The relevant features are summarised in Figure 3.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W98-1411.txt | Citing Article:  W08-1116.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For instance, the evaluation function of Mellish et al (1998) assigned +3 for each instance of subject-repetition.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For instance, in our ILEX domain [Mellish et al 98] the system's goal is something very general like &quot;say interesting things about item X,' subject to length and coherence constraints&quot;.</S><S sid = NA ssid = NA>It is necessary to be careful in evaluating these results, which are only as good as the evaluation function.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W98-1411.txt | Citing Article:  W05-1620.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Genetic algorithms are also used in [Mellish et al, 1998] where the authors state the problem of given a set of facts to convey and a set of rhetorical relations that can be used to link them together, how one can arrange this material so as to yield the best possible text.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Marcu has characterised an important and difficult problem in text planning: given a set of facts to convey and a set of rhetorical relations that can be used to link them together, how can one arrange this material so as to yield the best possible text?</S><S sid = NA ssid = NA>In this task, one is given a set of facts all of which should be included in a text and a set of relations between facts, some of which can be included in the text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W98-1411.txt | Citing Article:  P09-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Mellish et al (1998) advocate stochastic search methods for document structuring.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Using the above evaluation metric for RS trees, we have experimented with a range of stochastic search methods.</S><S sid = NA ssid = NA>This paper presents some initial experiments using stochastic search methods for aspects of text planning.</S> | Discourse Facet:  NA | Annotator: Automatic


