Citance Number: 1 | Reference Article:  D11-1006.txt | Citing Article:  D11-1118.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>One of several drawbacks of this practice is that it weakens any conclusions that could be drawn about how computers (and possibly humans) learn in the absence of explicit feedback (McDonald et al, 2011).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Most notably, it increases our understanding of how computers (and possibly humans) learn in the absence of any explicit feedback.</S><S sid = NA ssid = NA>However, the gold POS tag assumption weakens any conclusions that can be drawn, as part-of-speech are also a form of syntactic analysis, only shallower.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  D11-1006.txt | Citing Article:  P14-2095.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It also retains compatibility with any refinement procedures similar to projected transfer (McDonald et al, 2011) that may have been designed to work in conjunction with direct model transfer.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For the multi-source projected parser, the procedure is identical to that in Section 3.2 except that we use the multi-source direct transfer model to seed the algorithm instead of the English-only direct transfer model.</S><S sid = NA ssid = NA>In this section we describe a simple mechanism for projecting from the direct transfer system using large amounts of parallel data in a similar vein to Hwa et al. (2005), Ganchev et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  D11-1006.txt | Citing Article:  P14-2095.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It remains to be seen which one would produce the best results and how multi-source feature representation projection would compare to, for example, multi-source projected transfer (McDonald et al, 2011).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The third (multi-dir.) is the multi-source direct transfer system.</S><S sid = NA ssid = NA>For the multi-source projected system the results are mixed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  D11-1006.txt | Citing Article:  D12-1028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>McDonald et al (2011) showed that such projection produce better structures than the current unsupervised parsers do.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Subsequently, researchers have begun to look at both porting these parsers to new domains (Gildea, 2001; McClosky et al., 2006; Petrov et al., 2010) and constructing parsers for new languages (Collins et al., 1999; Buchholz and Marsi, 2006; Nivre et al., 2007).</S><S sid = NA ssid = NA>As previously mentioned, the latter has been explored in both Søgaard (2011) and Cohen et al. (2011).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  D11-1006.txt | Citing Article:  D12-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A more generally applicable class of methods exploits the notion of universal part of speech tags (Petrov et al., 2011; Das and Petrov, 2011) to train parsers that can run on any language with no adaptation (McDonald et al., 2011) or unsupervised adaptation (Cohen et al., 2011).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As previously mentioned, the latter has been explored in both Søgaard (2011) and Cohen et al. (2011).</S><S sid = NA ssid = NA>In the first, we assumed that the test set for each target language had gold part-of-speech tags, and in the second we used predicted part-of-speech tags from the projection tagger of Das and Petrov (2011), which also uses English as the source language.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  D11-1006.txt | Citing Article:  D12-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>By instantiating the basic MST Parser features over coarse parts of speech, we construct a state-of-the-art delexicalized parser in the style of McDonald et al (2011).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, when training and testing a parser on our English data, a parser with all features obtains an UAS of 89.3%3 whereas a delexicalized parser – a parser that only has nonlexical features – obtains an UAS of 82.5%.</S><S sid = NA ssid = NA>We empirically show that directly transferring delexicalized models (i.e. parsing a foreign language POS sequence with an English parser) already outperforms state-of-the-art unsupervised parsers by a significant margin.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  D11-1006.txt | Citing Article:  D12-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We emphasize again that these baseline features are entirely standard, and all the DELEX feature set does is recreate an MST Parser-based analogue of the direct transfer parser described by McDonald et al (2011).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, when training and testing a parser on our English data, a parser with all features obtains an UAS of 89.3%3 whereas a delexicalized parser – a parser that only has nonlexical features – obtains an UAS of 82.5%.</S><S sid = NA ssid = NA>It starts by labeling a set of target language sentences with a parser, which in our case is the direct transfer parser from the previous section (line 1).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  D11-1006.txt | Citing Article:  D12-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The first variable we consider is whether we have access to a small number of target language trees or only pre-existing tree banks in a number of other languages; while not our actual target language, these other tree banks can still serve as a kind of proxy for learning which features generally transfer useful in formation (McDonald et al., 2011).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Table 2 shows the matrix of source-target language UAS for all nine languages we consider (the original eight target languages plus English).</S><S sid = NA ssid = NA>Cohen et al. (2011) explores the idea learning language specific mixture coefficients for models trained independently on the target language treebanks.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  D11-1006.txt | Citing Article:  D12-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following McDonald et al (2011), we strip punctuation from all tree banks for the results of Section 3.3.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>An empirical comparison to Ganchev et al. (2009) is given in Section 5.</S><S sid = NA ssid = NA>Ganchev et al. also report results for Bulgarian.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  D11-1006.txt | Citing Article:  D12-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would also like to thank Shay Cohen, Dipanjan Das, Noah Smith and Anders Søgaard for sharing early drafts of their recent related work.</S><S sid = NA ssid = NA>UAS for all sentence lengths without punctuation are given in Table 1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  D11-1006.txt | Citing Article:  D12-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following the procedure from McDonald et al (2011), for each language, we train both our DELEX and DELEX+PROJ features on a concatenation of 2000 sentences from each other CoNLL training set, plus 2000 sentences from the Penn Treebank.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We trained on sentences of length 10 or less and evaluated on all sentences from the test set.4 For DMV, we reversed the direction of all dependencies if this led to higher performance.</S><S sid = NA ssid = NA>This includes work on phrasestructure parsing (Collins, 1997; Charniak, 2000; Petrov et al., 2006), dependency parsing (McDonald et al., 2005; Nivre et al., 2006) as well as a number of other formalisms (Clark and Curran, 2004; Wang and Harper, 2004; Shen and Joshi, 2008).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  D11-1006.txt | Citing Article:  D12-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We include for reference the baseline results of McDonald et al (2011) and Ta?ckstro?m et al (2012) (multi-direct transfer and no clusters) and the improvements from their best methods using lexical information (multi-projected transfer and cross lingual clusters).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The third (multi-dir.) is the multi-source direct transfer system.</S><S sid = NA ssid = NA>For the multi-source projected parser, the procedure is identical to that in Section 3.2 except that we use the multi-source direct transfer model to seed the algorithm instead of the English-only direct transfer model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  D11-1006.txt | Citing Article:  D12-1125.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would also like to thank Shay Cohen, Dipanjan Das, Noah Smith and Anders Søgaard for sharing early drafts of their recent related work.</S><S sid = NA ssid = NA>UAS for all sentence lengths without punctuation are given in Table 1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  D11-1006.txt | Citing Article:  D12-1125.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The first parser is a non-lexicalized version of the MST parser (McDonald et al 2005) successfully used in the multilingual context (McDonald et al 2011).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For this we used the Europarl corpus version 5 (Koehn, 2005).</S><S sid = NA ssid = NA>Preliminary experiments using a different dependency parser – MSTParser (McDonald et al., 2005) – resulted in similar empirical observations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  D11-1006.txt | Citing Article:  D12-1125.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Surprisingly, our model slightly outperforms the mapping of (Petrov et al 2011), yielding an average accuracy of 56.7% as compared to the 55.4% achieved by its manually constructed counterpart for the direct transfer method (McDonald et al 2011).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As previously mentioned, the latter has been explored in both Søgaard (2011) and Cohen et al. (2011).</S><S sid = NA ssid = NA>We use the augmented-loss learning procedure (Hall et al., 2011) which is closely related to constraint driven learning (Chang et al., 2007; Chang et al., 2010).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  D11-1006.txt | Citing Article:  D12-1125.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Specifically, McDonald et al (2011) have demonstrated that projecting from a single oracle chosen language can lead to good parsing performance, and our technique may allow such projection without an oracle.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The first (best-source) is the direct transfer results for the oracle single-best source language per target language.</S><S sid = NA ssid = NA>This includes work on phrasestructure parsing (Collins, 1997; Charniak, 2000; Petrov et al., 2006), dependency parsing (McDonald et al., 2005; Nivre et al., 2006) as well as a number of other formalisms (Clark and Curran, 2004; Wang and Harper, 2004; Shen and Joshi, 2008).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  D11-1006.txt | Citing Article:  D12-1125.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The first section of the table is for the direct transfer of the MST parser (McDonald et al 2011).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this section we examine whether this is also true for parser transfer.</S><S sid = NA ssid = NA>In this section we describe a simple mechanism for projecting from the direct transfer system using large amounts of parallel data in a similar vein to Hwa et al. (2005), Ganchev et al.</S> | Discourse Facet:  NA | Annotator: Automatic


