Citance Number: 1 | Reference Article:  W03-1006.txt | Citing Article:  W07-1215.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Similarly, Chen and Rambow (2003) argue that the kind of deep linguistic features we harvest from FrameNet is beneficial for the successful assignment of PropBank roles to constituents, in this case using TAGs generated from PropBank to generate the relevant features.</S> | Reference Offset:  ['1','58'] | Reference Text:  <S sid = 1 ssid = >We use deep linguistic features to predict semantic roles on syntactic arguments, and show that these perform considerably better than surface-oriented features.</S><S sid = 58 ssid = >We also experiment with semantic features derived from the PropBank.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  W03-1006.txt | Citing Article:  C04-1204.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Although the results can not directly be compared with another work using LTAG (Chen and Rambow, 2003) because their target annotations were limited to those localized in an elementary tree, considering that their target annotations were 87% of core arguments, our results are competitive with their results (82.57/71.41).</S> | Reference Offset:  ['116','230'] | Reference Text:  <S sid = 116 ssid = >We then describe the results of using different feature sets.</S><S sid = 230 ssid = >These results are comparable to the results from Gildea and Palmer (2002), but only roughly because of differences in corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W03-1006.txt | Citing Article:  C04-1204.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Another possibility is to directly extract PropBank-style semantic representations by reforming the grammar extraction algorithm (Chen and Rambow, 2003), and to estimate a disambiguation model using the PropBank.</S> | Reference Offset:  ['70','99'] | Reference Text:  <S sid = 70 ssid = >We will discuss TAGs and an important principle guiding their formation, the extraction procedure from the PTB that is described in (Chen, 2001) including extensions to extract a TAG from the PropBank, and finally the extraction of deeper linguistic features from the resulting TAG.</S><S sid = 99 ssid = >For our current work, we extract two kinds of TAG from the PropBank.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W03-1006.txt | Citing Article:  W06-1518.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As a result some of the features that undo long distance movement via trace information in the TreeBank as used in (Chen and Rambow, 2003) cannot be exploited in our model.</S> | Reference Offset:  ['76','97'] | Reference Text:  <S sid = 76 ssid = >An important principle is that dependencies, including long-distance dependencies, are typically localized the same elementary tree by appropriate grouping of syntactically or semantically related elements.</S><S sid = 97 ssid = >For example, we determine the deep syntactic role of a whmoved element by “undoing” the wh-movement by using the trace information in the PTB.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W03-1006.txt | Citing Article:  W06-1518.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Chen and Rambow, 2003) discuss amodel for SRL that uses LTAG-based decomposition of parse trees (as is typically done for statistical LTAG parsing).</S> | Reference Offset:  ['72','182'] | Reference Text:  <S sid = 72 ssid = >They may be composed by several well-defined operations to form parse trees.</S><S sid = 182 ssid = >Supertagging returns an almost-parse in the sense that it is performing much parsing disambiguation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W03-1006.txt | Citing Article:  W06-1518.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Instead of using the typical parse tree features used in typical SRL models, (Chen and Rambow, 2003) uses the path within the elementary tree from the predicate to the constituent argument.</S> | Reference Offset:  ['124','183'] | Reference Text:  <S sid = 124 ssid = >This can be the tree frame corresponding to either the predicate or the argument.</S><S sid = 183 ssid = >The typical technique to perform supertagging is the trigram model, akin to models of the same name for partof-speech tagging.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W03-1006.txt | Citing Article:  W06-1518.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As a result, if we do not compare the machine learning methods involved in the two approaches, but rather the features used in learning, our features are a natural generalization of (Chen and Rambow, 2003).</S> | Reference Offset:  ['5','117'] | Reference Text:  <S sid = 5 ssid = >So far, attention has focused on parsing, because the semantically annotated corpora required for learning semantic interpretation have not been available.</S><S sid = 117 ssid = >These experiments are performed using the C4.5 decision tree machine learning algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W03-1006.txt | Citing Article:  W09-2601.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The LTAG-spinal Treebank can be used to overcome some of the limitations of the previous work on SRL using LTAG: (Liu and Sarkar, 2007) uses LTAG-based features extracted from phrase-structure trees as an additional source of features and combined them with features from a phrase-structure based SRL framework; (Chenand Rambow, 2003) only considers those complement/adjunct semantic roles that can be localized in LTAG elementary trees, which leads to a loss of over 17% instances of semantic roles even from gold-standard trees.</S> | Reference Offset:  ['43','108'] | Reference Text:  <S sid = 43 ssid = >Phrase Type.</S><S sid = 108 ssid = >In particular, we only include as semantic roles those instances in the propbank such that in the extracted TAG they are localized in the same elementary tree.</S> | Discourse Facet:  NA | Annotator: Automatic


