Citance Number: 1 | Reference Article:  P03-1019.txt | Citing Article:  C04-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It has been pointed out in (Zens and Ney, 2003) that the ITG constraints can be characterized as follows: a reordering violates the ITG constraints if and only if it contains (3, 1, 4, 2) or (2, 4, 1, 3) as a subsequence.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper, we compare two different reordering constraints, namely the ITG constraints and the IBM constraints.</S><S sid = NA ssid = NA>The interesting point is that a search with the ITG constraints cannot generate a word-reordering that contains one of these two subsequences.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P03-1019.txt | Citing Article:  W09-2303.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>xITGs (Zens and Ney, 2003) in part solves this problem.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Therefore, we have to restrict the possible reorderings in some way to make the search problem feasible.</S><S sid = NA ssid = NA>If arbitrary wordreorderings are permitted, the search problem is NP-hard.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P03-1019.txt | Citing Article:  W09-2303.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Future work will include the automatic extraction of the bilingual grammar as well as the use of this grammar for the translation process.</S><S sid = NA ssid = NA>In the beginning, all source positions are uncovered.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P03-1019.txt | Citing Article:  W09-2303.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Zens and Ney (2003) used GIZA++ to word-align the Verbmobil task (English and German) and the Canadian Hansards task (English and French) and tested the coverage of ITGs and xITGs, i.e. the ratio of the number of alignment configurations that could be induced by the theories and the sentences in the two tasks.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It contains the results for both translation directions German-English (S—*T) and English-German (T—*S) for the Verbmobil task and French-English (S—*T) and English-French (T—*S) for the Canadian Hansards task, respectively.</S><S sid = NA ssid = NA>4 shows the results for the Verbmobil task and for the Canadian Hansards task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P03-1019.txt | Citing Article:  W06-1627.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>ITG imposes constraints on which alignments are possible, and these constraints have been shown to be a good match for real bi text data (Zens and Ney, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the following, we will call these the ITG constraints.</S><S sid = NA ssid = NA>In this paper, we compare two different reordering constraints, namely the ITG constraints and the IBM constraints.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P03-1019.txt | Citing Article:  P06-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For a comparison and a more detailed discussion of the two approaches see (Zens and Ney, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This comparison includes a theoretical discussion on the permitted number of reorderings for each of these constraints.</S><S sid = NA ssid = NA>For a more detailed analysis, subjective judgments by test persons are necessary.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P03-1019.txt | Citing Article:  P06-1098.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Such reordering was realized either by an additional constraint for decoding, such as window constraints, IBM constraints or ITG-constraints (Zens and Ney,2003), or by lexicalized reordering feature functions (Tillman, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper, we compare two different reordering constraints, namely the ITG constraints and the IBM constraints.</S><S sid = NA ssid = NA>Afterwards, we will describe the IBM constraints.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P03-1019.txt | Citing Article:  P05-1059.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Zens and Ney (2003) found that the constraints of ITG were a better match to the decoding task than the heuristics used in the IBM decoder of Berger et al (1996).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this section, we will describe the IBM constraints (Berger et al., 1996).</S><S sid = NA ssid = NA>The second constraints are the IBM constraints (Berger et al., 1996).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P03-1019.txt | Citing Article:  P05-1059.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The ITG we apply in our experiments has more structural labels than the primitive bracketing grammar: it has a start symbol S, a single preterminal C, and two intermediate nonterminals A and B used to ensure that only one parse can generate any given word-level alignment, as discussed by Wu (1997) and Zens and Ney (2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This representation is equivalent to the parse trees of the simple grammar in (Wu, 1997).</S><S sid = NA ssid = NA>We used a single-word based search with IBM Model 4.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P03-1019.txt | Citing Article:  W05-0835.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Some of the properties of these alignments are studied in (Zens and Ney, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Afterwards, we will analyze the Viterbi alignments produced during the training of the alignment models.</S><S sid = NA ssid = NA>The evaluation consists of two parts: First, we check how many of the Viterbi alignments of the training corpus satisfy each of these constraints.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P03-1019.txt | Citing Article:  W09-0435.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A comparison of both methods can be found in Zens and Ney (2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These methods cannot be applied to the CYK-style search for the ITG constraints.</S><S sid = NA ssid = NA>This comparison includes a theoretical discussion on the permitted number of reorderings for each of these constraints.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P03-1019.txt | Citing Article:  D12-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A typical value of m is 4 (Zens and Ney, 2003), and we write IBM constraints with m= 4 as IBM (4).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Afterwards, we will describe the IBM constraints.</S><S sid = NA ssid = NA>We have described the ITG constraints in detail and compared them to the IBM constraints.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P03-1019.txt | Citing Article:  I05-1023.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Zens and Ney (2003) [3] show that ITG constraints yield significantly better alignment coverage than the constraints used in IBM statistical machine translation models on both German-English (Verbmobil corpus) and French-English (Canadian Hansards corpus).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It contains the results for both translation directions German-English (S—*T) and English-German (T—*S) for the Verbmobil task and French-English (S—*T) and English-French (T—*S) for the Canadian Hansards task, respectively.</S><S sid = NA ssid = NA>For the Canadian Hansards task, the baseline ITG constraints yield a worse coverage than the IBM constraints.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P03-1019.txt | Citing Article:  P09-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Because of this, Wu (1997) and Zens and Ney (2003) introduced a normal form ITG which avoids this over-counting.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Obviously, these productions are not in the normal form of an ITG, but with the method described in (Wu, 1997), they can be normalized.</S><S sid = NA ssid = NA>The ITG constraints were introduced in (Wu, 1995).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P03-1019.txt | Citing Article:  P09-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This source of overcounting is considered and fixed by Wu (1997) and Zens and Ney (2003), which we briefly review here.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In (Vilar, 1998) a model similar to Wu’s method was considered.</S><S sid = NA ssid = NA>The first constraints are based on inversion transduction grammars (ITG) (Wu, 1995; Wu, 1997).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P03-1019.txt | Citing Article:  P09-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Future work will include the automatic extraction of the bilingual grammar as well as the use of this grammar for the translation process.</S><S sid = NA ssid = NA>In the beginning, all source positions are uncovered.</S> | Discourse Facet:  NA | Annotator: Automatic


