Citance Number: 1 | Reference Article:  J04-4002.txt | Citing Article:  N04-1021.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our baseline MT system is the alignment template system described in detail by Och, Tillmann, and Ney (1999) and Och and Ney (2004).</S> | Reference Offset:  ['158','237'] | Reference Text:  <S sid = 158 ssid = >Och and Ney The Alignment Template Approach to Statistical Machine Translation 4.1.1 Alignment Template Selection.</S><S sid = 237 ssid = >For single-word-based search in MT, a similar algorithm has been described in Tillmann and Ney (2003).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  J04-4002.txt | Citing Article:  D07-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our phrase-based SMT system is similar to the alignment template system described in Och and Ney (2004).</S> | Reference Offset:  ['10','237'] | Reference Text:  <S sid = 10 ssid = >A phrase-based statistical machine translation approach — the alignment template approach — is described.</S><S sid = 237 ssid = >For single-word-based search in MT, a similar algorithm has been described in Tillmann and Ney (2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  J04-4002.txt | Citing Article:  D07-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Various feature functions (Och and Ney, 2004) are then computed over the entries in the phrase table.</S> | Reference Offset:  ['183','394'] | Reference Text:  <S sid = 183 ssid = >We also use a feature that counts how many entries of a conventional lexicon co-occur in the given sentence pair.</S><S sid = 394 ssid = >Table 13 shows various example translations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J04-4002.txt | Citing Article:  D07-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Translation is performed using a standard dynamic programming beam-search decoder (Och and Ney, 2004).</S> | Reference Offset:  ['49','242'] | Reference Text:  <S sid = 49 ssid = >We use a dynamic-programming-based beam search algorithm that allows a trade-off between efficiency and quality.</S><S sid = 242 ssid = >This makes it possible to develop an efficient dynamic programming search algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J04-4002.txt | Citing Article:  P08-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Formally, given a word-based ITG alignment, the bootstrapping algorithm finds all the phrase pairs according to the definition of Och and Ney (2004) and Chiang (2005) with the additional constraint that each phrase pair contains at most one word link.</S> | Reference Offset:  ['119','162'] | Reference Text:  <S sid = 119 ssid = >Formally, an alignment template z is a triple (FJy1 , EI�1 , ˜A) Algorithm phrase-extract for extracting phrases from a word-aligned sentence pair.</S><S sid = 162 ssid = >There is no notion of “empty phrase” that corresponds to the “empty word” in word-based statistical alignment models.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J04-4002.txt | Citing Article:  N07-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This discussion, which is partly based on Section 4.1.2 of (Och and Ney, 2004), means that the lexical translation probability pw (f|e) is another probability estimated using the word translation probability w (f|e).</S> | Reference Offset:  ['165','344'] | Reference Text:  <S sid = 165 ssid = >For scoring the use of target language words, we use a lexicon probability p(e  |f), which is estimated using relative frequencies as described in Section 3.2.</S><S sid = 344 ssid = >The first is an estimate of the alignment template and the lexicon probability (AT+WRD), the second adds an estimate of the language model (+LM) probability, and the third also adds the alignment probability (+AL).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J04-4002.txt | Citing Article:  C10-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As described above, our base system is a phrase based statistical MT system, similar to that of Och and Ney (2004).</S> | Reference Offset:  ['10','237'] | Reference Text:  <S sid = 10 ssid = >A phrase-based statistical machine translation approach — the alignment template approach — is described.</S><S sid = 237 ssid = >For single-word-based search in MT, a similar algorithm has been described in Tillmann and Ney (2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J04-4002.txt | Citing Article:  W12-3125.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Galley and Manning (2008) propose an algorithm that begins by running standard phrase extraction (Och and Ney, 2004) without a phrase-length limit, noting the corners of each phrase found.</S> | Reference Offset:  ['105','106'] | Reference Text:  <S sid = 105 ssid = >In the following, we describe the criterion that defines the set of phrases that is consistent with the word alignment matrix: Hence, the set of all bilingual phrases that are consistent with the alignment is constituted by all bilingual phrase pairs in which all words within the source language phrase are aligned only with the words of the target language phrase and the words of the target language phrase are aligned only with the words of the source language phrase.</S><S sid = 106 ssid = >Note that we require that at least one word in the source language phrase be aligned with at least one word of the target language phrase.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J04-4002.txt | Citing Article:  P12-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We consider the standard phrase-based approach to MT (Och and Ney, 2004).</S> | Reference Offset:  ['1','116'] | Reference Text:  <S sid = 1 ssid = >A phrase-based statistical machine translation approach — the alignment template approach — is described.</S><S sid = 116 ssid = >Therefore, we consider only consecutive phrases.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J04-4002.txt | Citing Article:  P12-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Breadth-first beam search algorithm of Och and Ney (2004).</S> | Reference Offset:  ['228','272'] | Reference Text:  <S sid = 228 ssid = >We accomplish such a restriction by searching in a breadth-first manner with pruning: beam search.</S><S sid = 272 ssid = >We use a breadth-first search algorithm with pruning.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J04-4002.txt | Citing Article:  P12-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We assume familiarity with these operations, which are described in detail in (Och and Ney, 2004).</S> | Reference Offset:  ['214','291'] | Reference Text:  <S sid = 214 ssid = >More details of the training procedure can be found in Och and Ney (2002).</S><S sid = 291 ssid = >Yet this would be a very inefficient representation for the implementation of the operations that have to be performed in the search.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J04-4002.txt | Citing Article:  W06-2402.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Here we refer to Bilingual Phrase (BP) as the bilingual phrases used by Och and Ney (2004).</S> | Reference Offset:  ['104','134'] | Reference Text:  <S sid = 104 ssid = >The output is a set of bilingual phrases.</S><S sid = 134 ssid = >All bilingual phrases that are consistent with the alignment are extracted together with the alignment within this bilingual phrase.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J04-4002.txt | Citing Article:  P11-2051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The extraction of SSRs is similar to the well known phrase extraction algorithm (Och and Ney, 2004).</S> | Reference Offset:  ['145','237'] | Reference Text:  <S sid = 145 ssid = >Eventually, however, a model can be described in which the specific segmentation is not known when new text is translated.</S><S sid = 237 ssid = >For single-word-based search in MT, a similar algorithm has been described in Tillmann and Ney (2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J04-4002.txt | Citing Article:  D09-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, given a source phrase f and a target phrase e, the phrase pair (f, e) is said to be consistent (Och and Ney, 2004) with the alignment if and only if: (1) there must be at least one word in side one phrase aligned to a word inside the other phrase and (2) no words inside one phrase can be aligned to a word outside the other phrase.</S> | Reference Offset:  ['105','106'] | Reference Text:  <S sid = 105 ssid = >In the following, we describe the criterion that defines the set of phrases that is consistent with the word alignment matrix: Hence, the set of all bilingual phrases that are consistent with the alignment is constituted by all bilingual phrase pairs in which all words within the source language phrase are aligned only with the words of the target language phrase and the words of the target language phrase are aligned only with the words of the source language phrase.</S><S sid = 106 ssid = >Note that we require that at least one word in the source language phrase be aligned with at least one word of the target language phrase.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J04-4002.txt | Citing Article:  D09-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Och and Ney (2004) describe a phrase-extract algorithm for extracting phrase pairs from a sentence pair annotated with a 1-best alignment.</S> | Reference Offset:  ['118','119'] | Reference Text:  <S sid = 118 ssid = >These generalized and alignment-annotated phrase pairs are called alignment templates.</S><S sid = 119 ssid = >Formally, an alignment template z is a triple (FJy1 , EI�1 , ˜A) Algorithm phrase-extract for extracting phrases from a word-aligned sentence pair.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J04-4002.txt | Citing Article:  D09-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The methods for calculating relative frequencies (Och and Ney, 2004) and lexical weights (Koehn et al, 2003) are also adapted for the weighted matrix case.</S> | Reference Offset:  ['81','142'] | Reference Text:  <S sid = 81 ssid = >To express the dependence of the model on the parameter set, we use the following notation: A detailed description of different specific statistical alignment models can be found in Brown et al. (1993) and Och and Ney (2003).</S><S sid = 142 ssid = >A comparison of the two approaches can be found in Koehn, Och, and Marcu (2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J04-4002.txt | Citing Article:  W06-3115.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >First, many-to-many word alignments are induced by running a one-to-many word alignment model, such as GIZA++ (Och and Ney, 2003), in both directions and by combining the results based on a heuristic (Och and Ney, 2004).</S> | Reference Offset:  ['87','237'] | Reference Text:  <S sid = 87 ssid = >The alignment ˆaJ1 that has the highest probability (under a certain model) is also called the Viterbi alignment (of that model): A detailed comparison of the quality of these Viterbi alignments for various statistical alignment models compared to human-made word alignments can be found in Och and Ney (2003).</S><S sid = 237 ssid = >For single-word-based search in MT, a similar algorithm has been described in Tillmann and Ney (2003).</S> | Discourse Facet:  NA | Annotator: Automatic


