Citance Number: 1 | Reference Article:  J97-1005.txt | Citing Article:  N12-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Passonneau and Litman (1997) describe an experiment where seven untrained annotators were asked to find discourse segments in a corpus of transcribed narratives about a movie.</S> | Reference Offset:  ['154','637'] | Reference Text:  <S sid = 154 ssid = >Chafe recorded and transcribed subjects who had been asked to view the same movie and describe it to a second person.</S><S sid = 637 ssid = >Similarly, although our spoken corpus was manually transcribed, this could have been automated using speech recognition (although this would introduce further sources of error).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  J97-1005.txt | Citing Article:  W04-0203.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >First, if non-canonicals are indicators of attentional stack pops, they should be more likely at segment boundaries; hence, we expect an increased presence of cue words (Passonneau and Litman, 1997) on non-canonicals compared to canonicals.</S> | Reference Offset:  ['338','421'] | Reference Text:  <S sid = 338 ssid = >These and other studies (e.g., Hirschberg and Litman [1993]) also found it useful to distinguish between sentence-final and non-sentence-final intonational contours.</S><S sid = 421 ssid = >4.2.2 Cue Words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J97-1005.txt | Citing Article:  P09-2020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this sense, we are performing low-level discourse segmentation, as opposed to segmenting text into chunks or topics (e.g., Passonneau and Litman (1997)).</S> | Reference Offset:  ['152','372'] | Reference Text:  <S sid = 152 ssid = >Full details are presented in Passonneau and Litman (1996).</S><S sid = 372 ssid = >The segmentation algorithms presented in Section 4.2 are evaluated by quantifying their performance in segmenting a test set of 10 narratives from our corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J97-1005.txt | Citing Article:  C08-1129.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Passonneau and Litman (1997) found that pause length correlates with discourse segment boundaries.</S> | Reference Offset:  ['152','399'] | Reference Text:  <S sid = 152 ssid = >Full details are presented in Passonneau and Litman (1996).</S><S sid = 399 ssid = >We discuss this second issue at length in Passonneau and Litman (1996).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J97-1005.txt | Citing Article:  W02-0226.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This makes it different from others using surface features like (Passonneau and Litman, 1997).</S> | Reference Offset:  ['152','606'] | Reference Text:  <S sid = 152 ssid = >Full details are presented in Passonneau and Litman (1996).</S><S sid = 606 ssid = >Finally, differences in segmentation may reflect different interpretations of the discourse, as we pointed out in Passonneau and Litman (1996), based on observations of our subjects' segment descriptions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J97-1005.txt | Citing Article:  N10-1143.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Automatic discourse segmentation, as shallow annotation of discourse structure, also provides a testing grounds for linguistic theories of discourse (Passonneau and Litman, 1997) and provides a natural unit of measure in linguistic corpora (Biber et al, 2004).</S> | Reference Offset:  ['1','10'] | Reference Text:  <S sid = 1 ssid = >The need to model the relation between discourse structure and linguistic features of utterances is almost universally acknowledged in the literature on discourse.</S><S sid = 10 ssid = >The need to model the relation between discourse structure and linguistic features of utterances is almost universally acknowledged in the literature on discourse.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J97-1005.txt | Citing Article:  N10-1143.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Human annotators demonstrate frequent disagreement about the number of segments and exactly where the transitions between segments occur, while still demonstrating statistically significant agreement (Passonneau and Litman, 1997).</S> | Reference Offset:  ['43','120'] | Reference Text:  <S sid = 43 ssid = >Our results demonstrate an extremely significant pattern of agreement on segment boundaries.</S><S sid = 120 ssid = >After identifying segments, and core and contributor relations within segments, Moser and Moore (1995) investigate whether cue words occur, where they occur, and what word occurs.</S> | Discourse Facet:  NA | Annotator: Automatic


