Citance Number: 1 | Reference Article:  P03-2041.txt | Citing Article:  C04-1154.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Eisner, 2003) outlines a computationally expensive structural manipulation tool which he has used for intra-lingual translation but has yet to apply to interlingual translation.</S> | Reference Offset:  ['12','68'] | Reference Text:  <S sid = 12 ssid = >Such systematic mismatches should be learned by the model, and used during translation.</S><S sid = 68 ssid = >Several researchers have tried putting “more syntax” into translation models: like us, they use statistical versions of synchronous grammars, which generate source and target sentences in parallel and so describe their correspondence.4 This approach offers four features absent from IBM-style models: (1) a recursive phrase-based translation, (2) a syntax-based language model, (3) the ability to condition a word’s translation on the translation of syntactically related words, and (4) polynomial-time optimal alignment and decoding (Knight, 1999).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P03-2041.txt | Citing Article:  W06-3601.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In computational linguistics, the bottom-up version of this algorithm resembles the tree parsing algorithm for TSG by Eisner (2003).</S> | Reference Offset:  ['115','145'] | Reference Text:  <S sid = 115 ssid = >The tree parsing algorithm resembles bottom-up chart parsing under the derivation CFG.</S><S sid = 145 ssid = >The algorithm is almost as before.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P03-2041.txt | Citing Article:  N12-1027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['48','155'] | Reference Text:  <S sid = 48 ssid = >Third, our version of the STSG formalism is more flexible than previous versions.</S><S sid = 155 ssid = >This algorithm is essentially alignment to an unknown tree T2; we do not loop over its nodes c2, but choose t2 freely.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P03-2041.txt | Citing Article:  D09-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['48','155'] | Reference Text:  <S sid = 48 ssid = >Third, our version of the STSG formalism is more flexible than previous versions.</S><S sid = 155 ssid = >This algorithm is essentially alignment to an unknown tree T2; we do not loop over its nodes c2, but choose t2 freely.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P03-2041.txt | Citing Article:  P11-2122.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A related approach is taken by Kato and Matsubara (2010), who compare partial parse trees for different instances of the same sequence of words in a corpus, resulting in rules based on a synchronous Tree Substitution Grammar (Eisner, 2003).</S> | Reference Offset:  ['23','70'] | Reference Text:  <S sid = 23 ssid = >We make the quite natural proposal of using a synchronous tree substitution grammar (STSG).</S><S sid = 70 ssid = >This means that a sentence and its translation must have isomorphic syntax trees, although they may have different numbers of surface words if null words a are allowed in one or both languages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P03-2041.txt | Citing Article:  D10-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To capture both side syntax contexts, Eisner (2003) studies the bilingual dependency tree-to-tree mapping in conceptual level.</S> | Reference Offset:  ['1','15'] | Reference Text:  <S sid = 1 ssid = >Often one may wish to learn a tree-to-tree mapping, training it on unaligned pairs of trees, or on a mixture of trees and strings.</S><S sid = 15 ssid = >When would learned tree-to-tree mappings be useful?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P03-2041.txt | Citing Article:  P12-3004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >If the parse tree of source sentence is provided, decoding (for tree-to-string and tree-to-tree models) can also be cast as a tree-parsing problem (Eisner, 2003).</S> | Reference Offset:  ['15','135'] | Reference Text:  <S sid = 15 ssid = >When would learned tree-to-tree mappings be useful?</S><S sid = 135 ssid = >As before, a derived tree pair T has the same form as an elementary tree pair.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P03-2041.txt | Citing Article:  C08-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our approach is based on synchronous tree substitution grammar (STSG, Eisner (2003)), a formalism that can account for structural mismatches, and is trained discriminatively.</S> | Reference Offset:  ['23','48'] | Reference Text:  <S sid = 23 ssid = >We make the quite natural proposal of using a synchronous tree substitution grammar (STSG).</S><S sid = 48 ssid = >Third, our version of the STSG formalism is more flexible than previous versions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P03-2041.txt | Citing Article:  C08-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We hope that some of the work described here might be of relevance to other generation tasks such as machine translation (Eisner, 2003), multi-document summarisation (Barzilay, 2003), and text simplification (Carroll et al, 1999).</S> | Reference Offset:  ['0','67'] | Reference Text:  <S sid = 0 ssid = >Learning Non-Isomorphic Tree Mappings For Machine Translation</S><S sid = 67 ssid = >Their alignment and translation accuracy improves when they are forced to translate shallow phrases as contiguous, potentially idiomatic units (Och et al., 1999).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P03-2041.txt | Citing Article:  C08-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A synchronous tree substitution grammar (STSG, Eisner (2003)) licenses the space of all possible rewrites.</S> | Reference Offset:  ['23','120'] | Reference Text:  <S sid = 23 ssid = >We make the quite natural proposal of using a synchronous tree substitution grammar (STSG).</S><S sid = 120 ssid = >For a fixed grammar, the runtime and space are only O(n) for a tree of n nodes.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P03-2041.txt | Citing Article:  P10-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >More expressive formalisms such as synchronous tree-substitution (Eisner, 2003) or tree adjoining grammars may better capture the pairings.</S> | Reference Offset:  ['23','128'] | Reference Text:  <S sid = 23 ssid = >We make the quite natural proposal of using a synchronous tree substitution grammar (STSG).</S><S sid = 128 ssid = >A synchronous TSG consists of a set of elementary tree pairs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P03-2041.txt | Citing Article:  P10-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Synchronous tree-substitution grammar is a formalism for synchronously generating a pair of non-isomorphic source and target trees (Eisner, 2003).</S> | Reference Offset:  ['0','16'] | Reference Text:  <S sid = 0 ssid = >Learning Non-Isomorphic Tree Mappings For Machine Translation</S><S sid = 16 ssid = >Obviously, in MT, when one has parsers for both the source and target language.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P03-2041.txt | Citing Article:  P10-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['48','155'] | Reference Text:  <S sid = 48 ssid = >Third, our version of the STSG formalism is more flexible than previous versions.</S><S sid = 155 ssid = >This algorithm is essentially alignment to an unknown tree T2; we do not loop over its nodes c2, but choose t2 freely.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P03-2041.txt | Citing Article:  P10-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use dynamic programming for parsing under this finite model (Eisner, 2003).</S> | Reference Offset:  ['38','115'] | Reference Text:  <S sid = 38 ssid = >Our approach is to reconstruct all possible derivations, using dynamic programming to decompose the tree pair into aligned pairs of elementary trees in all possible ways.</S><S sid = 115 ssid = >The tree parsing algorithm resembles bottom-up chart parsing under the derivation CFG.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P03-2041.txt | Citing Article:  P08-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Eisner (2003) studies how to learn non-isomorphic tree-to-tree/string mappings using a STSG.</S> | Reference Offset:  ['0','15'] | Reference Text:  <S sid = 0 ssid = >Learning Non-Isomorphic Tree Mappings For Machine Translation</S><S sid = 15 ssid = >When would learned tree-to-tree mappings be useful?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P03-2041.txt | Citing Article:  P09-1063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our forest-based tree-to-tree model is based on a probabilistic STSG (Eisner, 2003).</S> | Reference Offset:  ['95','119'] | Reference Text:  <S sid = 95 ssid = >There is a natural analogy between (probabilistic) TSGs and (probabilistic) CFGs.</S><S sid = 119 ssid = >One can also apply agenda-based parsing strategies.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P03-2041.txt | Citing Article:  P11-1128.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As tree-to-string translation takes a source parse tree as input, the decoding can be cast as a tree parsing problem (Eisner, 2003): reconstructing TAG derivations from a derived tree using tree-to-string rules that allow for both substitution and adjoining.</S> | Reference Offset:  ['116','135'] | Reference Text:  <S sid = 116 ssid = >But the input is a tree rather than a string, and the chart is indexed by nodes of the input tree rather than spans of the input string:5 The β values are inside probabilities.</S><S sid = 135 ssid = >As before, a derived tree pair T has the same form as an elementary tree pair.</S> | Discourse Facet:  NA | Annotator: Automatic


