Citance Number: 1 | Reference Article:  P99-1041.txt | Citing Article:  P00-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Minipar outputs dependency trees (Lin, 1999) from the input sentences.</S> | Reference Offset:  ['15','18'] | Reference Text:  <S sid = 15 ssid = >The input to our algorithm is a collocation database and a thesaurus.</S><S sid = 18 ssid = >We parsed a 125-million word newspaper corpus with Minipar,1 a descendent of Principar (Lin, 1993; Lin, 1994), and extracted dependency relationships from the parsed corpus.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P99-1041.txt | Citing Article:  W06-1203.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recent work which attempts to discriminate between compositional and non-compositional MWEs include Lin (1999), who used mutual information measures identify such phrases, Bald win et al (2003), who compare the distribution of the head of the MWE with the distribution of the entire MWE, and Vallada Moiro and Tiedemann (2006), who use a word-alignment strategy to identify non-compositional MWEs making use of parallel texts.</S> | Reference Offset:  ['39','58'] | Reference Text:  <S sid = 39 ssid = >Not only many combinations are found in the corpus, many of them have very similar mutual information values to that of nomial distribution can be accurately approximated by a normal distribution (Dunning, 1993).</S><S sid = 58 ssid = >We use the following condition to determine whether or not a collocation is compositional: (3) A collocation a is non-compositional if there does not exist another collocation /3 such that (a) 13 is obtained by substituting the head or the modifier in a with a similar word and (b) there is an overlap between the 95% confidence interval of the mutual information values of a and 0.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P99-1041.txt | Citing Article:  P04-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Melamed (1997) and Lin (1999) have done some research on non compositional phrases discovery.</S> | Reference Offset:  ['0','143'] | Reference Text:  <S sid = 0 ssid = >Automatic Identification Of Non-Compositional Phrases</S><S sid = 143 ssid = >Automated discovery of wordnet relations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P99-1041.txt | Citing Article:  E06-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Inspired by Lin (1999), we examine the strength of association between the verb and noun constituents of the target combination and its variants, as an indirect cue to their idiomaticity.</S> | Reference Offset:  ['69','72'] | Reference Text:  <S sid = 69 ssid = >We examined three types of dependency relationships: object-verb, noun-noun, and adjective-noun.</S><S sid = 72 ssid = >For our evaluation purposes, we selected the idioms in NTC-EID that satisfy both of the following two conditions: (4) a. the head word of the idiom is one of the above 10 words. b. there is a verb-object, noun-noun, or adjective-noun relationship in the idiom and the modifier in the phrase is not a variable.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P99-1041.txt | Citing Article:  E06-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Lin (1999) assumes that a target expression is non-compositional if and only if its (I) J+ value is significantly different from that of any of the variants.</S> | Reference Offset:  ['48','124'] | Reference Text:  <S sid = 48 ssid = >A phrase is probably non-compositional if such substitutions are not found in the collocation database or their mutual information values are significantly different from that of the phrase.</S><S sid = 124 ssid = >The method is based on the assumption that non-compositional phrases have a significantly different mutual information value than the phrases that are similar to their literal meanings.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P99-1041.txt | Citing Article:  E06-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Lin (1999) and Wermter and Hahn (2005) go one step further and look into a linguistic property of non-compositional compounds their lexical fixedness to identify them.</S> | Reference Offset:  ['123','126'] | Reference Text:  <S sid = 123 ssid = >We have presented a method to identify noncompositional phrases.</S><S sid = 126 ssid = >However, many collocations resulted from systematic parser errors also tend to posses this property.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P99-1041.txt | Citing Article:  P06-1099.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['36','145'] | Reference Text:  <S sid = 36 ssid = >The top-10 most similar words to &quot;red&quot; and &quot;tape&quot; in our thesaurus are: red: yellow 0.164, purple 0.149, pink 0.146, green 0.136, blue 0.125, white 0.122, color 0.118, orange 0.111, brown 0.101, shade 0.094; tape: videotape 0.196, cassette 0.177, videocassette 0.168, video 0.151, disk 0.129, recording 0.117, disc 0.113, footage 0.111, recorder 0.106, audio 0.106; The following table shows the frequency and mutual information of &quot;red tape&quot; and word combinations in which one of &quot;red&quot; or &quot;tape&quot; is substituted by a similar word: Even though many other similar combinations exist in the collocation database, they have very different frequency counts and mutual information values than &quot;red tape&quot;.</S><S sid = 145 ssid = >MIT Press.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P99-1041.txt | Citing Article:  N12-1056.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Later work such as by Lin (1999) continued this tradition.</S> | Reference Offset:  ['17','18'] | Reference Text:  <S sid = 17 ssid = >More details about the construction of the collocation database and the thesaurus can be found in (Lin, 1998).</S><S sid = 18 ssid = >We parsed a 125-million word newspaper corpus with Minipar,1 a descendent of Principar (Lin, 1993; Lin, 1994), and extracted dependency relationships from the parsed corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P99-1041.txt | Citing Article:  P08-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This is also the place where linguistic constraints can be applied, say to avoid non compositional phrases (Lin, 1999).</S> | Reference Offset:  ['0','124'] | Reference Text:  <S sid = 0 ssid = >Automatic Identification Of Non-Compositional Phrases</S><S sid = 124 ssid = >The method is based on the assumption that non-compositional phrases have a significantly different mutual information value than the phrases that are similar to their literal meanings.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P99-1041.txt | Citing Article:  P08-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Second, some n-grams themselves carry no linguistic meaning; their phrase translations can be misleading, for example non-compositional phrases (Lin, 1999).</S> | Reference Offset:  ['5','35'] | Reference Text:  <S sid = 5 ssid = >In machine translation, word-for-word translation of non-compositional expressions can result in very misleading (sometimes laughable) translations.</S><S sid = 35 ssid = >The second example is &quot;red tape&quot;.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P99-1041.txt | Citing Article:  W03-0320.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To protect against that problem, we compute the 99.99999% confidence intervals around the PMI (Lin, 1999), and use the lower bound as a measure of association.</S> | Reference Offset:  ['57','59'] | Reference Text:  <S sid = 57 ssid = >Since our confidence of p falling between/.1/--V-In. is N%, we can have N% confidence that the true mutual information is within the upper and lower bound.</S><S sid = 59 ssid = >For example, the following table shows the frequency count, mutual information (computed with the most likelihood estimation) and the lower and upper bounds of the 95% confidence interval of the true mutual information: verb-object freq. mutual lower upper count info bound bound make difference 1489 2.928 2.876 2.978 make change 1779 2.194 2.146 2.239 Since the intervals are disjoint, the two collocations are considered to have significantly different mutual information values.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P99-1041.txt | Citing Article:  N10-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These properties can be used to identify potential idioms, for instance, by employing measures of association strength between the elements of an expression (Lin, 1999).</S> | Reference Offset:  ['109','123'] | Reference Text:  <S sid = 109 ssid = >It was also used to compute the distributional similarity between words (Hindle, 1990; Lin, 1998).</S><S sid = 123 ssid = >We have presented a method to identify noncompositional phrases.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P99-1041.txt | Citing Article:  W06-1202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Lin (1999) argues that non-compositional expressions need to be treated differently than other phrases in many statistical or corpus based NLP methods.</S> | Reference Offset:  ['2','7'] | Reference Text:  <S sid = 2 ssid = >We present a method for automatic identification of non-compositional expressions using their statistical properties in a text corpus.</S><S sid = 7 ssid = >Less obviously, non-compositional expressions need to be treated differently than other phrases in many statistical or corpus-based NLP methods.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P99-1041.txt | Citing Article:  W05-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['36','145'] | Reference Text:  <S sid = 36 ssid = >The top-10 most similar words to &quot;red&quot; and &quot;tape&quot; in our thesaurus are: red: yellow 0.164, purple 0.149, pink 0.146, green 0.136, blue 0.125, white 0.122, color 0.118, orange 0.111, brown 0.101, shade 0.094; tape: videotape 0.196, cassette 0.177, videocassette 0.168, video 0.151, disk 0.129, recording 0.117, disc 0.113, footage 0.111, recorder 0.106, audio 0.106; The following table shows the frequency and mutual information of &quot;red tape&quot; and word combinations in which one of &quot;red&quot; or &quot;tape&quot; is substituted by a similar word: Even though many other similar combinations exist in the collocation database, they have very different frequency counts and mutual information values than &quot;red tape&quot;.</S><S sid = 145 ssid = >MIT Press.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P99-1041.txt | Citing Article:  D11-1073.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Lin (1999) defines a decision criterion for non compositional phrases based on the change in the mutual information of a phrase when substituting one word for a similar one based on an automatically constructed thesaurus.</S> | Reference Offset:  ['3','124'] | Reference Text:  <S sid = 3 ssid = >Our method is based on the hypothesis that when a phrase is non-composition, its mutual information differs significantly from the mutual informations of phrases obtained by substituting one of the word in the phrase with a similar word.</S><S sid = 124 ssid = >The method is based on the assumption that non-compositional phrases have a significantly different mutual information value than the phrases that are similar to their literal meanings.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P99-1041.txt | Citing Article:  D11-1073.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We propose a new method that compares phrases with their alternative phrases, in the spirit of Lin (1999)'s substitution approach (see Section 4.3).</S> | Reference Offset:  ['52','123'] | Reference Text:  <S sid = 52 ssid = >We propose a more principled approach.</S><S sid = 123 ssid = >We have presented a method to identify noncompositional phrases.</S> | Discourse Facet:  NA | Annotator: Automatic


