Citance Number: 1 | Reference Article:  P05-1017.txt | Citing Article:  H05-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Most recently, (Takamura et al, 2005) reports on the use of spin models to infer the semantic orientation of words.</S> | Reference Offset:  ['28','61'] | Reference Text:  <S sid = 28 ssid = >Kobayashi et al. (2001) proposed a method for extracting semantic orientations of words with bootstrapping.</S><S sid = 61 ssid = >We use the spin model to extract semantic orientations of words.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P05-1017.txt | Citing Article:  D10-1121.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In more recent work, Takamura et al (2005) used the spin model to extract word semantic orientation.</S> | Reference Offset:  ['13','61'] | Reference Text:  <S sid = 13 ssid = >Just as each electron has a direction of spin (up or down), each word has a semantic orientation (positive or negative).</S><S sid = 61 ssid = >We use the spin model to extract semantic orientations of words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P05-1017.txt | Citing Article:  W10-0203.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Semantic Orientation Lexicon (Takamura et al., 2005): The positive/negative words in this list are assigned +/- tags, when they occur with the designated part-of-speech.</S> | Reference Offset:  ['9','13'] | Reference Text:  <S sid = 9 ssid = >An important resource in realizing such identification tasks is a list of words with semantic orientation: positive or negative (desirable or undesirable).</S><S sid = 13 ssid = >Just as each electron has a direction of spin (up or down), each word has a semantic orientation (positive or negative).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P05-1017.txt | Citing Article:  W12-3707.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The syntactic network is defined in a way similar to previous work such the Spin Model (Takamura et al, 2005) and Latent Semantic Analysis to compute the association strength with seed words (Turney and Litman, 2003).</S> | Reference Offset:  ['18','21'] | Reference Text:  <S sid = 18 ssid = >Turney and Littman (2003) proposed two algorithms for extraction of semantic orientations of words.</S><S sid = 21 ssid = >They also proposed to use Latent Semantic Analysis to compute the association strength with seed words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P05-1017.txt | Citing Article:  P11-2104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Takamura et al (2005) proposed using spin models for extracting semantic orientation of words.</S> | Reference Offset:  ['0','188'] | Reference Text:  <S sid = 0 ssid = >Extracting Semantic Orientations Of Words Using Spin Model</S><S sid = 188 ssid = >We proposed a method for extracting semantic orientations of words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P05-1017.txt | Citing Article:  D09-1062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['63','202'] | Reference Text:  <S sid = 63 ssid = >Two neighboring spins tend to have the same direction from a energetic reason.</S><S sid = 202 ssid = >Finally, we believe that the proposed model is applicable to other tasks in computational linguistics.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P05-1017.txt | Citing Article:  D07-1115.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Takamura et al built lexical network from not only such co-occurrence but other resources including thesaurus (Takamura et al, 2005).</S> | Reference Offset:  ['80','153'] | Reference Text:  <S sid = 80 ssid = >We call this network the gloss-thesaurus-corpus network (GTC).</S><S sid = 153 ssid = >When we enhance the lexical network with corpus and thesaurus, our result is comparable to Turney and Littman’s with a large corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P05-1017.txt | Citing Article:  W12-4102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Takamura et al (2005) used the spin model to extract word semantic orientation.</S> | Reference Offset:  ['13','61'] | Reference Text:  <S sid = 13 ssid = >Just as each electron has a direction of spin (up or down), each word has a semantic orientation (positive or negative).</S><S sid = 61 ssid = >We use the spin model to extract semantic orientations of words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P05-1017.txt | Citing Article:  N07-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Takamura et al (2005) used the Ising model to extract semantic orientations of words (not phrases).</S> | Reference Offset:  ['61','198'] | Reference Text:  <S sid = 61 ssid = >We use the spin model to extract semantic orientations of words.</S><S sid = 198 ssid = >Therefore we can extract semantic orientations of new words that are not listed in a dictionary.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P05-1017.txt | Citing Article:  N07-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['63','202'] | Reference Text:  <S sid = 63 ssid = >Two neighboring spins tend to have the same direction from a energetic reason.</S><S sid = 202 ssid = >Finally, we believe that the proposed model is applicable to other tasks in computational linguistics.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P05-1017.txt | Citing Article:  D11-1101.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['63','202'] | Reference Text:  <S sid = 63 ssid = >Two neighboring spins tend to have the same direction from a energetic reason.</S><S sid = 202 ssid = >Finally, we believe that the proposed model is applicable to other tasks in computational linguistics.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P05-1017.txt | Citing Article:  E06-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Takamura et al (2005) determine term orientation (for Japanese) according to a spin model, i.e. a physical model of a set of electrons each endowed with one between two possible spin directions, and where electrons propagate their spin direction to neighbouring electrons until the system reaches a stable configuration.</S> | Reference Offset:  ['12','45'] | Reference Text:  <S sid = 12 ssid = >For this purpose, we use spin model, which is a model for a set of electrons with spins.</S><S sid = 45 ssid = >A spin system is an array of N electrons, each of which has a spin with one of two values “+1 (up)” or “−1 (down)”.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P05-1017.txt | Citing Article:  P10-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Previous work on identifying the semantic orientation of words has addressed the problem as both a semi-supervised (Takamura et al, 2005) and an unsupervised (Turney and Littman, 2003) learning problem.</S> | Reference Offset:  ['18','128'] | Reference Text:  <S sid = 18 ssid = >Turney and Littman (2003) proposed two algorithms for extraction of semantic orientations of words.</S><S sid = 128 ssid = >The labeled dataset used as a gold standard is General Inquirer lexicon (Stone et al., 1966) as in the work by Turney and Littman (2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P05-1017.txt | Citing Article:  P10-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Takamura et al (2005) proposed using spin models for extracting semantic orientation of words.</S> | Reference Offset:  ['0','188'] | Reference Text:  <S sid = 0 ssid = >Extracting Semantic Orientations Of Words Using Spin Model</S><S sid = 188 ssid = >We proposed a method for extracting semantic orientations of words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P05-1017.txt | Citing Article:  P10-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['63','202'] | Reference Text:  <S sid = 63 ssid = >Two neighboring spins tend to have the same direction from a energetic reason.</S><S sid = 202 ssid = >Finally, we believe that the proposed model is applicable to other tasks in computational linguistics.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P05-1017.txt | Citing Article:  P10-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Under this setting, we compare our method to the spin model described in (Takamura et al, 2005).</S> | Reference Offset:  ['42','167'] | Reference Text:  <S sid = 42 ssid = >We later compare our method with Turney and Littman’s method and Kamps et al.’s method.</S><S sid = 167 ssid = >We compare the spin model with the shortest-path method proposed by Kamps et al. (2004) on this network, because the shortestpath method cannot incorporate negative links of antonyms.</S> | Discourse Facet:  NA | Annotator: Automatic


