Citance Number: 1 | Reference Article:  W04-3205.txt | Citing Article:  H05-1049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>LSA Match: v and M (v) are distributionally similar according to a freely available Latent Semantic Indexing package,2 or for verbs similar according to VerbOcean (Chklovski and Pantel, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Rather, verbs are often similar or related.</S><S sid = NA ssid = NA>We estimated the a similar method.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  W04-3205.txt | Citing Article:  P08-1090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Work on semantic similarity learning such as Chklovski and Pantel (2004) also automatically learns relations between verbs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Similarity.</S><S sid = NA ssid = NA>Lin and Pantel (2001) describe an algorithm called DIRT (Discovery of Inference Rules from Text) that automatically learns paraphrase expressions from text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W04-3205.txt | Citing Article:  P11-1146.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, Chklovski and Pantel (2004) loosely define ENABLEMENT as a relation that holds between two verbs V1 and V2 when the pair can be glossed as V1 is accomplished by V2 and gives two examples: assess: :review and accomplish: :complete.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This relation holds between two verbs V1 and V2 when the pair can be glossed as V1 is accomplished by V2.</S><S sid = NA ssid = NA>Examples of enablement extracted by our system include: assess :: review and accomplish :: complete.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W04-3205.txt | Citing Article:  P06-1101.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Additionally, a wide variety of relationship-specific classifiers have been proposed, including pattern-based classifiers for hy ponyms (Hearst, 1992) ,meronyms (Girju, 2003), synonyms (Lin et al, 2003), a variety of verb relations (Chklovski and Pantel, 2004), and general purpose analogy relations (Turney et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Turney (2001) studied word relatedness and synonym extraction, while Lin et al. (2003) present an algorithm that queries the Web using lexical patterns for distinguishing noun synonymy and antonymy.</S><S sid = NA ssid = NA>Additional manually constructed resources include PropBank (Kingsbury et al. 2002), FrameNet (Baker et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W04-3205.txt | Citing Article:  W11-2408.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Chklovski and Pantel (2004) used patterns like 'x-ed by y-ing' ('obtained by borrowing') to get co-occurrence data on candidate pairs from the Web.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We detect similarity, strength, antonymy, enablement, and temporal happens-before relations between pairs of strongly associated verbs using lexicosyntactic patterns over the Web.</S><S sid = NA ssid = NA>First, we identify pairs of highly associated verbs co-occurring on the Web with sufficient frequency using previous work by Lin and Pantel (2001), as described in Section 4.4.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W04-3205.txt | Citing Article:  W07-2003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Chklovski and Pantel (2004) introduce a 5-class set, designed specifically for characterizing verb-verb semantic relations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It is from paths of the form subject-verb-object that we extract our set of associated verb pairs.</S><S sid = NA ssid = NA>In this section, we introduce and motivate the specific relations that we extract.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W04-3205.txt | Citing Article:  S12-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This metric allows to match synonym predicates by using verb ontologies such as VerbNet (Schuler, 2006) and VerbOcean (Chklovski and Pantel, 2004) and distributional semantics similarity metrics, such as Dekang Lin's thesaurus (Lin, 1998), where previous semantic metrics only perform exact match of predicate structures and arguments.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>First, we identify pairs of highly associated verbs co-occurring on the Web with sufficient frequency using previous work by Lin and Pantel (2001), as described in Section 4.4.</S><S sid = NA ssid = NA>Turney (2001) studied word relatedness and synonym extraction, while Lin et al. (2003) present an algorithm that queries the Web using lexical patterns for distinguishing noun synonymy and antonymy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W04-3205.txt | Citing Article:  P08-1079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Work was also done on relations be tween verbs (Chklovski and Pantel, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>First, we identify pairs of highly associated verbs co-occurring on the Web with sufficient frequency using previous work by Lin and Pantel (2001), as described in Section 4.4.</S><S sid = NA ssid = NA>Hearst (1992) was the first followed by recent larger-scale and more fully automated efforts (Pantel and Ravichandran 2004; Etzioni et al. 2004; Ravichandran and Hovy 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W04-3205.txt | Citing Article:  P08-1079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Hence, when exploring very specific relation ship types or very generic, but not widely accepted, types (like verb strength), many researchers resort to manual human-based evaluation (Chklovski and Pantel, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Analysis of types shows that on the relation achieved 75% accuracy.</S><S sid = NA ssid = NA>Strength.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W04-3205.txt | Citing Article:  P08-1079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>30 relations are noun compound relationships as proposed in the (Nastase and Szpakowicz, 2003 ) classification scheme, and 5 relations are verb-verb relations proposed by (Chklovski and Pantel, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The verb relations we discover are similarity, strength, antonymy, enablement, and temporal relations.</S><S sid = NA ssid = NA>DIRT actually provides two orders of magnitude more relations than the 29,165 single verb relations (subject-verb-object) we extracted.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W04-3205.txt | Citing Article:  P09-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Other types of relations that have been studied by pattern-based approaches include question answer relations (such as birthdates and inventor) (Ravichandran and Hovy, 2002), synonyms and antonyms (Lin et al, 2003), general purpose analogy (Turney et al, 2003), verb relations (including similarity, strength, antonym, enable ment and temporal) (Chklovski and Pantel, 2004), entailment (Szpektor et al, 2004), and more specific relations, such as purpose, creation (Cimiano and Wenderoth, 2007), LivesIn, and EmployedBy (Bunescu and Mooney, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Additional manually constructed resources include PropBank (Kingsbury et al. 2002), FrameNet (Baker et al.</S><S sid = NA ssid = NA>Hearst (1992) was the first followed by recent larger-scale and more fully automated efforts (Pantel and Ravichandran 2004; Etzioni et al. 2004; Ravichandran and Hovy 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W04-3205.txt | Citing Article:  P07-2047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We introduce VerbOcean (Chklovski and Pantel, 2004), a broad-coverage repository of semantic verb relations, into event-based summarization.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Identifying these relations over 29,165 verb pairs results in a broad-coverage resource we call VERBOCEAN.</S><S sid = NA ssid = NA>Broad-coverage repositories of semantic relations between verbs could benefit many NLP tasks.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W04-3205.txt | Citing Article:  H05-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Chklovski and Pantel (2004) address the automatic acquisition of verb-verb pairs and their relations from the web.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>VerbOcean: Mining The Web For Fine-Grained Semantic Verb Relations</S><S sid = NA ssid = NA>We present a semi-automatic method for extracting fine-grained semantic relations between verbs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W04-3205.txt | Citing Article:  P10-1122.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>An ablation study that formed part of the official RTE 5 evaluation attempted to evaluate the contribution of publicly available knowledge resources such as WordNet (Fellbaum, 1998), VerbOcean (Chklovski and Pantel, 2004), and DIRT (Lin and Pantel, 2001) used by many of the systems.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Instead, we use a set of highly associated verb pairs output by a paraphrasing algorithm called DIRT (Lin and Pantel 2001).</S><S sid = NA ssid = NA>Lin and Pantel (2001) describe an algorithm called DIRT (Discovery of Inference Rules from Text) that automatically learns paraphrase expressions from text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W04-3205.txt | Citing Article:  W11-2402.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The latter utilized several resources for matching hypothesis terms with text terms: WordNet, VerbOcean (Chklovski and Pantel, 2004), utilizing two of its relations, as well as an acronym database ,number matching module, co-reference resolution and named entity recognition tools.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We then introduce some existing resources and describe previous attempts at mining semantics from text.</S><S sid = NA ssid = NA>Lin and Pantel (2001) describe an algorithm called DIRT (Discovery of Inference Rules from Text) that automatically learns paraphrase expressions from text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W04-3205.txt | Citing Article:  P06-2075.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Chklovski and Pantel (2004) used patterns to extract a set of relations between verbs, such as similarity, strength and antonymy.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We used these as our set to extract finergrained relations.</S><S sid = NA ssid = NA>The verb relations we discover are similarity, strength, antonymy, enablement, and temporal relations.</S> | Discourse Facet:  NA | Annotator: Automatic


