Citance Number: 1 | Reference Article:  P99-1048.txt | Citing Article:  C00-2130.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>More recently, Bean and Riloff (1999) proposed methods for autolnatically extracting from a corpus such special predicates, i.e., heads that correlate well with discourse novelty.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Using a training corpus, we create a list of presumably existential NPs by collecting the first sentence of every text and extracting all definite NPs that were not classified by the syntactic heuristics.</S><S sid = NA ssid = NA>We have developed several methods for auto-matically identifying existential noun phrases using a training corpus.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P99-1048.txt | Citing Article:  N04-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In previous work (Bean and Riloff, 1999), we developed an unsupervised learning algorithm that automatically recognizes definite NPs that are existential without syntactic modification because their meaning is universally understood.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also developed syntactic heuristics to recognize referential NPs.</S><S sid = NA ssid = NA>In previous work, the system developed by Vieria & Poesio achieved 74% recall and 85% precision for identifying &quot;larger situation and unfamiliar use&quot; NPs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P99-1048.txt | Citing Article:  N04-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Using this heuristic, BABAR identifies existential definite NPs in the training corpus using our previous learning algorithm (Bean and Riloff, 1999) and resolves all occurrences of the same existential NP with each another.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Once the methods had been trained, we classified each definite NP in the test set as referential or existential using the algorithm in Figure 5.</S><S sid = NA ssid = NA>We have developed several methods for auto-matically identifying existential noun phrases using a training corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P99-1048.txt | Citing Article:  N04-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>First, a non-anaphoric NP classifier identifies definite noun phrases that are existential, using both syntactic rules and our learned existential NP recognizer (Bean and Riloff, 1999), and removes them from the resolution process.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A more recent system (Vieira and Poesio, 1997) recognizes a large percentage of nonanaphoric definite noun phrases (NPs) during the coreference resolution process through the use of syntactic cues and case-sensitive rules.</S><S sid = NA ssid = NA>We will refer to non-anaphoric definite noun phrases as existential NPs (Allen, 1995).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P99-1048.txt | Citing Article:  P08-2011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Bean and Riloff (1999) and Uryupina (2003) construct quite accurate classifiers to detect unique NPs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We first classified definite NPs into two broad categories, referential NPs, which have prior referents in the texts, and existential NPs, which do not.</S><S sid = NA ssid = NA>This set of NPs does not correspond exactly to our definition of existential NPs because we consider associative NPs to be existential and they do not.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P99-1048.txt | Citing Article:  P03-2012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The system described in (Bean and Riloff, 1999) also makes use of syntactic heuristics.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also developed syntactic heuristics to recognize referential NPs.</S><S sid = NA ssid = NA>First, we evaluated each method independently (on top of the syntactic heuristics).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P99-1048.txt | Citing Article:  D09-1102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For the statistics-based approaches, Bean and Riloff (1999) developed a statistics-based method for automatically identifying existential definite NPs which are non-anaphoric.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We have developed a corpus-based algorithm for automatically identifying definite noun phrases that are non-anaphoric, which has the potential to improve the efficiency and accuracy of coreference resolution systems.</S><S sid = NA ssid = NA>Corpus-Based Identification Of Non-Anaphoric Noun Phrases</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P99-1048.txt | Citing Article:  E09-3006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Bean and Riloff (1999) and Uryupina (2003) have already employed a definite probability measure in a similar way, although the way the ratio is computed is slightly different.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We used the definite probability measure as a way of detecting errors in the Si and EHP lists.</S><S sid = NA ssid = NA>Although the syntactic heuristics are a reliable way to identify existential definite NPs, they miss 57% of the true existentials.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P99-1048.txt | Citing Article:  E09-3006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A more fine-grained distinction is made by Bean and Riloff (1999) and Vieira and Poesio (2000) to distinguish restrictive from non-restrictive post modification by ommitting those modifiers that occur between commas, which should not be classified as chain starting.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Restrictive postmodification is often represented by restrictive relative clauses, prepositional phrases, and appositives.</S><S sid = NA ssid = NA>We began by building a set of syntactic heuristics that look for the structural cues of restrictive premodification and restrictive postmodification.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P99-1048.txt | Citing Article:  E09-3006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We borrow the idea of classifying definites occurring in the first sentence as chain starting from Bean and Riloff (1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>That is, suppose &quot;the F.B.I.&quot; appears in both sentence 1 and sentence 7 of a text.</S><S sid = NA ssid = NA>As a baseline measurement, we considered the accuracy of classifying every definite NP as existential.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P99-1048.txt | Citing Article:  P10-1142.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Given the large percentage of non-anaphoric discourse entities handled by most coreference resolvers, we believe that using a system like ours to filter existential NPs has the potential to reduce processing time and complexity and improve the accuracy of coreference resolution.</S><S sid = NA ssid = NA>This paper details our method for identifying existential NPs that are understood through general world knowledge.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P99-1048.txt | Citing Article:  P10-1142.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>An anaphoricity feature indicates whether an NP to be resolved is anaphoric, and is typically computed using an anaphoricity classifier (Ng, 2004), hand-crafted patterns (Daum´e III and Marcu, 2005), and automatically acquired patterns (Bean and Riloff, 1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>By using the Si extractions as input to a pattern generation algorithm, we built a set of Existential Head Patterns (EHPs) that identify such constructions.</S><S sid = NA ssid = NA>Incorrectly removing an anaphoric NP means that the coreference resolver would never have a chance to resolve it, on the other hand, non-anaphoric NPs that slip through can still be ruled as non-anaphoric by the coreference resolver.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P99-1048.txt | Citing Article:  D09-1101.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Non-anaphoric definite descriptions have been detected using heuristics (e.g., Vieira and Poesio (2000)) and unsupervised methods (e.g., Bean and Riloff (1999)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>But other definite descriptions are non-anaphoric because readers understand their meaning due to common knowledge.</S><S sid = NA ssid = NA>Earlier work found that nearly 50% of definite descriptions had no prior referents (Vieira and Poesio, 1997), and we found that number to be even higher, 63%, in our corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P99-1048.txt | Citing Article:  N09-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Given the large percentage of non-anaphoric discourse entities handled by most coreference resolvers, we believe that using a system like ours to filter existential NPs has the potential to reduce processing time and complexity and improve the accuracy of coreference resolution.</S><S sid = NA ssid = NA>This paper details our method for identifying existential NPs that are understood through general world knowledge.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P99-1048.txt | Citing Article:  D11-1099.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Given the large percentage of non-anaphoric discourse entities handled by most coreference resolvers, we believe that using a system like ours to filter existential NPs has the potential to reduce processing time and complexity and improve the accuracy of coreference resolution.</S><S sid = NA ssid = NA>This paper details our method for identifying existential NPs that are understood through general world knowledge.</S> | Discourse Facet:  NA | Annotator: Automatic


