Citance Number: 1 | Reference Article:  W04-3208.txt | Citing Article:  I05-1023.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['49','157'] | Reference Text:  <S sid = 49 ssid = >Among these, 1,200 Chinese and 4,500 English documents are manually marked as being in-topic.</S><S sid = 157 ssid = >For example, methods for learning a classifier to determine sentence parallel-ness such as that proposed by Munteanu et al., (2004) can be incorporated into our Bootstrapping framework.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W04-3208.txt | Citing Article:  W11-1209.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Sample comparable sentences that contain parallel phrases other similarity measures (Fung and Cheung, 2004) have been used for the document alignment task.</S> | Reference Offset:  ['68','145'] | Reference Text:  <S sid = 68 ssid = >For comparable corpora, the alignment principle made in previous work is as follows: with high similarity scores – “find-topic-extract-sentence” We take a step further and propose a new principle for our task:</S><S sid = 145 ssid = >We propose a new, “find-one-get-more” principle which claims that document pairs that contain at least one pair of matched sentences must contain others, even if these document pairs do not have high similarity scores.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W04-3208.txt | Citing Article:  W11-1205.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Based on this observation, dynamic program ming (Yang and Li, 2003), similarity measures such as Cosine (Fung and Cheung, 2004) or word and translation error ratios (Abdul-Rauf and Schwenk, 2009), or maximum entropy classifier (Munteanu and Marcu, 2005) are used for discovering parallel sentences.</S> | Reference Offset:  ['14','157'] | Reference Text:  <S sid = 14 ssid = >Recent work (Munteanu et al., 2004, Zhao and Vogel, 2002) on extracting parallel sentences from comparable data, and others on extracting paraphrasing sentences from monolingual corpora (Barzilay and Elhadad 2003) are based on the “find-topic-extract-sentence” principle which claims that parallel sentences only exist in document pairs with high similarity.</S><S sid = 157 ssid = >For example, methods for learning a classifier to determine sentence parallel-ness such as that proposed by Munteanu et al., (2004) can be incorporated into our Bootstrapping framework.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W04-3208.txt | Citing Article:  C08-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Another approach focused on sentence extraction (Fung and Cheung, 2004).</S> | Reference Offset:  ['0','56'] | Reference Text:  <S sid = 0 ssid = >Mining Very-Non-Parallel Corpora: Parallel Sentence And Lexicon Extraction Via Bootstrapping And EM</S><S sid = 56 ssid = >Our proposed method is a first approach that can extract bilingual sentence pairs from this type of very-non-parallel corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W04-3208.txt | Citing Article:  W11-1212.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A web interface was developed in order to annotate each pair, following the distinction introduced by Fung and Cheung (2004): parallel indicates sentence-aligned texts that are in translation relation; noisy characterizes two documents that are never the less mostly bilingual translations of each other; topic corresponds to documents which share similar topics, but that are not translation of each others and very-non that stands for rather unrelated texts.</S> | Reference Offset:  ['25','41'] | Reference Text:  <S sid = 25 ssid = >Since many more multilingual texts available today contain documents that do not have matching documents in the other language, we propose finding more parallel sentences from off-topic documents, as well as on-topic documents.</S><S sid = 41 ssid = >Another type of comparable corpus is one that contains non-sentence-aligned, non-translated bilingual documents that are topic-aligned.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W04-3208.txt | Citing Article:  W11-1212.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We would like to stress that, while conducting the manual annotation, we frequently found difficult to label pairs of articles with the classes proposed by Fung and Cheung (2004).</S> | Reference Offset:  ['20','44'] | Reference Text:  <S sid = 20 ssid = >Munteanu et al., (2004) used news articles published within the same 5-day window.</S><S sid = 44 ssid = >Munteanu et al., (2004) constructed a comparable corpus of Arabic and English news stories by matching the publishing dates of the articles.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W04-3208.txt | Citing Article:  W11-1217.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The last case study of document and sentence alignment from ―very-non-parallel corpora is the work from Fung and Cheung (2004).</S> | Reference Offset:  ['24','85'] | Reference Text:  <S sid = 24 ssid = >In our work, we try to find parallel sentences from far more disparate, very-non-parallel corpora than in any previous work.</S><S sid = 85 ssid = >For very-non-parallel corpora, this document-matching step also serves as topic alignment.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W04-3208.txt | Citing Article:  W11-2125.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['49','157'] | Reference Text:  <S sid = 49 ssid = >Among these, 1,200 Chinese and 4,500 English documents are manually marked as being in-topic.</S><S sid = 157 ssid = >For example, methods for learning a classifier to determine sentence parallel-ness such as that proposed by Munteanu et al., (2004) can be incorporated into our Bootstrapping framework.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W04-3208.txt | Citing Article:  P06-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Fung and Cheung (2004a) describe corpora ranging from noisy parallel, to comparable, and finally to very non-parallel.</S> | Reference Offset:  ['33','153'] | Reference Text:  <S sid = 33 ssid = >In this paper, we contrast and analyze different bilingual corpora, ranging from the parallel, noisy parallel, comparable, to very-non-parallel corpora.</S><S sid = 153 ssid = >In addition, we compare and contrast a number of bilingual corpora, ranging from the parallel, to comparable, and to very-non-parallel corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W04-3208.txt | Citing Article:  C10-1054.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, Munteanu and Mar cu (2005) apply the Lemur IR toolkit, Utiyama and Isahara (2003) use the BM25 similarity measure, and Fung and Cheung (2004) use cosine similarity.</S> | Reference Offset:  ['15','51'] | Reference Text:  <S sid = 15 ssid = >They all use lexical information (e.g. word overlap, cosine similarity) to match documents first, before extracting sentences from these documents.</S><S sid = 51 ssid = >From the in-topic documents, most are found to have high similarity.</S> | Discourse Facet:  NA | Annotator: Automatic


