Citance Number: 1 | Reference Article:  P95-1037.txt | Citing Article:  W10-1409.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The conversion uses head propagation rules to find the head on the right-hand side of the CFG rules, first proposed for English in (Magerman, 1995).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Since most natural language rules are not absolute, the disambiguation criteria discovered in this work are never applied deterministically.</S><S sid = NA ssid = NA>The word feature value of the internal nodes is intended to contain the lexical head of the node's constituent.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P95-1037.txt | Citing Article:  C10-2013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>FTB-UC-DEP is a dependency tree bank derived from FTB-UC using the classic technique of head propagation rules, first proposed for English by Magerman (1995).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>After the decision trees are grown, they are smoothed using the tree smoothing corpus using a variation of the deleted interpolation algorithm described in (Magerman, 1994).</S><S sid = NA ssid = NA>These probabilities are estimated using statistical decision tree models.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P95-1037.txt | Citing Article:  W02-2030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Decision trees have been applied for feature selection for statistical parsing models by Magerman (1995) and Haruno et al.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Statistical Decision-Tree Models For Parsing</S><S sid = NA ssid = NA>These probabilities are estimated using statistical decision tree models.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P95-1037.txt | Citing Article:  W02-2030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This is a similar, but more limited, strategy to the one used by Magerman (1995).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For detailed descriptions and discussions of the decisiontree algorithms used in this work, see (Magerman, 1994).</S><S sid = NA ssid = NA>In fact, no information other than the words is used from the test corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P95-1037.txt | Citing Article:  P05-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In both cases, we report PARSEVAL labeled bracket scores (Magerman, 1995), with the brackets labeled by syntactic categories but not grammatical functions.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A parse tree can be viewed as an n-ary branching tree, with each node in a tree labeled by either a non-terminal label or a part-of-speech label.</S><S sid = NA ssid = NA>Since SPATTER uses the same syntactic label set as the Penn Treebank, it makes sense to report labelled precision and labelled recall.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P95-1037.txt | Citing Article:  N03-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We apply canonical lexical head projection rules (Magerman, 1995) in order to lexicalize syntactic trees.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The word feature value of the internal nodes is intended to contain the lexical head of the node's constituent.</S><S sid = NA ssid = NA>An important point which has been omitted from this discussion of decision trees is the fact that only binary questions are used in these decision trees.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P95-1037.txt | Citing Article:  W03-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In addition to antecedent recovery, we also report parsing accuracy, using the bracketing F-Score, the combined measure of PARSEVAL-style labeled bracketing precision and recall (Magerman, 1995).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Since SPATTER uses the same syntactic label set as the Penn Treebank, it makes sense to report labelled precision and labelled recall.</S><S sid = NA ssid = NA>Evaluating SPATTER against the Penn Treebank Wall Street Journal corpus using the PARSEVAL measures, SPATachieves 86% precision, and 1.3 crossing brackets per sentence for sentences of 40 words or less, and 91% precision, 90% recall, and 0.5 crossing brackets for sentences between 10 and 20 words in length.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P95-1037.txt | Citing Article:  P10-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>These features are also computed for the head of the phrase, determined using a set of head finding rules in the style of Magerman (1995) adapted to TiGer.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This probability P(flh) is determined by asking a sequence of questions qi q2...q„ about the context, where the ith question asked is uniquely determined by the answers to the i —1 previous questions.</S><S sid = NA ssid = NA>The word feature value of the internal nodes is intended to contain the lexical head of the node's constituent.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P95-1037.txt | Citing Article:  W05-1514.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The head word is identified by using the head-percolation table (Magerman, 1995).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The word feature value of the internal nodes is intended to contain the lexical head of the node's constituent.</S><S sid = NA ssid = NA>The word feature can take on any value of any word.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P95-1037.txt | Citing Article:  W09-0103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, statistical parsers from Magerman (1995) on use features based on head-dependent relationships.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The candidate disambiguators are the words in the sentence, relationships among the words, and relationships among constituents already constructed in the parsing process.</S><S sid = NA ssid = NA>For more discussion of the use of binary decision-tree questions, see (Magerman, 1994).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P95-1037.txt | Citing Article:  E09-1090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The head word is identified by using the head percolation table (Magerman, 1995).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The word feature value of the internal nodes is intended to contain the lexical head of the node's constituent.</S><S sid = NA ssid = NA>The word feature can take on any value of any word.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P95-1037.txt | Citing Article:  P01-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For each possible constituent in a parse tree, rules first described in (Magerman, 1995) and (Jelinek et al, 1994) identify the head-child and propagate the head-word to its parent.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The extension can take on any of the following five values: right - the node is the first child of a constituent; left - the node is the last child of a constituent; up - the node is neither the first nor the last child of a constituent; unary - the node is a child of a unary constituent; root - the node is the root of the tree.</S><S sid = NA ssid = NA>These 30 questions are determined by growing a classification tree on the word vocabulary as described in (Brown et al., 1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P95-1037.txt | Citing Article:  D10-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Lexical heads have been calculated using the projection rules of Magerman (1995), and annotated between brackets.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The training and test sentences were annotated by the University of Lancaster.</S><S sid = NA ssid = NA>Evaluating SPATTER against the Penn Treebank Wall Street Journal corpus using the PARSEVAL measures, SPATachieves 86% precision, and 1.3 crossing brackets per sentence for sentences of 40 words or less, and 91% precision, 90% recall, and 0.5 crossing brackets for sentences between 10 and 20 words in length.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P95-1037.txt | Citing Article:  P05-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The conventional wisdom since Magerman (1995) has been that lexicalization substantially improves performance compared to an unlexicalized baseline model (e.g., a probabilistic context-free grammar, PCFG).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The main reason for applying SPATTER to this domain is that IBM had spent the previous ten years developing a rule-based, unification-style probabilistic context-free grammar for parsing this domain.</S><S sid = NA ssid = NA>In a problem like parsing, where long-distance lexical information is crucial to disambiguate interpretations accurately, local models like probabilistic context-free grammars are inadequate.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P95-1037.txt | Citing Article:  N09-3004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The input to our sentence realiser are bag of words with dependency constraints which are automatically extracted from the Penn tree bank using head percolation rules used in (Magerman, 1995), which do not contain any order information.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In fact, no information other than the words is used from the test corpus.</S><S sid = NA ssid = NA>No information about the legal tags for a word are extracted from the test corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P95-1037.txt | Citing Article:  P00-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The SPATTER parser illustrates how large amounts of contextual information can be incorporated into a statistical model for parsing by applying decision-tree learning algorithms to a large annotated corpus.</S><S sid = NA ssid = NA>Using this definition, an n-gram model can be represented by a decision-tree model with n — 1 questions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P95-1037.txt | Citing Article:  P00-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The SPATTER parser illustrates how large amounts of contextual information can be incorporated into a statistical model for parsing by applying decision-tree learning algorithms to a large annotated corpus.</S><S sid = NA ssid = NA>Using this definition, an n-gram model can be represented by a decision-tree model with n — 1 questions.</S> | Discourse Facet:  NA | Annotator: Automatic


