Citance Number: 1 | Reference Article:  W02-2016.txt | Citing Article:  P14-2091.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The dependency parser we apply is an implementation of a shift-reduce dependency parser which uses a bunsetsu-chunk as a basic unit for parsing (Kudo and Matsumoto, 2002).</S> | Reference Offset:  ['1','36'] | Reference Text:  <S sid = 1 ssid = >In this paper, we propose a new statistical Japanese dependency parser using a cascaded chunking model.</S><S sid = 36 ssid = >Let us introduce the basic framework of the cascaded chunking parsing method: We apply this cascaded chunking parsing technique to Japanese dependency analysis.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W02-2016.txt | Citing Article:  W07-1109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Unlike probabilistic dependency analysis models of Japanese, the cascaded chunking model of Kudoand Matsumoto (2002) does not require the probabilities of dependencies and parses a sentence deterministically.</S> | Reference Offset:  ['0','33'] | Reference Text:  <S sid = 0 ssid = >Japanese Dependency Analysis Using Cascaded Chunking</S><S sid = 33 ssid = >In this paper, we introduce a new method for Japanese dependency analysis, which does not require the probabilities of dependencies and parses a sentence deterministically.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W02-2016.txt | Citing Article:  W07-1109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As a Japanese dependency analyzer based on the cascaded chunking model, we use the publicly available version of CaboCha (Kudo and Matsumoto, 2002), which is trained with the manually parsed sentences of Kyoto text corpus (Kurohashi and Nagao, 1998), that are 38,400 sentences selected from the 1995 Mainichi newspaper text.</S> | Reference Offset:  ['81','85'] | Reference Text:  <S sid = 81 ssid = >This data set consists of the Kyoto University text corpus Version 2.0 (Kurohashi and Nagao, 1997).</S><S sid = 85 ssid = >We used all 38,383 sentences of the Kyoto University text corpus Version 3.0.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W02-2016.txt | Citing Article:  W07-1109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Dynamic features include bunsetsu segments modifying the current candidate modifiee (see Kudo and Matsumoto (2002) for the details).</S> | Reference Offset:  ['66','68'] | Reference Text:  <S sid = 66 ssid = >The segments which modify the current candidate modifiee.</S><S sid = 68 ssid = >The segments which modify the current candidate modifier.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W02-2016.txt | Citing Article:  P03-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In our experiments, we used the same settings as (Kudo and Matsumoto, 2002).</S> | Reference Offset:  ['80','87'] | Reference Text:  <S sid = 80 ssid = >We used the following two annotated corpora for our experiments.</S><S sid = 87 ssid = >The feature sets used in our experiments are shown in Table 1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W02-2016.txt | Citing Article:  P03-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In previous research, we presented a state-of-the-art SVMs-based Japanese dependency parser (Kudo and Matsumoto, 2002).</S> | Reference Offset:  ['101','145'] | Reference Text:  <S sid = 101 ssid = >The results for the new cascaded chunking model as well as for the previous probabilistic model based on SVMs (Kudo and Matsumoto, 2000) are summarized in Table 2.</S><S sid = 145 ssid = >We presented a new Japanese dependency parser using a cascaded chunking model which achieves 90.46% accuracy using the Kyoto University Corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W02-2016.txt | Citing Article:  C04-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Since we used Isozaki's methods (Isozaki and Kazawa, 2002), the run-time complexity is not a problem.) Kudo and Matsumoto (2002) proposed an SVM based Dependency Analyzer for Japanese sentences.</S> | Reference Offset:  ['5','111'] | Reference Text:  <S sid = 5 ssid = >Dependency analysis has been recognized as a basic process in Japanese sentence analysis, and a number of studies have been proposed.</S><S sid = 111 ssid = >The problem of this training is that exceptional dependency relations may be used as training examples.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W02-2016.txt | Citing Article:  P10-2030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Japanese dependency parsers such as Cabocha (Kudo and Matsumoto, 2002) can extract Bps and their dependencies with about 90% accuracy.</S> | Reference Offset:  ['99','145'] | Reference Text:  <S sid = 99 ssid = >Dependency accuracy is the percentage of correct dependencies out of all dependency relations.</S><S sid = 145 ssid = >We presented a new Japanese dependency parser using a cascaded chunking model which achieves 90.46% accuracy using the Kyoto University Corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W02-2016.txt | Citing Article:  P06-1105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The recent availability of more corpora has enabled much information about dependency relations to be obtained by using a Japanese dependency analyzer such as KNP (Kurohashi and Nagao, 1994) or CaboCha (Kudo and Matsumoto,2002).</S> | Reference Offset:  ['0','127'] | Reference Text:  <S sid = 0 ssid = >Japanese Dependency Analysis Using Cascaded Chunking</S><S sid = 127 ssid = >Table 4 summarizes recent results on Japanese dependency analysis.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W02-2016.txt | Citing Article:  W09-2808.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The articles were morphologically analyzed by Mecab (Kudo et al, 2003) and syntactically parsed by Cabocha (Kudo and Matsumoto, 2002).</S> | Reference Offset:  ['7','83'] | Reference Text:  <S sid = 7 ssid = >Most of the previous statistical approaches for Japanese dependency analysis (Fujio and Matsumoto, 1998; Haruno et al., 1999; Uchimoto et al., 1999; Kanayama et al., 2000; Uchimoto et al., 2000; Kudo and Matsumoto, 2000) are based on a probabilistic model consisting of the following two steps.</S><S sid = 83 ssid = >This data set was used in (Uchimoto et al., 1999; Uchimoto et al., 2000) and (Kudo and Matsumoto, 2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W02-2016.txt | Citing Article:  P06-2046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['54','148'] | Reference Text:  <S sid = 54 ssid = >We describe the details in the next section.</S><S sid = 148 ssid = >In addition, we showed that dynamic features significantly contribute to improve the performance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W02-2016.txt | Citing Article:  W06-0502.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >2.4.3 Medium Parser (CaboCha-RMRS) For Japanese, we produce RMRS from the dependency parser Cabocha (Kudo and Matsumoto, 2002).</S> | Reference Offset:  ['1','12'] | Reference Text:  <S sid = 1 ssid = >In this paper, we propose a new statistical Japanese dependency parser using a cascaded chunking model.</S><S sid = 12 ssid = >In this paper, we propose a new Japanese dependency parser which is more efficient and simpler than the probabilistic model, yet performs better in training and testing on the Kyoto University Corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W02-2016.txt | Citing Article:  I08-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The sentences were dependency parsed with Cabocha (Kudo and Matsumoto, 2002), and co occurrence samples of event mentions were extracted.</S> | Reference Offset:  ['46','51'] | Reference Text:  <S sid = 46 ssid = >Furthermore, in the cascaded chunking model, the training examples are extracted using the parsing algorithm itself.</S><S sid = 51 ssid = >For example, coordinate structures cannot be always parsed with the independence constraint.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W02-2016.txt | Citing Article:  W06-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >When parsing with Jacy failed, comparisons could still be made with RMRS produced from shallow tools such as ChaSen (Matsumo to et al, 2000), a morphological analyser or CaboCha (Kudo and Matsumoto, 2002), a Japanese dependency parser.</S> | Reference Offset:  ['7','83'] | Reference Text:  <S sid = 7 ssid = >Most of the previous statistical approaches for Japanese dependency analysis (Fujio and Matsumoto, 1998; Haruno et al., 1999; Uchimoto et al., 1999; Kanayama et al., 2000; Uchimoto et al., 2000; Kudo and Matsumoto, 2000) are based on a probabilistic model consisting of the following two steps.</S><S sid = 83 ssid = >This data set was used in (Uchimoto et al., 1999; Uchimoto et al., 2000) and (Kudo and Matsumoto, 2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W02-2016.txt | Citing Article:  C04-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One of the most related models is the cascaded chunking model by (Kudo and Matsumoto, 2002).</S> | Reference Offset:  ['42','101'] | Reference Text:  <S sid = 42 ssid = >We think this proposed cascaded chunking model has the following advantages compared with the traditional probabilistic models.</S><S sid = 101 ssid = >The results for the new cascaded chunking model as well as for the previous probabilistic model based on SVMs (Kudo and Matsumoto, 2000) are summarized in Table 2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W02-2016.txt | Citing Article:  C04-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Kudo and Matsumoto (2002) give more comprehensive comparison with the probabilistic models as used in (Uchimoto et al, 1999).</S> | Reference Offset:  ['7','83'] | Reference Text:  <S sid = 7 ssid = >Most of the previous statistical approaches for Japanese dependency analysis (Fujio and Matsumoto, 1998; Haruno et al., 1999; Uchimoto et al., 1999; Kanayama et al., 2000; Uchimoto et al., 2000; Kudo and Matsumoto, 2000) are based on a probabilistic model consisting of the following two steps.</S><S sid = 83 ssid = >This data set was used in (Uchimoto et al., 1999; Uchimoto et al., 2000) and (Kudo and Matsumoto, 2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W02-2016.txt | Citing Article:  C04-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Note that this use of local contexts is similar to the dynamic features in (Kudo and Matsumoto, 2002) 4.</S> | Reference Offset:  ['61','136'] | Reference Text:  <S sid = 61 ssid = >To cope with this problem, Kudo and Matsumoto (2000) introduced a new type of features called dynamic features, which are created dynamically during the parsing process.</S><S sid = 136 ssid = >However, the features are still static, and dynamic features are not used in their model.</S> | Discourse Facet:  NA | Annotator: Automatic


