Citance Number: 1 | Reference Article:  P99-1014.txt | Citing Article:  P00-1029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Two-dimensional EM-based clustering has been applied to tasks in syntax (Rooth et al, 1999), but so far this approach has not been used to derive models of higher dimensionality and, to the best of our knowledge, this is the first time that it is being applied to speech.</S> | Reference Offset:  ['21','26'] | Reference Text:  <S sid = 21 ssid = >The basic ideas of our EM-based clustering approach were presented in Rooth (Ms).</S><S sid = 26 ssid = >There also EM-algorithms for similar probability models have been derived, but applied only to simpler tasks not involving a combination of EMbased clustering models as in our lexicon induction experiment.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P99-1014.txt | Citing Article:  W06-2910.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Rooth et al (1999) referring to a direct object noun for describing verbs, or used any syntactic relationship detected by a chunker or a parser (such as Lin (1998) and McCarthy et al (2003).</S> | Reference Offset:  ['27','99'] | Reference Text:  <S sid = 27 ssid = >For further applications of our clustering model see Rooth et al. (1998).</S><S sid = 99 ssid = >The lexicalized probabilistic grammar for German used is described in Beil et al. (1999).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P99-1014.txt | Citing Article:  P07-1028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Rooth et al (1999) generalize over seen head words using EM-based clustering rather than WordNet.</S> | Reference Offset:  ['21','27'] | Reference Text:  <S sid = 21 ssid = >The basic ideas of our EM-based clustering approach were presented in Rooth (Ms).</S><S sid = 27 ssid = >For further applications of our clustering model see Rooth et al. (1998).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P99-1014.txt | Citing Article:  P07-1028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Experimental design Like Rooth et al (1999) we evaluate selectional preference induction approaches in a pseudo disambiguation task.</S> | Reference Offset:  ['10','27'] | Reference Text:  <S sid = 10 ssid = >Both of these considerations suggest the relevance of inductive and experimental approaches to the construction of lexicons with semantic information.</S><S sid = 27 ssid = >For further applications of our clustering model see Rooth et al. (1998).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P99-1014.txt | Citing Article:  P10-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Rooth et al (1999) tested 3000 random (v, n) pairs, but required the verbs and nouns to appear between 30 and 3000 times in training.</S> | Reference Offset:  ['61','62'] | Reference Text:  <S sid = 61 ssid = >However, the elements v, v', and n were required to be part of the training corpus.</S><S sid = 62 ssid = >Furthermore, we restricted the verbs and nouns in the evalutation corpus to the ones which occured at least 30 times and at most 3000 times with some verb-functor v in the training corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P99-1014.txt | Citing Article:  W04-2413.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >EM-based clustering, originally introduced for the induction of a semantically annotated lexicon (Rooth et al, 1999), regards classes as hidden variables in the context of maximum likelihood estimation from incomplete data via the expectation maximisation algorithm.</S> | Reference Offset:  ['0','17'] | Reference Text:  <S sid = 0 ssid = >Inducing A Semantically Annotated Lexicon Via EM-Based Clustering</S><S sid = 17 ssid = >Semantic classes corresponding to such pairs are viewed as hidden variables or unobserved data in the context of maximum likelihood estimation from incomplete data via the EM algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P99-1014.txt | Citing Article:  D08-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Usually, the classes are from WordNet (Miller et al, 1990), although they can also be inferred from clustering (Rooth et al., 1999).</S> | Reference Offset:  ['27','99'] | Reference Text:  <S sid = 27 ssid = >For further applications of our clustering model see Rooth et al. (1998).</S><S sid = 99 ssid = >The lexicalized probabilistic grammar for German used is described in Beil et al. (1999).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P99-1014.txt | Citing Article:  W06-1101.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['142','143'] | Reference Text:  <S sid = 142 ssid = >5.</S><S sid = 143 ssid = >The method is applicable to any natural language where text samples of sufficient size, computational morphology, and a robust parser capable of extracting subcategorization frames with their fillers are available.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P99-1014.txt | Citing Article:  D11-1097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Probabilistic latent variable frameworks for generalising about contextual behaviour (in the form of verb-noun selectional preferences) were proposed by Pereira et al (1993) and Rooth et al (1999).</S> | Reference Offset:  ['23','55'] | Reference Text:  <S sid = 23 ssid = >The probability model we use can be found earlier in Pereira et al. (1993).</S><S sid = 55 ssid = >We evaluated our clustering models on a pseudodisambiguation task similar to that performed in Pereira et al. (1993), but differing in detail.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P99-1014.txt | Citing Article:  P10-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Rooth et al (1999) introduced a model of selectional preference induction that casts the problem in a probabilistic latent-variable framework.</S> | Reference Offset:  ['27','30'] | Reference Text:  <S sid = 27 ssid = >For further applications of our clustering model see Rooth et al. (1998).</S><S sid = 30 ssid = >Note that by construction, conditioning of v and n on each other is solely made through the classes c. In the framework of the EM algorithm (Dempster et al., 1977), we can formalize clustering as an estimation problem for a latent class (LC) model as follows.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P99-1014.txt | Citing Article:  C04-1133.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Semantic classes assigned to predicate arguments in sub categorization frames are either derived automatically through statistical clustering techniques (Rooth et al (1999), Light and Greiff (2002)) or assigned using hand-constructed lexical taxonomies such as the WordNet hierarchy or LDOCE semantic classes.</S> | Reference Offset:  ['38','42'] | Reference Text:  <S sid = 38 ssid = >As shown by Baum et al. (1970), these expectations can be calculated efficiently using dynamic programming techniques.</S><S sid = 42 ssid = >2 shows an induced semantic class out of a model with 35 classes.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P99-1014.txt | Citing Article:  D07-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Rooth et al (1999) present a fundamentally different approach to selectional preference induction which uses soft clustering to form classes for generalisation and does not take recourse to any hand-crafted resource.</S> | Reference Offset:  ['1','27'] | Reference Text:  <S sid = 1 ssid = >We present a technique for automatic induction of slot annotations for subcategorization frames, based on induction of hidden classes in the EM framework of statistical estimation.</S><S sid = 27 ssid = >For further applications of our clustering model see Rooth et al. (1998).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P99-1014.txt | Citing Article:  D07-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The strategy of our model to derive generalisations directly from corpus data, without recourse to re sources, is similar to another family of corpus-driven selectional preference models, namely EM-based clustering models (Rooth et al, 1999).</S> | Reference Offset:  ['27','55'] | Reference Text:  <S sid = 27 ssid = >For further applications of our clustering model see Rooth et al. (1998).</S><S sid = 55 ssid = >We evaluated our clustering models on a pseudodisambiguation task similar to that performed in Pereira et al. (1993), but differing in detail.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P99-1014.txt | Citing Article:  D07-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['142','143'] | Reference Text:  <S sid = 142 ssid = >5.</S><S sid = 143 ssid = >The method is applicable to any natural language where text samples of sufficient size, computational morphology, and a robust parser capable of extracting subcategorization frames with their fillers are available.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P99-1014.txt | Citing Article:  P13-1085.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We explore a variant of the pseudo-disambiguation task of Rooth et al (1999) which has been applied to SP acquisition by a number of recent papers.</S> | Reference Offset:  ['27','55'] | Reference Text:  <S sid = 27 ssid = >For further applications of our clustering model see Rooth et al. (1998).</S><S sid = 55 ssid = >We evaluated our clustering models on a pseudodisambiguation task similar to that performed in Pereira et al. (1993), but differing in detail.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P99-1014.txt | Citing Article:  W05-0805.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Three and five-dimensional EM-based clustering has been applied to monolingual phonological data (Muller et al, 2000) and two-dimensional clustering to syntax (Rooth et al, 1999).</S> | Reference Offset:  ['21','27'] | Reference Text:  <S sid = 21 ssid = >The basic ideas of our EM-based clustering approach were presented in Rooth (Ms).</S><S sid = 27 ssid = >For further applications of our clustering model see Rooth et al. (1998).</S> | Discourse Facet:  NA | Annotator: Automatic


