Citance Number: 1 | Reference Article:  J98-2004.txt | Citing Article:  P99-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The (Caraballo and Charniak, 1998) article considers a number of different figures of merit for ordering the agenda, and ultimately recommends one that reduces the number of edges required for a full parse into the thousands.</S> | Reference Offset:  ['224','229'] | Reference Text:  <S sid = 224 ssid = >Recall of the best parse found in a fixed number of edges for the estimates.</S><S sid = 229 ssid = >Again, we measured the recall of the best parse of each sentence found within each number of edges.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  J98-2004.txt | Citing Article:  P04-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['119','240'] | Reference Text:  <S sid = 119 ssid = >The p(Nihk,to,i) term is just au defined above in the discussion of the normalized al,13 model.</S><S sid = 240 ssid = >This research was supported in part by NSF grant IRI-9319516 and by ONR grant N0014-96-1-0549.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J98-2004.txt | Citing Article:  N03-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Chitrao and Grishman (1990), Caraballo and Charniak (1998), Charniak et al (1998), and Collins (1999) describe best-first parsing, which is intended for a tabular item-based framework.</S> | Reference Offset:  ['73','177'] | Reference Text:  <S sid = 73 ssid = >This can result in a &quot;thrashing&quot; effect as noted in Chitrao and Grishman (1990), where the system parses short constituents, even very low-probability ones, while avoiding combining them into longer constituents.</S><S sid = 177 ssid = >Bobrow (1990) and Chitrao and Grishman (1990) introduced statistical agendabased parsing techniques.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J98-2004.txt | Citing Article:  N03-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Best-first parsers deal with this by allowing an upward propagation, which updates such edges' scores (Caraballo and Charniak, 1998).</S> | Reference Offset:  ['189','196'] | Reference Text:  <S sid = 189 ssid = >We strongly recommend this figure of merit as the basis for best-first statistical parsers.</S><S sid = 196 ssid = >These updates can be quite expensive in terms of CPU time.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J98-2004.txt | Citing Article:  N03-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To situate our results, the FOMs used by (Caraballo and Charniak, 1998) require 10K edges to parse 96% of these sentences, while BF requires only 6K edges.</S> | Reference Offset:  ['57','161'] | Reference Text:  <S sid = 57 ssid = >Sentence length was limited to a maximum of 30 because of the huge number of edges that are generated in doing a full parse of long sentences; using this grammar, sentences in this length range have produced up to 130,000 edges.</S><S sid = 161 ssid = >Figure 13 shows the percentage of sentences of length 18 through 26 for which a parse could be found within 2,500 edges.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J98-2004.txt | Citing Article:  W06-1635.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Therefore, we were less concerned with improving efficiency, and more with the properties of this algorithm, which we consider a baseline method upon which more sophisticated techniques such as best-first parsing (Caraballo and Charniak, 1998).</S> | Reference Offset:  ['9','51'] | Reference Text:  <S sid = 9 ssid = >Chart parsing is a commonly used algorithm for parsing natural language texts.</S><S sid = 51 ssid = >We then computed several quantities for best-first parsing with each figure of merit at the point where the best-first parsing method has found parses contributing at least 95% of the probability mass of the sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J98-2004.txt | Citing Article:  D11-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Similar to a best-first parser (Caraballo and Charniak, 1998), the highest scored hypothesis is expanded first.</S> | Reference Offset:  ['175','182'] | Reference Text:  <S sid = 175 ssid = >The treebank grammar was introduced in Charniak (1996), and the parser in, that paper is a best-first parser using the boundary trigram figure of merit.</S><S sid = 182 ssid = >They do not actually incorporate this figure into a best-first parser.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J98-2004.txt | Citing Article:  P06-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For efficiency reasons, we use a coarse-to-fine pruning scheme like that of Caraballo and Charniak (1998).</S> | Reference Offset:  ['22','154'] | Reference Text:  <S sid = 22 ssid = >Ideally, we would like to use as our figure of merit the conditional probability of that constituent, given the entire sentence, in order to choose a constituent that not only appears likely in isolation, but is most likely given the sentence as a whole; that is, we would like to pick the constituent that maximizes the following quantity: where to, is the sequence of the n tags, or parts of speech, in the sentence (numbered to,.</S><S sid = 154 ssid = >However, the parser cannot compute the outside probability of a constituent during a parse, and so in order to use context on both sides of the constituent, we need to use something like our boundary statistics.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J98-2004.txt | Citing Article:  W05-1504.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It might be used to rapidly compute approximate outside-probability estimates to prioritize best-first search (e.g., Caraballo and Charniak, 1998).</S> | Reference Offset:  ['104','192'] | Reference Text:  <S sid = 104 ssid = >The following recursive formula can be used to compute aL.</S><S sid = 192 ssid = >We compute estimates of the inside probability for each proposed constituent incrementally as new constituents are added to the chart.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J98-2004.txt | Citing Article:  N06-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A quite different approach to parsing efficiency is taken in Caraballo and Charniak (1998).</S> | Reference Offset:  ['75','184'] | Reference Text:  <S sid = 75 ssid = >One approach is to take the geometric mean of the inside probability, to obtain a per-word inside probability.</S><S sid = 184 ssid = >Magerman and Weir (1992) use a similar model with a different parsing algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J98-2004.txt | Citing Article:  N06-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The results cited in Caraballo and Charniak (1998) can not be compared directly to ours, but are roughly in the same equivalence class.</S> | Reference Offset:  ['167','174'] | Reference Text:  <S sid = 167 ssid = >The boundary statistics were counted directly from the training data as well.</S><S sid = 174 ssid = >In an earlier version of this paper (Caraballo and Charniak 1996), we presented the results for several of these models using our original grammar.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J98-2004.txt | Citing Article:  C02-1079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The standard methods of the best analysis selection (Caraballo and Charniak, 1998) usually use simple stochastic functions independent on the peculiarities of the underlying language.</S> | Reference Offset:  ['1','5'] | Reference Text:  <S sid = 1 ssid = >Best-first parsing methods for natural language try to parse efficiently by considering the most likely constituents first.</S><S sid = 5 ssid = >Best-first parsing methods for natural language try to parse efficiently by considering the most likely constituents first.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J98-2004.txt | Citing Article:  C02-1079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For instance, (Caraballo and Charniak, 1998) presents and evaluate different figures of merit in the context of best-first chart parsing.</S> | Reference Offset:  ['0','226'] | Reference Text:  <S sid = 0 ssid = >New Figures Of Merit For Best-First Probabilistic Chart Parsing</S><S sid = 226 ssid = >Caraballo and Charniak Figures of Merit This level of precision is independent of the figure of merit used, so measurement of precision does not help evaluate our figures of merit.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J98-2004.txt | Citing Article:  D11-1083.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Caraballo and Charniak (1998) present best-first parsing with Figures of Merit that allows conditioning of the heuristic function on statistics of the input string.</S> | Reference Offset:  ['0','185'] | Reference Text:  <S sid = 0 ssid = >New Figures Of Merit For Best-First Probabilistic Chart Parsing</S><S sid = 185 ssid = >We have presented and evaluated several figures of merit for best-first parsing.</S> | Discourse Facet:  NA | Annotator: Automatic


