Citance Number: 1 | Reference Article:  P97-1013.txt | Citing Article:  W97-0713.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Percent agreement with the majonty opinion for each text We took then the RS-trees built by the analysts and used our formalizaUon of RST (Marcu, 1996, Marcu, 1997b) to assocmte with each.</S> | Reference Offset:  ['109','140'] | Reference Text:  <S sid = 109 ssid = >A constraint-satisfaction procedure similar to that described in (Marcu, 1996) then determines all the valid discourse trees (see (Marcu, 1997) for details).</S><S sid = 140 ssid = >Besides directly comparing the trees built by the program with those built by analysts, we also evaluated the impact that our trees could have on the task of summarizing text.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P97-1013.txt | Citing Article:  W03-0909.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['60','164'] | Reference Text:  <S sid = 60 ssid = >2.</S><S sid = 164 ssid = >This research was supported by the Natural Sciences and Engineering Research Council of Canada</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P97-1013.txt | Citing Article:  P99-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Since discourse markers, such as because and and, have been shown to play a major role in rhetorical parsing (Marcu, 1997), we also consider a list of features that specify whether a lexeme found within the local contextual window is a potential discourse marker.</S> | Reference Offset:  ['13','58'] | Reference Text:  <S sid = 13 ssid = >The mathematical foundations of the rhetorical parsing algorithm rely on a first-order formalization of valid text structures (Marcu, 1997).</S><S sid = 58 ssid = >The orthographic environment that characterizes the usage of the potential discourse marker.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P97-1013.txt | Citing Article:  W03-1203.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our task is similar to the concept of discourse parsing (Marcu (1997)), where discourse structures are extracted from the text.</S> | Reference Offset:  ['13','109'] | Reference Text:  <S sid = 13 ssid = >The mathematical foundations of the rhetorical parsing algorithm rely on a first-order formalization of valid text structures (Marcu, 1997).</S><S sid = 109 ssid = >A constraint-satisfaction procedure similar to that described in (Marcu, 1996) then determines all the valid discourse trees (see (Marcu, 1997) for details).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P97-1013.txt | Citing Article:  C04-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['60','164'] | Reference Text:  <S sid = 60 ssid = >2.</S><S sid = 164 ssid = >This research was supported by the Natural Sciences and Engineering Research Council of Canada</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P97-1013.txt | Citing Article:  P06-2087.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Argumentation belongs to discourse analysis, with fairly complex computational models such as the implementation of the rhetorical structure theory proposed by (Marcu, 1997), which proposes dozens of rhetorical classes.</S> | Reference Offset:  ['20','28'] | Reference Text:  <S sid = 20 ssid = >Relations can be partitioned into two classes: paratactic and hypotactic.</S><S sid = 28 ssid = >In our previous work (Marcu, 1996), we presented a complete axiomatization of these principles in the context of Rhetorical Structure Theory (Mann and Thompson, 1988) and we described an algorithm that, starting from the set of textual units that make up a text and the set of elementary rhetorical relations that hold between these units, can derive all the valid discourse trees of that text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P97-1013.txt | Citing Article:  P06-3007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Marcu (1997) describes a rhetorical parsing approach which takes unrestricted text as input and derives the rhetorical structure tree.</S> | Reference Offset:  ['0','13'] | Reference Text:  <S sid = 0 ssid = >The Rhetorical Parsing Of Unrestricted Natural Language Texts</S><S sid = 13 ssid = >The mathematical foundations of the rhetorical parsing algorithm rely on a first-order formalization of valid text structures (Marcu, 1997).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P97-1013.txt | Citing Article:  W05-0613.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One exception is Marcu's work (Marcu, 1997, 1999) (see also Soricut and Marcu (2003) for constructing discourse structures for individual sentences).</S> | Reference Offset:  ['109','157'] | Reference Text:  <S sid = 109 ssid = >A constraint-satisfaction procedure similar to that described in (Marcu, 1996) then determines all the valid discourse trees (see (Marcu, 1997) for details).</S><S sid = 157 ssid = >A detailed comparison of our work with Sumita et al. 's and others' work is given in (Marcu, 1997).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P97-1013.txt | Citing Article:  W98-1123.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our segmentation is linear, rather than hierarchical (Marcu 1997 and Yaari 1997), i.e. the input article is divided into a linear sequence of adjacent segments.</S> | Reference Offset:  ['3','109'] | Reference Text:  <S sid = 3 ssid = >Researchers of natural language have repeatedly acknowledged that texts are not just a sequence of words nor even a sequence of clauses and sentences.</S><S sid = 109 ssid = >A constraint-satisfaction procedure similar to that described in (Marcu, 1996) then determines all the valid discourse trees (see (Marcu, 1997) for details).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P97-1013.txt | Citing Article:  W98-1123.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Considering the problem from another angle, discourse approaches have focused on shorter units than multi-paragraph segments, but Rhetorical Structure Theory (Marcu 1997 and others) may be able to scale up to associate rhetorical functions with segments.</S> | Reference Offset:  ['28','33'] | Reference Text:  <S sid = 28 ssid = >In our previous work (Marcu, 1996), we presented a complete axiomatization of these principles in the context of Rhetorical Structure Theory (Mann and Thompson, 1988) and we described an algorithm that, starting from the set of textual units that make up a text and the set of elementary rhetorical relations that hold between these units, can derive all the valid discourse trees of that text.</S><S sid = 33 ssid = >The intuition behind our choice relies on the following facts: the discourse segments that they relate.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P97-1013.txt | Citing Article:  W02-1704.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the approach proposed in (Marcu, 1997), for example, the presence of discourse markers is used to hypothesize individual textual units and relations holding between them.</S> | Reference Offset:  ['108','147'] | Reference Text:  <S sid = 108 ssid = >Once the textual units are determined, the rhetorical parser uses the procedures derived from the corpus analysis to hypothesize rhetorical relations between the textual units.</S><S sid = 147 ssid = >We also expect that other robust methods for determining coherence relations between textual units, such as those described by Harabagiu and Moldovan (1995), will improve the accuracy of the routines that hypothesize the rhetorical relations that hold between adjacent units.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P97-1013.txt | Citing Article:  C08-1124.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Marcu (1997) parsed documents as rhetorical trees and identified important sentences based on the trees.</S> | Reference Offset:  ['1','109'] | Reference Text:  <S sid = 1 ssid = >We derive the rhetorical structures of texts by means of two new, surface-form-based algorithms: one that identifies discourse usages of cue phrases and breaks sentences into clauses, and one that produces valid rhetorical structure trees for unrestricted natural language texts.</S><S sid = 109 ssid = >A constraint-satisfaction procedure similar to that described in (Marcu, 1996) then determines all the valid discourse trees (see (Marcu, 1997) for details).</S> | Discourse Facet:  NA | Annotator: Automatic


