Citance Number: 1 | Reference Article:  W02-1039.txt | Citing Article:  P03-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The second constraint, known as the cohesion constraint (Fox, 2002), uses the dependency tree (Melcuk, 1987) of the English sentence to restrict possible link combinations.</S> | Reference Offset:  ['35','130'] | Reference Text:  <S sid = 35 ssid = >The alignments are of two types: sure (S) and possible (P).</S><S sid = 130 ssid = >Figure 9 shows a parse tree and its corresponding dependency structure.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  W02-1039.txt | Citing Article:  P06-2014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Fox (2002) measured phrasal cohesion in gold standard alignments by counting crossings.</S> | Reference Offset:  ['47','82'] | Reference Text:  <S sid = 47 ssid = >Recalling the two different types of alignments, S and P, we examined three different conditions: S alignments only, P alignments only, or S alignments where present falling back to P alignments (S P).</S><S sid = 82 ssid = >Also as before, half to two-thirds of crossings in the S P and P alignments are due to phrasal translations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W02-1039.txt | Citing Article:  P06-2014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, as Fox (2002) showed, even in a language pair as close as French-English, there are situations where phrasal cohesion should not be maintained.</S> | Reference Offset:  ['19','40'] | Reference Text:  <S sid = 19 ssid = >For this reason, we have examined phrasal cohesion for French and English, two languages which are fairly close syntactically but have enough differences to be interesting.</S><S sid = 40 ssid = >For example, in Figure 2 note that every pair of English and French words under the verb phrase is aligned.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W02-1039.txt | Citing Article:  W09-0434.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Fox (2002) showed that many common reorderings fall outside the scope of synchronous grammars that only allow the reordering of child nodes.</S> | Reference Offset:  ['97','104'] | Reference Text:  <S sid = 97 ssid = >Among the cases which do result from language differences, the most common is the “ne ... pas” construction (e.g.</S><S sid = 104 ssid = >Next most common is the case where the English contains a modal verb which is aligned with the main verb in the French.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W02-1039.txt | Citing Article:  W05-0803.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Compare the systematic study for English-French alignments by (Fox, 2002), who compared (i) tree-bank parser style analyses, (ii) a variant with flattened VPs, and (iii) dependency structures.</S> | Reference Offset:  ['4','145'] | Reference Text:  <S sid = 4 ssid = >We also compare three variant syntactic representations to determine which one has the best properties with respect to cohesion.</S><S sid = 145 ssid = >We have also examined the differences in cohesion between Treebank-style parse trees, trees with flattened verb phrases, and dependency structures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W02-1039.txt | Citing Article:  P10-2004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In real corpora, cases such as node N2 are frequent enough to be noticeable (see Fox (2002) or section 4.1 in this paper).</S> | Reference Offset:  ['59','97'] | Reference Text:  <S sid = 59 ssid = >Both types of crossings are much more frequent (4.790 for heads and 0.88 for modifiers) and Then, for a given phrase with head constituent if and are part of a phrasal translation in alignment otherwise phrasal translation filtering has a much larger effect (reducing head average to 2.772 and modifier average to 0.516).</S><S sid = 97 ssid = >Among the cases which do result from language differences, the most common is the “ne ... pas” construction (e.g.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W02-1039.txt | Citing Article:  P06-2124.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Similar to the Pharoah package (Koehn, 2004), we extract phrase-pairs directly from word alignment together with coherence constraints (Fox, 2002) to remove noisy ones.</S> | Reference Offset:  ['13','22'] | Reference Text:  <S sid = 13 ssid = >Other than this, there is little in the SMT literature to validate the coherence assumption.</S><S sid = 22 ssid = >Each is a set of indices into where indicates that word in the French sentence is aligned with word in the English sentence. indicates that English word has no corresponding French word.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W02-1039.txt | Citing Article:  D11-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It encodes semantic relations directly, and has the best inter-lingual phrasal cohesion properties (Fox,2002).</S> | Reference Offset:  ['4','136'] | Reference Text:  <S sid = 4 ssid = >We also compare three variant syntactic representations to determine which one has the best properties with respect to cohesion.</S><S sid = 136 ssid = >Overall, however, the dependency representation has the best cohesion properties. ernment.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W02-1039.txt | Citing Article:  P06-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One of assumptions of phrase-based SMT is that phrase cohere across two languages (Fox, 2002), which means phrases in one language tend to be moved together during translation.</S> | Reference Offset:  ['11','25'] | Reference Text:  <S sid = 11 ssid = >These have taken several different forms, but all share the basic assumption that phrases in one language tend to stay together (i.e. cohere) during translation and thus the word-reordering operation can move entire phrases, rather than moving each word independently.</S><S sid = 25 ssid = >If phrases cohere perfectly across languages, the span of one phrase will never overlap the span of another.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W02-1039.txt | Citing Article:  D08-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Fox, 2002) is characterized by its simplicity, which has attracted researchers for years.</S> | Reference Offset:  ['55','150'] | Reference Text:  <S sid = 55 ssid = >The “Head Crossings” line shows the results when comparing the span of the head constituent of a phrase with the spans of its modifier constituents, and “Modifier Crossings” refers to the case where we compare the spans of pairs of modifiers.</S><S sid = 150 ssid = >The views and conclusions contained in this document are those of the author and should not be interpreted as necessarily representing the official policies, either expressed or implied, of the Defense Advanced Research Projects Agency or the United States Gov</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W02-1039.txt | Citing Article:  W04-3228.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Dependencies were found to be more consistent than constituent structure between French and English by Fox (2002), though this study used a tree representation on the English side only.</S> | Reference Offset:  ['105','130'] | Reference Text:  <S sid = 105 ssid = >In the example in Figure 6, “will be” is aligned to “sera” (indicated by the solid lines) and because of the constituent structure of the English parse there is a crossing.</S><S sid = 130 ssid = >Figure 9 shows a parse tree and its corresponding dependency structure.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W02-1039.txt | Citing Article:  W04-3228.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This confirms the results of Fox (2002) and Galley et al (2004) that many translation operations must span more than one parse tree node.</S> | Reference Offset:  ['14','130'] | Reference Text:  <S sid = 14 ssid = >Several studies have reported alignment or translation performance for syntactically augmented translation models (Wu, 1997; Wang, 1998; Alshawi et al., 2000; Yamada and Knight, 2001; Jones and Havrilla, 1998) and these results have been promising.</S><S sid = 130 ssid = >Figure 9 shows a parse tree and its corresponding dependency structure.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W02-1039.txt | Citing Article:  P07-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The advantages of modeling how a target language syntax tree moves with respect to a source language syntax tree are that (i) we can capture the fact that constituents move as a whole and generally respect the phrasal cohesion constraints (Fox, 2002), and (ii) we can model broad syntactic reordering phenomena, such as subject-verb-object constructions translating into subject-object-verb ones, as is generally the case for English and Japanese.</S> | Reference Offset:  ['7','8'] | Reference Text:  <S sid = 7 ssid = >The translation model captures the translation of source language words into the target language and the reordering of those words.</S><S sid = 8 ssid = >The language model ranks the outputs of the translation model by how well they adhere to the syntactic constraints of the target language.1 The prime deficiency of the IBM model is the reordering component.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W02-1039.txt | Citing Article:  N04-1035.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In a very interesting study of syntax in statistical machine translation, Fox (2002) looks at how well proposed translation models fit actual translation data.</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >Phrasal Cohesion And Statistical Machine Translation</S><S sid = 1 ssid = >There has been much interest in using phrasal movement to improve statistical machine translation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W02-1039.txt | Citing Article:  N04-1035.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Previous to Fox (2002), it had been observed that this model would prohibit certainre-orderings in certain language pairs (such as subject VP (verb-object) into verb-subject-object), but Fox carried out the first careful empirical study, showing that many other common translation patterns fall outside the scope of the child-reordering model.</S> | Reference Offset:  ['7','8'] | Reference Text:  <S sid = 7 ssid = >The translation model captures the translation of source language words into the target language and the reordering of those words.</S><S sid = 8 ssid = >The language model ranks the outputs of the translation model by how well they adhere to the syntactic constraints of the target language.1 The prime deficiency of the IBM model is the reordering component.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W02-1039.txt | Citing Article:  N04-1035.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For this reason, we think it is important to learn from the model/data explain ability studies of Fox (2002) and to extend her results.</S> | Reference Offset:  ['8','95'] | Reference Text:  <S sid = 8 ssid = >The language model ranks the outputs of the translation model by how well they adhere to the syntactic constraints of the target language.1 The prime deficiency of the IBM model is the reordering component.</S><S sid = 95 ssid = >Thus, while it would be difficult for a statistical model to learn from these examples, there is nothing to preclude production of a valid translation from a system using phrasal movement in the reordering phase.</S> | Discourse Facet:  NA | Annotator: Automatic


