Citance Number: 1 | Reference Article:  P09-1068.txt | Citing Article:  N10-1135.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Second, recent work by Chambers and Jurafsky (2009) has induced narrative chains, i.e., likely sequences of events, by their use of similar head words.</S> | Reference Offset:  ['14','198'] | Reference Text:  <S sid = 14 ssid = >Our previous work (Chambers and Jurafsky, 2008) relied on the intuition that in a coherent text, any two events that are about the same participants are likely to be part of the same story or narrative.</S><S sid = 198 ssid = >Unlike in (Chambers and Jurafsky, 2008), we lemmatize verbs and argument head words.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P09-1068.txt | Citing Article:  P10-1158.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our narrative schemas differ slightly from Chambers and Jurafsky (2009).</S> | Reference Offset:  ['146','200'] | Reference Text:  <S sid = 146 ssid = >They differ in that schemas focus on events in a narrative, while frames focus on events that share core participants.</S><S sid = 200 ssid = >The test set is the same as in (Chambers and Jurafsky, 2008).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P09-1068.txt | Citing Article:  P11-1145.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The unsupervised setting has also been considering for the related problem of learning narrative schemas (Chambers and Jurafsky, 2009).</S> | Reference Offset:  ['0','140'] | Reference Text:  <S sid = 0 ssid = >Unsupervised Learning of Narrative Schemas and their Participants</S><S sid = 140 ssid = >How can this unsupervised method of learning roles be evaluated?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P09-1068.txt | Citing Article:  P11-1098.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our previous work (Chambers and Jurafsky, 2009) learned situation-specific roles over narrative schemas, similar to frame roles in FrameNet (Baker et al, 1998).</S> | Reference Offset:  ['16','58'] | Reference Text:  <S sid = 16 ssid = >In this paper we extend this work to represent sets of situation-specific events not unlike scripts, caseframes (Bean and Riloff, 2004), and FrameNet frames (Baker et al., 1998).</S><S sid = 58 ssid = >Most work on semantic role labeling, however, is supervised, using Propbank (Palmer et al., 2005), FrameNet (Baker et al., 1998) or VerbNet (Kipper et al., 2000) as gold standard roles and training data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P09-1068.txt | Citing Article:  N12-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Inducing narrative schemas (Chambers and Jurafsky, 2009) may be viewed as a possible next step in a narrative induction pipeline, subsequent to disentangling the text comprising individual narrative threads.</S> | Reference Offset:  ['70','96'] | Reference Text:  <S sid = 70 ssid = >The first step in describing a narrative schema is to extend the definition of a narrative chain to include argument types.</S><S sid = 96 ssid = >Whereas a narrative chain is a set of event slots, a Narrative Schema is a set of typed narrative chains.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P09-1068.txt | Citing Article:  P12-2042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Similar observations can be made with respect to Chambers and Jurafsky (2009) and Kasch and Oates (2010), who also study a single discourse relation (narration), and are thus more limited in scope than the approach described here.</S> | Reference Offset:  ['67','200'] | Reference Text:  <S sid = 67 ssid = >As just described, Chambers and Jurafsky (2008) offers an unsupervised approach to event learning (goal 1), but lacks semantic role knowledge (goal 2).</S><S sid = 200 ssid = >The test set is the same as in (Chambers and Jurafsky, 2008).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P09-1068.txt | Citing Article:  P12-2042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It thus represents the basis for further experiments, e.g., with respect to the enrichment the BKB with information provided by Riaz and Girju (2010), Chambers and Jurafsky (2009) and Kasch and Oates (2010).</S> | Reference Offset:  ['6','34'] | Reference Text:  <S sid = 6 ssid = >Knowledge structures such as these provided the interpreter rich information about many aspects of meaning.</S><S sid = 34 ssid = >Second, the model only represents one participant (the protagonist).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P09-1068.txt | Citing Article:  P13-2085.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Chambers and Jurafsky (2009) described a system that can learn (without supervision) the sequence of events described in a narrative, and Elson and McKeown (2009) created a platform that can symbolically represent and reason over narratives. Narrative structure has also been studied by representing character interactions as networks.</S> | Reference Offset:  ['67','89'] | Reference Text:  <S sid = 67 ssid = >As just described, Chambers and Jurafsky (2008) offers an unsupervised approach to event learning (goal 1), but lacks semantic role knowledge (goal 2).</S><S sid = 89 ssid = >This chain will be part of a larger narrative schema, described in section 3.4.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P09-1068.txt | Citing Article:  W11-1913.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our system is based on a cluster-ranking model proposed by Rahman and Ng (2009), with novel semantic features based on recent research on narrative event schema (Chambers and Jurafsky, 2009).</S> | Reference Offset:  ['38','122'] | Reference Text:  <S sid = 38 ssid = >Chain learning and clustering is based only on the frequency with which two verbs share arguments, ignoring any features of the arguments themselves.</S><S sid = 122 ssid = >In Chambers and Jurafsky (2008), narrative chains add the best (e, d) based on the following: where m is the number of seen event slots in the corpus and (vj, gj) is the jth such possible event slot.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P09-1068.txt | Citing Article:  P13-1122.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Chambers and Jurafsky (2009) present an unsupervised method for learning narrative schemas from news, i.e., coherent sets of events that involve specific entity types (semantic roles).</S> | Reference Offset:  ['20','140'] | Reference Text:  <S sid = 20 ssid = >Narrative Event Chains are partially ordered sets of events that all involve the same shared participant, the protagonist (Chambers and Jurafsky, 2008).</S><S sid = 140 ssid = >How can this unsupervised method of learning roles be evaluated?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P09-1068.txt | Citing Article:  E12-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >McIntyre and Lapata (2010) create a story generation system that draws on earlier work on narrative schemas (Chambers and Jurafsky, 2009).</S> | Reference Offset:  ['14','200'] | Reference Text:  <S sid = 14 ssid = >Our previous work (Chambers and Jurafsky, 2008) relied on the intuition that in a coherent text, any two events that are about the same participants are likely to be part of the same story or narrative.</S><S sid = 200 ssid = >The test set is the same as in (Chambers and Jurafsky, 2008).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P09-1068.txt | Citing Article:  P11-1163.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Event structures in open domain texts are frequently highly complex and nested: a "crime" event can cause an "investigation" event, which can lead to an "arrest"event (Chambers and Jurafsky, 2009).</S> | Reference Offset:  ['18','42'] | Reference Text:  <S sid = 18 ssid = >This paper addresses two areas of work in event semantics, narrative event chains and semantic role labeling.</S><S sid = 42 ssid = >Narrative chains incorrectly favor (fly X) because it is observed during training with all five event slots, although not frequently with any one of them.</S> | Discourse Facet:  NA | Annotator: Automatic


