Citance Number: 1 | Reference Article:  C02-1144.txt | Citing Article:  C04-1092.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Different measures have been proposed, which are not easy to evaluate (see (Lin and Pantel, 2002) for proposals).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Many cluster evaluation schemes have been proposed.</S><S sid = NA ssid = NA>One way to deal with these problems is to use a clustering algorithm to automatically induce semantic classes (Lin and Pantel 2001).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  C02-1144.txt | Citing Article:  P06-2071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Schutze, 1998) and (Lin and Pantel, 2002a, b) show that clustering methods are helpful in this area.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Following (Lin 1998), we represent each word by a feature vector.</S><S sid = NA ssid = NA>One way to deal with these problems is to use a clustering algorithm to automatically induce semantic classes (Lin and Pantel 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  C02-1144.txt | Citing Article:  D10-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Options for identifying interesting classes include manually created methods (WordNet (Miller et al, 1990)), textual patterns (Hearst, 1992), automated clustering (Lin and Pantel, 2002), and combinations (Snow et al, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We generated clusters from a news corpus using CBC and compared them with classes extracted from WordNet (Miller 1990).</S><S sid = NA ssid = NA>For each cluster c, we also include wn(c).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  C02-1144.txt | Citing Article:  W08-1910.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Mutual information (MI) is an information theoric measure and has been used in many NLP tasks, including clustering words (e.g. Lin and Pantel, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>To compute the top similar words of a word w, we first sort w?s features according to their mutual information with w. We only compute pairwise similarities between w and the words that share a high mutual information feature with w. 4.2.</S><S sid = NA ssid = NA>A well known problem with mutual information is that it is biased towards infrequent words/features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  C02-1144.txt | Citing Article:  W10-2302.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This research was partly supported by Natural Sciences and Engineering Research Council of Canada grant OGP121338 and scholarship PGSB207797.</S><S sid = NA ssid = NA>Phase II: Find committees.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  C02-1144.txt | Citing Article:  W10-2302.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This research was partly supported by Natural Sciences and Engineering Research Council of Canada grant OGP121338 and scholarship PGSB207797.</S><S sid = NA ssid = NA>Phase II: Find committees.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  C02-1144.txt | Citing Article:  P06-1015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To date, researchers have harvested, with varying success, several resources, including concept lists (Lin and Pantel 2002), topic signatures (Lin and Hovy 2000), facts (Etzioni et al 2005), and word similarity lists (Hindle 1990).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Following (Lin 1998), we represent each word by a feature vector.</S><S sid = NA ssid = NA>Concept Discovery From Text</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  C02-1144.txt | Citing Article:  P11-1162.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To extract this information, (Lin and Pantel, 2002) showed the effect of using different sizes and genres of corpora such as news and Web documents.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We generated clusters from a news corpus using CBC and compared them with classes extracted from WordNet (Miller 1990).</S><S sid = NA ssid = NA>The sizes of the WordNet classes vary a lot.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  C02-1144.txt | Citing Article:  C08-1023.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Clustering by committee has also been used to discover concepts from a text by grouping terms into conceptually related clusters (Lin and Pantel, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We present a clustering algorithm called CBC (Cluster ing By Committee) that automatically discovers concepts from text.</S><S sid = NA ssid = NA>We presented a clustering algorithm, CBC, for automatically discovering concepts from text.</S> | Discourse Facet:  NA | Annotator: Automatic


