Citance Number: 1 | Reference Article:  P03-1010.txt | Citing Article:  I05-6002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We used a bilingual corpus (Utiyama and Isahara, 2003) to examine which semantic frames of BFN contained LUs relevant to the Japanese verb osou.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This is the first attempt at a Japanese-English bilingual corpus.</S><S sid = NA ssid = NA>We have applied our measures to a Japanese and English bilingual corpus and these are language independent.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P03-1010.txt | Citing Article:  C10-1054.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, Zhao and Vogel (2002), Utiyama and Isahara (2003), and Munteanu and Marcu (2005) all acquire their comparable corpora from a collection of news articles which are either downloaded from the Web or archived by LDC.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Matsumoto and Tanaka (2002) attempted to align Japanese and English news articles in the Nikkei Industrial Daily.</S><S sid = NA ssid = NA>However, the relation between English news sentences and Japanese news sentences are not literal translations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P03-1010.txt | Citing Article:  E09-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Works aimed at discovering parallel sentences include (Utiyama and Isahara, 2003), who use cross-language information retrieval techniques and dynamic programming to extract sentences from an English-Japanese comparable corpus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We first used a method based on cross-language information retrieval (CLIR) to align the Japanese and English articles and then used a method based on dynamic programming (DP) matching to align the Japanese and English sentences in these articles.</S><S sid = NA ssid = NA>A large-scale Japanese-English parallel corpus is an invaluable resource in the study of natural language processing (NLP) such as machine translation and cross-language information retrieval (CLIR).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P03-1010.txt | Citing Article:  W10-3508.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The translations published on MNH are used to make a parallel corpus by using a sentence alignment method (Utiyama and Isahara, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We have aligned Japanese and English news articles and sentences to make a large parallel corpus.</S><S sid = NA ssid = NA>Using these measures, we have successfully constructed a largescale article and sentence alignment corpus available to the public.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P03-1010.txt | Citing Article:  P10-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>These values of the parameter are determined using English sentences from Reuters articles (Utiyama and Isahara, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Reliable Measures For Aligning Japanese-English News Articles And Sentences</S><S sid = NA ssid = NA>In other words, the AVSIM values correspond well with human judgment.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P03-1010.txt | Citing Article:  W10-4006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Unlike other language pairs, the availability of Japanese-English parallel corpora is quite limited: the NTCIR patent corpus (Fujii et al, 2010) of 3 million sentence pairs (the latest NTCIR-8 version) for the patent domain and JENAAD corpus (Utiyama and Isahara, 2003) of 150k sentence pairs for the news domain.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We used 12 pairs of texts for evaluation.</S><S sid = NA ssid = NA>We have aligned Japanese and English news articles and sentences to make a large parallel corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P03-1010.txt | Citing Article:  P06-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The earliest efforts in this direction are those of Zhao and Vogel (2002) and Utiyama and Isahara (2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The direction of translation was opposite to the one described in Section 3.1.</S><S sid = NA ssid = NA>Matsumoto and Tanaka (2002) attempted to align Japanese and English news articles in the Nikkei Industrial Daily.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P03-1010.txt | Citing Article:  D11-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This database was an aggregate of several Japanese-English corpora, notably the Yomiuri newspaper corpus (Utiyama and Isahara, 2003) and the JST paper abstract corpus created at NICT (www.nict.go.jp) through (Utiyama and Isahara, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Therefore, it is not clear whether their method would have achieved a high accuracy in the Yomiuri corpus treated in this paper.</S><S sid = NA ssid = NA>This is the first attempt at a Japanese-English bilingual corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


