Citance Number: 1 | Reference Article:  P05-1045.txt | Citing Article:  P06-1089.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Finkel et al (2005) used simulated annealing with Gibbs sampling to find a solution in a similar situation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Mikheev et al. (1999) and Finkel et al.</S><S sid = NA ssid = NA>To verify the effectiveness of Gibbs sampling and simulated annealing as an inference technique for hidden state sequence models, we compare Gibbs and Viterbi inference methods for a basic CRF, without the addition of any non-local model.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P05-1045.txt | Citing Article:  W09-1119.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The results we obtained on the CoNLL03 test set were consistent with what was reported in (Finkel et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Mikheev et al. (1999) and Finkel et al.</S><S sid = NA ssid = NA>The data is separated into a training set, a development set (testa), and a test set (testb).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P05-1045.txt | Citing Article:  P12-1075.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following (Yao et al, 2011), we filter out noisy documents and use natural language packages to annotate the documents, including NER tagging (Finkel et al, 2005) and dependency parsing (Nivre et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Mikheev et al. (1999) and Finkel et al.</S><S sid = NA ssid = NA>Our basic CRF model follows that of Lafferty et al. (2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P05-1045.txt | Citing Article:  W11-0219.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>These include several off-the-shelf statisical NLP tools such as the Stanford POS tagger (Toutanova and Manning, 2000), the Stanford named-entity recognizer (NER) (Finkel et al, 2005) and the Stanford Parser (Klein and Manning, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Mikheev et al. (1999) and Finkel et al.</S><S sid = NA ssid = NA>As an example, several authors (see Section 8) mention the value of enforcing label consistency in named entity recognition (NER) tasks.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P05-1045.txt | Citing Article:  P10-1056.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We run the Stanford Named Entity Recognizer (Finkel et al, 2005) and record the number of PERSONs, ORGANIZATIONs, and LOCATIONs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Mikheev et al. (1999) and Finkel et al.</S><S sid = NA ssid = NA>The results, given in Table 1, show that if the Gibbs sampler is run long enough, its accuracy is the same as a Viterbi decoder.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P05-1045.txt | Citing Article:  W10-0725.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The Total column presents the number of extracted NEs and generated hypotheses and the Average column shows the average numbers per text respectively.2009), and we preprocess the data using the Stanford named-entity recognizer (Finkel et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Mikheev et al. (1999) and Finkel et al.</S><S sid = NA ssid = NA>We report the average of all trials, and in all cases we outperform the baseline with greater than 95% confidence, using the standard t-test.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P05-1045.txt | Citing Article:  W11-2705.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For the learning of patterns we used the top 64 documents retrieved by Google and to recognize the named entities in the pattern we apply several strategies, namely: 1) the Stanford's Conditional Random-Field-based named entity recognizer (Finkel et al, 2005) to detect entities of type HUMAN; 2) regular expressions to detect NUMERIC and DATE type entities; 3) gazetteers to detect entities of type LOCATION.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This type of constraint cannot be modeled in an RMN or a skip-CRF, because it requires the knowledge that both entities are given the same class label.</S><S sid = NA ssid = NA>This generates a extremely large number of overlapping candidate entities, which then necessitates additional templates to enforce the constraint that text subsequences cannot both be different entities, something that is more naturally modeled by a CRF.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P05-1045.txt | Citing Article:  N07-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Additionally, we would like to that our reviewers for their helpful comments.</S><S sid = NA ssid = NA>One could imagine many ways of defining such models; for simplicity we use the form where the product is over a set of violation types A, and for each violation type A we specify a penalty parameter θλ.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P05-1045.txt | Citing Article:  N07-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Additionally, we would like to that our reviewers for their helpful comments.</S><S sid = NA ssid = NA>One could imagine many ways of defining such models; for simplicity we use the form where the product is over a set of violation types A, and for each violation type A we specify a penalty parameter θλ.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P05-1045.txt | Citing Article:  D11-1075.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We used as candidates all strings labeled in the annotated data as well as all named entities found by the Stanford NER tagger for CoNLL (Finkel et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Mikheev et al. (1999) and Finkel et al.</S><S sid = NA ssid = NA>We also used their evaluation metric, which is slightly different from the method for CoNLL data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P05-1045.txt | Citing Article:  D09-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Additionally, we would like to that our reviewers for their helpful comments.</S><S sid = NA ssid = NA>One could imagine many ways of defining such models; for simplicity we use the form where the product is over a set of violation types A, and for each violation type A we specify a penalty parameter θλ.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P05-1045.txt | Citing Article:  D09-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The named-entity features are generated by the freely available Stanford NER tagger (Finkel et al., 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Mikheev et al. (1999) and Finkel et al.</S><S sid = NA ssid = NA>As an example, several authors (see Section 8) mention the value of enforcing label consistency in named entity recognition (NER) tasks.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P05-1045.txt | Citing Article:  P12-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use the Stanford Named Entity Recognizer (Finkel et al, 2005) for this purpose.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Mikheev et al. (1999) and Finkel et al.</S><S sid = NA ssid = NA>We can, however, borrow a technique from the study of non-convex optimization and use simulated annealing (Kirkpatrick et al., 1983).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P05-1045.txt | Citing Article:  P13-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The Stanford CRF-based NER tagger was used as the monolingual component in our models (Finkel et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Mikheev et al. (1999) and Finkel et al.</S><S sid = NA ssid = NA>Our basic CRF model follows that of Lafferty et al. (2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P05-1045.txt | Citing Article:  P13-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For English, we use the default tagger setting from Finkel et al (2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Mikheev et al. (1999) and Finkel et al.</S><S sid = NA ssid = NA>We can, however, borrow a technique from the study of non-convex optimization and use simulated annealing (Kirkpatrick et al., 1983).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P05-1045.txt | Citing Article:  C10-1087.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To determine entailment, BIUTEE performs the following main steps: Preprocessing First, all documents are parsed and processed with standard tools for named entity recognition (Finkel et al, 2005) and coreference resolution.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Mikheev et al. (1999) and Finkel et al.</S><S sid = NA ssid = NA>In the CoNLL named entity recognition task, the non-local models increase the F1 accuracy by about 1.3%.</S> | Discourse Facet:  NA | Annotator: Automatic


